####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.5
# Delta_0 (Do lech pha/Detuning)= 30 meV
# delta_t (Do rong xung laser) = 25 fs

####################################################################################################

#              t             N_e             N_h               P 
   -7.500000e+01     0.000000e+00     0.000000e+00     0.000000e+00
   -7.299652e+01     2.066262e-08     2.066262e-08     3.712235e-03
   -7.099303e+01     1.327026e-07     1.327026e-07     9.382083e-03
   -6.898955e+01     4.806140e-07     4.806140e-07     1.778438e-02
   -6.698606e+01     1.387368e-06     1.387368e-06     3.004257e-02
   -6.498258e+01     3.572274e-06     3.572274e-06     4.786293e-02
   -6.297909e+01     8.630904e-06     8.630904e-06     7.385901e-02
   -6.097561e+01     2.005088e-05     2.005088e-05     1.118992e-01
   -5.897213e+01     4.527195e-05     4.527195e-05     1.674082e-01
   -5.696864e+01     9.970511e-05     9.970511e-05     2.476618e-01
   -5.496516e+01     2.143130e-04     2.143130e-04     3.621726e-01
   -5.296167e+01     4.494722e-04     4.494722e-04     5.232036e-01
   -5.095819e+01     9.195629e-04     9.195629e-04     7.463829e-01
   -4.895470e+01     1.835225e-03     1.835225e-03     1.051361e+00
   -4.695122e+01     3.573544e-03     3.573544e-03     1.462434e+00
