####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 1
# Delta_0 (Do lech pha/Detuning)= 30 meV
# delta_t (Do rong xung laser) = 25 fs

####################################################################################################

#              t             N_e             N_h               P 
   -7.500000e+01     0.000000e+00     0.000000e+00     0.000000e+00
   -7.299652e+01     8.265047e-08     8.265047e-08     7.424470e-03
   -7.099303e+01     5.308105e-07     5.308105e-07     1.876417e-02
   -6.898955e+01     1.922456e-06     1.922456e-06     3.556877e-02
   -6.698606e+01     5.549473e-06     5.549473e-06     6.008515e-02
   -6.498258e+01     1.428910e-05     1.428910e-05     9.572586e-02
   -6.297909e+01     3.452361e-05     3.452361e-05     1.477180e-01
   -6.097561e+01     8.020352e-05     8.020352e-05     2.237983e-01
   -5.897213e+01     1.810878e-04     1.810878e-04     3.348164e-01
   -5.696864e+01     3.988203e-04     3.988203e-04     4.953234e-01
   -5.496516e+01     8.572516e-04     8.572516e-04     7.243445e-01
   -5.296167e+01     1.797887e-03     1.797887e-03     1.046405e+00
   -5.095819e+01     3.678243e-03     3.678243e-03     1.492761e+00
   -4.895470e+01     7.340864e-03     7.340864e-03     2.102707e+00
   -4.695122e+01     1.429405e-02     1.429405e-02     2.924827e+00
   -4.494774e+01     2.716157e-02     2.716157e-02     4.017968e+00
   -4.294425e+01     5.037622e-02     5.037622e-02     5.451781e+00
   -4.094077e+01     9.120690e-02     9.120690e-02     7.306627e+00
   -3.893728e+01     1.612162e-01     1.612162e-01     9.672711e+00
   -3.693380e+01     2.782342e-01     2.782342e-01     1.264822e+01
   -3.493031e+01     4.688942e-01     4.688942e-01     1.633630e+01
   -3.292683e+01     7.716927e-01     7.716927e-01     2.084053e+01
   -3.092334e+01     1.240398e+00     1.240398e+00     2.625882e+01
   -2.891986e+01     1.947433e+00     1.947433e+00     3.267539e+01
   -2.691638e+01     2.986618e+00     2.986618e+00     4.015102e+01
   -2.491289e+01     4.474374e+00     4.474374e+00     4.871153e+01
   -2.290941e+01     6.548280e+00     6.548280e+00     5.833529e+01
   -2.090592e+01     9.361757e+00     9.361757e+00     6.894051e+01
   -1.890244e+01     1.307378e+01     1.307378e+01     8.037398e+01
   -1.689895e+01     1.783301e+01     1.783301e+01     9.240335e+01
   -1.489547e+01     2.375666e+01     2.375666e+01     1.047155e+02
   -1.289199e+01     3.090579e+01     3.090579e+01     1.169236e+02
   -1.088850e+01     3.926017e+01     3.926017e+01     1.285857e+02
   -8.885017e+00     4.869761e+01     4.869761e+01     1.392339e+02
   -6.881533e+00     5.898298e+01     5.898298e+01     1.484150e+02
   -4.878049e+00     6.977196e+01     6.977196e+01     1.557363e+02
   -2.874564e+00     8.063234e+01     8.063234e+01     1.609103e+02
   -8.710801e-01     9.108198e+01     9.108198e+01     1.637900e+02
    1.132404e+00     1.006389e+02     1.006389e+02     1.643876e+02
    3.135889e+00     1.088750e+02     1.088750e+02     1.628705e+02
    5.139373e+00     1.154640e+02     1.154640e+02     1.595343e+02
    7.142857e+00     1.202147e+02     1.202147e+02     1.547579e+02
    9.146341e+00     1.230842e+02     1.230842e+02     1.489515e+02
    1.114983e+01     1.241700e+02     1.241700e+02     1.425101e+02
    1.315331e+01     1.236856e+02     1.236856e+02     1.357847e+02
    1.515679e+01     1.219240e+02     1.219240e+02     1.290812e+02
    1.716028e+01     1.192176e+02     1.192176e+02     1.227430e+02
    1.916376e+01     1.159015e+02     1.159015e+02     1.170856e+02
    2.116725e+01     1.122837e+02     1.122837e+02     1.116241e+02
    2.317073e+01     1.086241e+02     1.086241e+02     1.061711e+02
    2.517422e+01     1.051243e+02     1.051243e+02     1.007657e+02
    2.717770e+01     1.019253e+02     1.019253e+02     9.550993e+01
    2.918118e+01     9.911149e+01     9.911149e+01     9.051719e+01
    3.118467e+01     9.671931e+01     9.671931e+01     8.588261e+01
    3.318815e+01     9.474769e+01     9.474769e+01     8.166916e+01
    3.519164e+01     9.316898e+01     9.316898e+01     7.790400e+01
    3.719512e+01     9.193906e+01     9.193906e+01     7.458167e+01
    3.919861e+01     9.100579e+01     9.100579e+01     7.167085e+01
    4.120209e+01     9.031557e+01     9.031557e+01     6.912270e+01
    4.320557e+01     8.981782e+01     8.981782e+01     6.687945e+01
    4.520906e+01     8.946776e+01     8.946776e+01     6.488214e+01
    4.721254e+01     8.922770e+01     8.922770e+01     6.307667e+01
    4.921603e+01     8.906723e+01     8.906723e+01     6.141799e+01
    5.121951e+01     8.896275e+01     8.896275e+01     5.987206e+01
    5.322300e+01     8.889657e+01     8.889657e+01     5.841576e+01
    5.522648e+01     8.885586e+01     8.885586e+01     5.703544e+01
    5.722997e+01     8.883160e+01     8.883160e+01     5.572479e+01
    5.923345e+01     8.881765e+01     8.881765e+01     5.448290e+01
    6.123693e+01     8.880997e+01     8.880997e+01     5.331267e+01
    6.324042e+01     8.880594e+01     8.880594e+01     5.222953e+01
    6.524390e+01     8.880398e+01     8.880398e+01     5.124073e+01
    6.724739e+01     8.880312e+01     8.880312e+01     5.031155e+01
    6.925087e+01     8.880281e+01     8.880281e+01     4.942815e+01
    7.125436e+01     8.880276e+01     8.880276e+01     4.858172e+01
    7.325784e+01     8.880281e+01     8.880281e+01     4.776680e+01
    7.526132e+01     8.880288e+01     8.880288e+01     4.697955e+01
    7.726481e+01     8.880295e+01     8.880295e+01     4.621712e+01
    7.926829e+01     8.880300e+01     8.880300e+01     4.547741e+01
    8.127178e+01     8.880304e+01     8.880304e+01     4.475892e+01
    8.327526e+01     8.880306e+01     8.880306e+01     4.406060e+01
    8.527875e+01     8.880308e+01     8.880308e+01     4.338191e+01
    8.728223e+01     8.880309e+01     8.880309e+01     4.272285e+01
    8.928571e+01     8.880309e+01     8.880309e+01     4.208398e+01
    9.128920e+01     8.880310e+01     8.880310e+01     4.146459e+01
    9.329268e+01     8.880310e+01     8.880310e+01     4.087450e+01
    9.529617e+01     8.880310e+01     8.880310e+01     4.030528e+01
    9.729965e+01     8.880310e+01     8.880310e+01     3.975639e+01
    9.930314e+01     8.880310e+01     8.880310e+01     3.922582e+01
    1.013066e+02     8.880310e+01     8.880310e+01     3.871224e+01
    1.033101e+02     8.880310e+01     8.880310e+01     3.821496e+01
