####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.1
# Delta_0 (Do lech pha/Detuning)= 100 meV
# delta_t (Do rong xung laser) = 50 fs

####################################################################################################

#    n                t          Epsilon    Y0_real (f_e)    Y0_imag (f_h)          Y1_real          Y1_imag
     0    -1.500000e+02     3.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     1    -1.500000e+02     6.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     2    -1.500000e+02     9.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     3    -1.500000e+02     1.200000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     4    -1.500000e+02     1.500000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     5    -1.500000e+02     1.800000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     6    -1.500000e+02     2.100000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     7    -1.500000e+02     2.400000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     8    -1.500000e+02     2.700000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     9    -1.500000e+02     3.000000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    10    -1.500000e+02     3.300000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    11    -1.500000e+02     3.600000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    12    -1.500000e+02     3.900000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    13    -1.500000e+02     4.200000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    14    -1.500000e+02     4.500000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    15    -1.500000e+02     4.800000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    16    -1.500000e+02     5.100000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    17    -1.500000e+02     5.400000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    18    -1.500000e+02     5.700000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    19    -1.500000e+02     6.000000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    20    -1.500000e+02     6.300000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    21    -1.500000e+02     6.600000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    22    -1.500000e+02     6.900000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    23    -1.500000e+02     7.200000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    24    -1.500000e+02     7.500000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    25    -1.500000e+02     7.800000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    26    -1.500000e+02     8.100000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    27    -1.500000e+02     8.400000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    28    -1.500000e+02     8.700000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    29    -1.500000e+02     9.000000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    30    -1.500000e+02     9.300000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    31    -1.500000e+02     9.600000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    32    -1.500000e+02     9.900000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    33    -1.500000e+02     1.020000e+02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
