####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 1000
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 0.3 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 1000 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.1
# Delta_0 (Do lech pha/Detuning)= 30 meV
# delta_t (Do rong xung laser) = 25 fs

####################################################################################################

#              t             N_e             N_h    Re_P for abs    Im_P for abs             |P|             E_t 
   -7.500000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.234098e-05
   -7.299814e+01     2.597752e-08     2.597752e-08     3.735377e-03     2.286712e-02     2.333202e-02     1.982533e-05
   -7.099628e+01     1.669134e-07     1.669134e-07     1.653920e-02     5.522740e-02     5.898206e-02     3.144285e-05
   -6.899441e+01     6.049876e-07     6.049876e-07     4.047453e-02     9.941999e-02     1.118549e-01     4.923274e-05
   -6.699255e+01     1.747866e-06     1.747866e-06     7.782112e-02     1.607290e-01     1.890553e-01     7.610564e-05
   -6.499069e+01     4.503466e-06     4.503466e-06     1.323785e-01     2.485649e-01     3.013414e-01     1.161476e-04
   -6.298883e+01     1.088428e-05     1.088428e-05     2.109745e-01     3.773078e-01     4.651424e-01     1.749986e-04
   -6.098696e+01     2.528569e-05     2.528569e-05     3.248648e-01     5.669758e-01     7.047446e-01     2.603091e-04
   -5.898510e+01     5.707840e-05     5.707840e-05     4.908840e-01     8.440510e-01     1.054225e+00     3.822741e-04
   -5.698324e+01     1.256673e-04     1.256673e-04     7.324446e-01     1.242792e+00     1.559342e+00     5.542312e-04
   -5.498138e+01     2.700341e-04     2.700341e-04     1.080648e+00     1.807198e+00     2.279973e+00     7.933007e-04
   -5.297952e+01     5.661874e-04     5.661874e-04     1.575786e+00     2.593525e+00     3.293333e+00     1.121025e-03
   -5.097765e+01     1.158114e-03     1.158114e-03     2.269386e+00     3.673043e+00     4.697818e+00     1.563953e-03
   -4.897579e+01     2.310964e-03     2.310964e-03     3.226687e+00     5.134583e+00     6.617137e+00     2.154083e-03
   -4.697393e+01     4.499401e-03     4.499401e-03     4.529260e+00     7.086467e+00     9.204245e+00     2.929085e-03
   -4.497207e+01     8.549196e-03     8.549196e-03     6.277325e+00     9.657475e+00     1.264451e+01     3.932169e-03
   -4.297020e+01     1.585572e-02     1.585572e-02     8.591324e+00     1.299663e+01     1.715754e+01     5.211504e-03
   -4.096834e+01     2.870791e-02     2.870791e-02     1.161239e+01     1.727159e+01     2.299715e+01     6.819063e-03
   -3.896648e+01     5.074876e-02     5.074876e-02     1.550140e+01     2.266537e+01     3.044904e+01     8.808804e-03
   -3.696462e+01     8.760078e-02     8.760078e-02     2.043641e+01     2.937119e+01     3.982564e+01     1.123414e-02
   -3.496276e+01     1.476737e-01     1.476737e-01     2.660817e+01     3.758496e+01     5.145790e+01     1.414469e-02
   -3.296089e+01     2.431487e-01     2.431487e-01     3.421352e+01     4.749544e+01     6.568334e+01     1.758238e-02
   -3.095903e+01     3.910957e-01     3.910957e-01     4.344624e+01     5.927183e+01     8.283045e+01     2.157708e-02
   -2.895717e+01     6.146294e-01     6.146294e-01     5.448560e+01     7.304955e+01     1.031994e+02     2.614197e-02
   -2.695531e+01     9.439457e-01     9.439457e-01     6.748240e+01     8.891460e+01     1.270396e+02     3.126904e-02
   -2.495345e+01     1.417022e+00     1.417022e+00     8.254337e+01     1.068879e+02     1.545254e+02     3.692508e-02
   -2.295158e+01     2.079710e+00     2.079710e+00     9.971469e+01     1.269109e+02     1.857315e+02     4.304861e-02
   -2.094972e+01     2.984953e+00     2.984953e+00     1.189659e+02     1.488335e+02     2.206093e+02     4.954815e-02
   -1.894786e+01     4.190865e+00     4.190865e+00     1.401757e+02     1.724063e+02     2.589677e+02     5.630234e-02
   -1.694600e+01     5.757548e+00     5.757548e+00     1.631212e+02     1.972778e+02     3.004589e+02     6.316203e-02
   -1.494413e+01     7.742663e+00     7.742663e+00     1.874715e+02     2.229981e+02     3.445728e+02     6.995462e-02
   -1.294227e+01     1.019599e+01     1.019599e+01     2.127884e+02     2.490294e+02     3.906403e+02     7.649048e-02
   -1.094041e+01     1.315348e+01     1.315348e+01     2.385325e+02     2.747636e+02     4.378471e+02     8.257129e-02
   -8.938547e+00     1.663139e+01     1.663139e+01     2.640785e+02     2.995462e+02     4.852584e+02     8.799975e-02
   -6.936685e+00     2.062152e+01     2.062152e+01     2.887365e+02     3.227061e+02     5.318532e+02     9.259008e-02
   -4.934823e+00     2.508804e+01     2.508804e+01     3.117803e+02     3.435879e+02     5.765679e+02     9.617854e-02
   -2.932961e+00     2.996693e+01     2.996693e+01     3.324814e+02     3.615867e+02     6.183450e+02     9.863307e-02
   -9.310987e-01     3.516808e+01     3.516808e+01     3.501445e+02     3.761800e+02     6.561846e+02     9.986138e-02
    1.070764e+00     4.058030e+01     4.058030e+01     3.641447e+02     3.869558e+02     6.891949e+02     9.981672e-02
    3.072626e+00     4.607858e+01     4.607858e+01     3.739620e+02     3.936347e+02     7.166380e+02     9.850079e-02
    5.074488e+00     5.153293e+01     5.153293e+01     3.792102e+02     3.960832e+02     7.379668e+02     9.596365e-02
    7.076350e+00     5.681764e+01     5.681764e+01     3.796590e+02     3.943173e+02     7.528506e+02     9.230060e-02
    9.078212e+00     6.182000e+01     6.182000e+01     3.752469e+02     3.884975e+02     7.611889e+02     8.764617e-02
    1.108007e+01     6.644724e+01     6.644724e+01     3.660844e+02     3.789148e+02     7.631105e+02     8.216598e-02
    1.308194e+01     7.063131e+01     7.063131e+01     3.524469e+02     3.659689e+02     7.589601e+02     7.604695e-02
    1.508380e+01     7.433082e+01     7.433082e+01     3.347580e+02     3.501413e+02     7.492736e+02     6.948679e-02
    1.708566e+01     7.753053e+01     7.753053e+01     3.135656e+02     3.319660e+02     7.347440e+02     6.268351e-02
    1.908752e+01     8.023855e+01     8.023855e+01     2.895114e+02     3.119992e+02     7.161819e+02     5.582582e-02
    2.108939e+01     8.248205e+01     8.248205e+01     2.632972e+02     2.907906e+02     6.944726e+02     4.908486e-02
    2.309125e+01     8.430213e+01     8.430213e+01     2.356498e+02     2.688593e+02     6.705343e+02     4.260796e-02
    2.509311e+01     8.574851e+01     8.574851e+01     2.072878e+02     2.466738e+02     6.452798e+02     3.651443e-02
    2.709497e+01     8.687475e+01     8.687475e+01     1.788912e+02     2.246390e+02     6.195842e+02     3.089363e-02
    2.909683e+01     8.773421e+01     8.773421e+01     1.510774e+02     2.030881e+02     5.942608e+02     2.580502e-02
    3.109870e+01     8.837708e+01     8.837708e+01     1.243817e+02     1.822814e+02     5.700465e+02     2.127992e-02
    3.310056e+01     8.884838e+01     8.884838e+01     9.924623e+01     1.624081e+02     5.475991e+02     1.732473e-02
    3.510242e+01     8.918697e+01     8.918697e+01     7.601385e+01     1.435940e+02     5.275132e+02     1.392495e-02
    3.710428e+01     8.942523e+01     8.942523e+01     5.492896e+01     1.259099e+02     5.103991e+02     1.104973e-02
    3.910615e+01     8.958931e+01     8.958931e+01     3.614266e+01     1.093825e+02     4.972196e+02     8.656455e-03
    4.110801e+01     8.969978e+01     8.969978e+01     1.972187e+01     9.400509e+01     4.867605e+02     6.695134e-03
    4.310987e+01     8.977234e+01     8.977234e+01     5.660943e+00     7.974784e+01     4.778027e+02     5.112215e-03
    4.511173e+01     8.981874e+01     8.981874e+01    -6.105377e+00     6.656692e+01     4.698104e+02     3.853804e-03
    4.711359e+01     8.984749e+01     8.984749e+01    -1.568875e+01     5.441179e+01     4.624763e+02     2.868144e-03
    4.911546e+01     8.986467e+01     8.986467e+01    -2.323465e+01     4.323082e+01     4.556367e+02     2.107380e-03
    5.111732e+01     8.987448e+01     8.987448e+01    -2.891100e+01     3.297511e+01     4.492849e+02     1.528676e-03
    5.311918e+01     8.987973e+01     8.987973e+01    -3.289844e+01     2.360077e+01     4.438700e+02     1.094759e-03
    5.512104e+01     8.988229e+01     8.988229e+01    -3.538241e+01     1.506986e+01     4.394207e+02     7.740206e-04
    5.712291e+01     8.988334e+01     8.988334e+01    -3.654698e+01     7.350366e+00     4.351253e+02     5.402778e-04
    5.912477e+01     8.988360e+01     8.988360e+01    -3.657032e+01     4.154941e-01     4.307832e+02     3.723166e-04
    6.112663e+01     8.988349e+01     8.988349e+01    -3.562161e+01    -5.757527e+00     4.264026e+02     2.533018e-04
    6.312849e+01     8.988324e+01     8.988324e+01    -3.385913e+01    -1.118882e+01     4.219941e+02     1.701355e-04
    6.513035e+01     8.988298e+01     8.988298e+01    -3.142928e+01    -1.589727e+01     4.175670e+02     1.128190e-04
    6.713222e+01     8.988274e+01     8.988274e+01    -2.846634e+01    -1.990183e+01     4.131304e+02     7.385845e-05
    6.913408e+01     8.988256e+01     8.988256e+01    -2.509263e+01    -2.322265e+01     4.086954e+02     4.773631e-05
    7.113594e+01     8.988243e+01     8.988243e+01    -2.141900e+01    -2.588189e+01     4.042791e+02     3.045987e-05
    7.313780e+01     8.988233e+01     8.988233e+01    -1.754554e+01    -2.790431e+01     3.999173e+02     1.918837e-05
    7.513966e+01     8.988227e+01     8.988227e+01    -1.356214e+01    -2.931766e+01     3.956668e+02     1.193380e-05
    7.714153e+01     8.988223e+01     8.988223e+01    -9.549218e+00    -3.015281e+01     3.914961e+02     7.327403e-06
    7.914339e+01     8.988221e+01     8.988221e+01    -5.578294e+00    -3.044373e+01     3.873892e+02     4.441729e-06
    8.114525e+01     8.988219e+01     8.988219e+01    -1.712508e+00    -3.022737e+01     3.833364e+02     2.658182e-06
    8.314711e+01     8.988218e+01     8.988218e+01     1.992874e+00    -2.954339e+01     3.793308e+02     1.570537e-06
    8.514898e+01     8.988218e+01     8.988218e+01     5.490040e+00    -2.843381e+01     3.753666e+02     9.160984e-07
    8.715084e+01     8.988218e+01     8.988218e+01     8.738250e+00    -2.694256e+01     3.714396e+02     5.275539e-07
    8.915270e+01     8.988217e+01     8.988217e+01     1.170351e+01    -2.511504e+01     3.675468e+02     2.999316e-07
    9.115456e+01     8.988217e+01     8.988217e+01     1.435829e+01    -2.299761e+01     3.636869e+02     1.683481e-07
    9.315642e+01     8.988217e+01     8.988217e+01     1.668122e+01    -2.063711e+01     3.598608e+02     9.328783e-08
    9.515829e+01     8.988217e+01     8.988217e+01     1.865687e+01    -1.808038e+01     3.560733e+02     5.103550e-08
    9.716015e+01     8.988217e+01     8.988217e+01     2.027543e+01    -1.537379e+01     3.523391e+02     2.756452e-08
    9.916201e+01     8.988217e+01     8.988217e+01     2.153241e+01    -1.256282e+01     3.486763e+02     1.469803e-08
    1.011639e+02     8.988217e+01     8.988217e+01     2.242829e+01    -9.691620e+00     3.450670e+02     7.737463e-09
    1.031657e+02     8.988217e+01     8.988217e+01     2.296825e+01    -6.802623e+00     3.415036e+02     4.021321e-09
    1.051676e+02     8.988217e+01     8.988217e+01     2.316173e+01    -3.936141e+00     3.379815e+02     2.063334e-09
    1.071695e+02     8.988217e+01     8.988217e+01     2.302213e+01    -1.130037e+00     3.344973e+02     1.045204e-09
    1.091713e+02     8.988217e+01     8.988217e+01     2.256646e+01     1.580567e+00     3.310485e+02     5.227127e-10
    1.111732e+02     8.988217e+01     8.988217e+01     2.181489e+01     4.163536e+00     3.276332e+02     2.580809e-10
    1.131750e+02     8.988217e+01     8.988217e+01     2.079039e+01     6.589920e+00     3.242503e+02     1.257996e-10
    1.151769e+02     8.988217e+01     8.988217e+01     1.951830e+01     8.834126e+00     3.208992e+02     6.053874e-11
    1.171788e+02     8.988217e+01     8.988217e+01     1.802593e+01     1.087404e+01     3.175806e+02     2.876194e-11
    1.191806e+02     8.988217e+01     8.988217e+01     1.634208e+01     1.269113e+01     3.142968e+02     1.349068e-11
    1.211825e+02     8.988217e+01     8.988217e+01     1.449669e+01     1.427050e+01     3.110554e+02     6.247120e-12
    1.231844e+02     8.988217e+01     8.988217e+01     1.252041e+01     1.560091e+01     3.078624e+02     2.855990e-12
    1.251862e+02     8.988217e+01     8.988217e+01     1.044423e+01     1.667472e+01     3.047092e+02     1.289033e-12
    1.271881e+02     8.988217e+01     8.988217e+01     8.299093e+00     1.748782e+01     3.015919e+02     5.743840e-13
    1.291899e+02     8.988217e+01     8.988217e+01     6.115548e+00     1.803955e+01     2.985084e+02     2.526802e-13
    1.311918e+02     8.988217e+01     8.988217e+01     3.923376e+00     1.833250e+01     2.954570e+02     1.097415e-13
    1.331937e+02     8.988217e+01     8.988217e+01     1.751271e+00     1.837239e+01     2.924363e+02     4.705447e-14
    1.351955e+02     8.988217e+01     8.988217e+01    -3.734567e-01     1.816785e+01     2.894455e+02     1.991874e-14
    1.371974e+02     8.988217e+01     8.988217e+01    -2.425148e+00     1.773024e+01     2.864839e+02     8.324408e-15
    1.391993e+02     8.988217e+01     8.988217e+01    -4.380025e+00     1.707338e+01     2.835512e+02     3.434595e-15
    1.412011e+02     8.988217e+01     8.988217e+01    -6.216396e+00     1.621330e+01     2.806477e+02     1.399035e-15
    1.432030e+02     8.988217e+01     8.988217e+01    -7.914825e+00     1.516796e+01     2.777746e+02     5.626159e-16
    1.452048e+02     8.988217e+01     8.988217e+01    -9.458285e+00     1.395696e+01     2.749358e+02     2.233707e-16
    1.472067e+02     8.988217e+01     8.988217e+01    -1.083228e+01     1.260120e+01     2.721339e+02     8.755303e-17
    1.492086e+02     8.988217e+01     8.988217e+01    -1.202492e+01     1.112267e+01     2.693643e+02     3.388026e-17
    1.512104e+02     8.988217e+01     8.988217e+01    -1.302698e+01     9.544087e+00     2.666247e+02     1.294354e-17
    1.532123e+02     8.988217e+01     8.988217e+01    -1.383190e+01     7.888617e+00     2.639139e+02     4.881912e-18
    1.552142e+02     8.988217e+01     8.988217e+01    -1.443578e+01     6.179609e+00     2.612310e+02     1.817848e-18
    1.572160e+02     8.988217e+01     8.988217e+01    -1.483729e+01     4.440284e+00     2.585751e+02     6.682760e-19
    1.592179e+02     8.988217e+01     8.988217e+01    -1.503765e+01     2.693461e+00     2.559457e+02     2.425408e-19
    1.612197e+02     8.988217e+01     8.988217e+01    -1.504048e+01     9.613005e-01     2.533423e+02     8.690494e-20
    1.632216e+02     8.988217e+01     8.988217e+01    -1.485173e+01    -7.349434e-01     2.507648e+02     3.074219e-20
    1.652235e+02     8.988217e+01     8.988217e+01    -1.447949e+01    -2.375138e+00     2.482132e+02     1.073633e-20
    1.672253e+02     8.988217e+01     8.988217e+01    -1.393386e+01    -3.940468e+00     2.456881e+02     3.701753e-21
    1.692272e+02     8.988217e+01     8.988217e+01    -1.322673e+01    -5.413618e+00     2.431913e+02     1.260056e-21
    1.712291e+02     8.988217e+01     8.988217e+01    -1.237161e+01    -6.778924e+00     2.407246e+02     4.234506e-22
    1.732309e+02     8.988217e+01     8.988217e+01    -1.138337e+01    -8.022517e+00     2.382850e+02     1.404903e-22
    1.752328e+02     8.988217e+01     8.988217e+01    -1.027807e+01    -9.132435e+00     2.358713e+02     4.601726e-23
    1.772346e+02     8.988217e+01     8.988217e+01    -9.072683e+00    -1.009871e+01     2.334827e+02     1.488078e-23
    1.792365e+02     8.988217e+01     8.988217e+01    -7.784919e+00    -1.091341e+01     2.311183e+02     4.750743e-24
    1.812384e+02     8.988217e+01     8.988217e+01    -6.432966e+00    -1.157069e+01     2.287779e+02     1.497366e-24
    1.832402e+02     8.988217e+01     8.988217e+01    -5.035266e+00    -1.206678e+01     2.264608e+02     4.659346e-25
    1.852421e+02     8.988217e+01     8.988217e+01    -3.610281e+00    -1.239996e+01     2.241669e+02     1.431372e-25
    1.872439e+02     8.988217e+01     8.988217e+01    -2.176272e+00    -1.257053e+01     2.218960e+02     4.341213e-26
    1.892458e+02     8.988217e+01     8.988217e+01    -7.510840e-01    -1.258075e+01     2.196479e+02     1.299871e-26
    1.912477e+02     8.988217e+01     8.988217e+01     6.480489e-01    -1.243475e+01     2.174229e+02     3.842553e-27
    1.932495e+02     8.988217e+01     8.988217e+01     2.004688e+00    -1.213846e+01     2.152218e+02     1.121425e-27
    1.952514e+02     8.988217e+01     8.988217e+01     3.303357e+00    -1.169943e+01     2.130460e+02     3.231107e-28
    1.972533e+02     8.988217e+01     8.988217e+01     4.529699e+00    -1.112675e+01     2.108935e+02     9.191008e-29
    1.992551e+02     8.988217e+01     8.988217e+01     5.670615e+00    -1.043084e+01     2.087636e+02     2.581104e-29
    2.012570e+02     8.988217e+01     8.988217e+01     6.714389e+00    -9.623338e+00     2.066556e+02     7.156138e-30
    2.032588e+02     8.988217e+01     8.988217e+01     7.650791e+00    -8.716903e+00     2.045690e+02     1.958766e-30
    2.052607e+02     8.988217e+01     8.988217e+01     8.471157e+00    -7.725042e+00     2.025035e+02     5.293183e-31
    2.072626e+02     8.988217e+01     8.988217e+01     9.168445e+00    -6.661939e+00     2.004587e+02     1.412154e-31
    2.092644e+02     8.988217e+01     8.988217e+01     9.737273e+00    -5.542261e+00     1.984343e+02     3.719443e-32
