####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.1
# Delta_0 (Do lech pha/Detuning)= 30 meV
# delta_t (Do rong xung laser) = 50 fs

####################################################################################################

#              t             N_e             N_h               P 
   -1.500000e+02     0.000000e+00     0.000000e+00     0.000000e+00
   -1.480000e+02     1.607766e-10     1.607766e-10     3.273868e-04
   -1.460000e+02     7.859022e-10     7.859022e-10     7.214097e-04
   -1.440000e+02     2.120821e-09     2.120821e-09     1.178763e-03
   -1.420000e+02     4.467035e-09     4.467035e-09     1.695360e-03
   -1.400000e+02     8.239834e-09     8.239834e-09     2.270649e-03
   -1.380000e+02     1.408819e-08     1.408819e-08     2.915060e-03
   -1.360000e+02     2.308345e-08     2.308345e-08     3.659460e-03
   -1.340000e+02     3.697237e-08     3.697237e-08     4.558094e-03
   -1.320000e+02     5.849167e-08     5.849167e-08     5.675116e-03
   -1.300000e+02     9.176409e-08     9.176409e-08     7.069155e-03
   -1.280000e+02     1.428396e-07     1.428396e-07     8.792264e-03
   -1.260000e+02     2.204962e-07     2.204962e-07     1.089675e-02
   -1.240000e+02     3.374562e-07     3.374562e-07     1.344337e-02
   -1.220000e+02     5.121923e-07     5.121923e-07     1.650922e-02
   -1.200000e+02     7.714993e-07     7.714993e-07     2.019318e-02
   -1.180000e+02     1.154025e-06     1.154025e-06     2.461668e-02
   -1.160000e+02     1.715015e-06     1.715015e-06     2.992053e-02
   -1.140000e+02     2.532655e-06     2.532655e-06     3.626182e-02
   -1.120000e+02     3.716606e-06     3.716606e-06     4.381390e-02
   -1.100000e+02     5.419549e-06     5.419549e-06     5.276988e-02
   -1.080000e+02     7.852737e-06     7.852737e-06     6.334832e-02
   -1.060000e+02     1.130675e-05     1.130675e-05     7.579895e-02
   -1.040000e+02     1.617877e-05     1.617877e-05     9.040657e-02
   -1.020000e+02     2.300782e-05     2.300782e-05     1.074923e-01
   -1.000000e+02     3.252002e-05     3.252002e-05     1.274128e-01
   -9.800000e+01     4.568593e-05     4.568593e-05     1.505600e-01
   -9.600000e+01     6.379320e-05     6.379320e-05     1.773614e-01
   -9.400000e+01     8.853774e-05     8.853774e-05     2.082827e-01
   -9.200000e+01     1.221374e-04     1.221374e-04     2.438308e-01
   -9.000000e+01     1.674721e-04     1.674721e-04     2.845557e-01
   -8.800000e+01     2.282544e-04     2.282544e-04     3.310516e-01
   -8.600000e+01     3.092342e-04     3.092342e-04     3.839544e-01
