####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.1
# Delta_0 (Do lech pha/Detuning)= 30 meV
# delta_t (Do rong xung laser) = 25 fs

####################################################################################################

#              t             N_e             N_h               P 
   -7.500000e+01     0.000000e+00     0.000000e+00     0.000000e+00
   -7.299652e+01     8.265047e-10     8.265047e-10     7.424470e-04
   -7.099303e+01     5.308105e-09     5.308105e-09     1.876417e-03
   -6.898955e+01     1.922456e-08     1.922456e-08     3.556877e-03
   -6.698606e+01     5.549473e-08     5.549473e-08     6.008515e-03
   -6.498258e+01     1.428910e-07     1.428910e-07     9.572586e-03
   -6.297909e+01     3.452361e-07     3.452361e-07     1.477180e-02
   -6.097561e+01     8.020353e-07     8.020353e-07     2.237984e-02
   -5.897213e+01     1.810878e-06     1.810878e-06     3.348164e-02
   -5.696864e+01     3.988205e-06     3.988205e-06     4.953237e-02
   -5.496516e+01     8.572522e-06     8.572522e-06     7.243453e-02
   -5.296167e+01     1.797889e-05     1.797889e-05     1.046408e-01
   -5.095819e+01     3.678254e-05     3.678254e-05     1.492768e-01
   -4.895470e+01     7.340909e-05     7.340909e-05     2.102727e-01
   -4.695122e+01     1.429422e-04     1.429422e-04     2.924880e-01
   -4.494774e+01     2.716221e-04     2.716221e-04     4.018110e-01
   -4.294425e+01     5.037844e-04     5.037844e-04     5.452140e-01
   -4.094077e+01     9.121433e-04     9.121433e-04     7.307511e-01
   -3.893728e+01     1.612399e-03     1.612399e-03     9.674808e-01
   -3.693380e+01     2.783064e-03     2.783064e-03     1.265303e+00
   -3.493031e+01     4.691042e-03     4.691042e-03     1.634692e+00
   -3.292683e+01     7.722757e-03     7.722757e-03     2.086320e+00
   -3.092334e+01     1.241944e-02     1.241944e-02     2.630555e+00
   -2.891986e+01     1.951352e-02     1.951352e-02     3.276850e+00
   -2.691638e+01     2.996113e-02     2.996113e-02     4.033025e+00
   -2.491289e+01     4.496378e-02     4.496378e-02     4.904499e+00
   -2.290941e+01     6.597074e-02     6.597074e-02     5.893502e+00
   -2.090592e+01     9.465339e-02     9.465339e-02     6.998344e+00
   -1.890244e+01     1.328439e-01     1.328439e-01     8.212796e+00
   -1.689895e+01     1.824337e-01     1.824337e-01     9.525665e+00
   -1.489547e+01     2.452332e-01     2.452332e-01     1.092061e+01
   -1.289199e+01     3.228000e-01     3.228000e-01     1.237628e+01
   -1.088850e+01     4.162507e-01     4.162507e-01     1.386673e+01
   -8.885017e+00     5.260790e-01     5.260790e-01     1.536226e+01
   -6.881533e+00     6.520045e-01     6.520045e-01     1.683047e+01
   -4.878049e+00     7.928780e-01     7.928780e-01     1.823769e+01
   -2.874564e+00     9.466649e-01     9.466649e-01     1.955051e+01
   -8.710801e-01     1.110516e+00     1.110516e+00     2.073740e+01
    1.132404e+00     1.280925e+00     1.280925e+00     2.177033e+01
    3.135889e+00     1.453962e+00     1.453962e+00     2.262620e+01
    5.139373e+00     1.625550e+00     1.625550e+00     2.328797e+01
    7.142857e+00     1.791755e+00     1.791755e+00     2.374549e+01
    9.146341e+00     1.949059e+00     1.949059e+00     2.399591e+01
    1.114983e+01     2.094574e+00     2.094574e+00     2.404357e+01
    1.315331e+01     2.226188e+00     2.226188e+00     2.389964e+01
    1.515679e+01     2.342624e+00     2.342624e+00     2.358126e+01
    1.716028e+01     2.443420e+00     2.443420e+00     2.311048e+01
    1.916376e+01     2.528837e+00     2.528837e+00     2.251299e+01
    2.116725e+01     2.599729e+00     2.599729e+00     2.181675e+01
    2.317073e+01     2.657378e+00     2.657378e+00     2.105072e+01
    2.517422e+01     2.703330e+00     2.703330e+00     2.024362e+01
    2.717770e+01     2.739249e+00     2.739249e+00     1.942299e+01
    2.918118e+01     2.766790e+00     2.766790e+00     1.861442e+01
    3.118467e+01     2.787511e+00     2.787511e+00     1.784122e+01
    3.318815e+01     2.802809e+00     2.802809e+00     1.712441e+01
    3.519164e+01     2.813892e+00     2.813892e+00     1.648348e+01
    3.719512e+01     2.821769e+00     2.821769e+00     1.594001e+01
    3.919861e+01     2.827260e+00     2.827260e+00     1.552663e+01
    4.120209e+01     2.831009e+00     2.831009e+00     1.519660e+01
    4.320557e+01     2.833514e+00     2.833514e+00     1.491359e+01
    4.520906e+01     2.835149e+00     2.835149e+00     1.466088e+01
    4.721254e+01     2.836188e+00     2.836188e+00     1.442877e+01
    4.921603e+01     2.836829e+00     2.836829e+00     1.421240e+01
    5.121951e+01     2.837211e+00     2.837211e+00     1.401647e+01
    5.322300e+01     2.837429e+00     2.837429e+00     1.385650e+01
    5.522648e+01     2.837545e+00     2.837545e+00     1.371669e+01
    5.722997e+01     2.837602e+00     2.837602e+00     1.358097e+01
    5.923345e+01     2.837626e+00     2.837626e+00     1.344492e+01
    6.123693e+01     2.837632e+00     2.837632e+00     1.330811e+01
    6.324042e+01     2.837631e+00     2.837631e+00     1.317065e+01
    6.524390e+01     2.837626e+00     2.837626e+00     1.303270e+01
    6.724739e+01     2.837620e+00     2.837620e+00     1.289444e+01
    6.925087e+01     2.837615e+00     2.837615e+00     1.275607e+01
    7.125436e+01     2.837612e+00     2.837612e+00     1.261791e+01
    7.325784e+01     2.837609e+00     2.837609e+00     1.248049e+01
    7.526132e+01     2.837607e+00     2.837607e+00     1.234483e+01
    7.726481e+01     2.837606e+00     2.837606e+00     1.221311e+01
    7.926829e+01     2.837605e+00     2.837605e+00     1.208394e+01
    8.127178e+01     2.837604e+00     2.837604e+00     1.195681e+01
    8.327526e+01     2.837604e+00     2.837604e+00     1.183141e+01
    8.527875e+01     2.837604e+00     2.837604e+00     1.170748e+01
    8.728223e+01     2.837604e+00     2.837604e+00     1.158485e+01
    8.928571e+01     2.837604e+00     2.837604e+00     1.146337e+01
    9.128920e+01     2.837604e+00     2.837604e+00     1.134293e+01
    9.329268e+01     2.837604e+00     2.837604e+00     1.122349e+01
    9.529617e+01     2.837604e+00     2.837604e+00     1.110505e+01
    9.729965e+01     2.837604e+00     2.837604e+00     1.098770e+01
    9.930314e+01     2.837604e+00     2.837604e+00     1.087173e+01
    1.013066e+02     2.837604e+00     2.837604e+00     1.075775e+01
    1.033101e+02     2.837604e+00     2.837604e+00     1.064586e+01
    1.053136e+02     2.837604e+00     2.837604e+00     1.053554e+01
    1.073171e+02     2.837604e+00     2.837604e+00     1.042657e+01
    1.093206e+02     2.837604e+00     2.837604e+00     1.031884e+01
    1.113240e+02     2.837604e+00     2.837604e+00     1.021225e+01
    1.133275e+02     2.837604e+00     2.837604e+00     1.010671e+01
    1.153310e+02     2.837604e+00     2.837604e+00     1.000219e+01
    1.173345e+02     2.837604e+00     2.837604e+00     9.898640e+00
    1.193380e+02     2.837604e+00     2.837604e+00     9.796057e+00
    1.213415e+02     2.837604e+00     2.837604e+00     9.694456e+00
    1.233449e+02     2.837604e+00     2.837604e+00     9.593889e+00
    1.253484e+02     2.837604e+00     2.837604e+00     9.494658e+00
    1.273519e+02     2.837604e+00     2.837604e+00     9.396839e+00
    1.293554e+02     2.837604e+00     2.837604e+00     9.300334e+00
    1.313589e+02     2.837604e+00     2.837604e+00     9.204998e+00
    1.333624e+02     2.837604e+00     2.837604e+00     9.110707e+00
    1.353659e+02     2.837604e+00     2.837604e+00     9.017409e+00
    1.373693e+02     2.837604e+00     2.837604e+00     8.925059e+00
    1.393728e+02     2.837604e+00     2.837604e+00     8.833625e+00
    1.413763e+02     2.837604e+00     2.837604e+00     8.743083e+00
    1.433798e+02     2.837604e+00     2.837604e+00     8.653420e+00
    1.453833e+02     2.837604e+00     2.837604e+00     8.564633e+00
    1.473868e+02     2.837604e+00     2.837604e+00     8.476751e+00
    1.493902e+02     2.837604e+00     2.837604e+00     8.389716e+00
    1.513937e+02     2.837604e+00     2.837604e+00     8.303889e+00
    1.533972e+02     2.837604e+00     2.837604e+00     8.219122e+00
    1.554007e+02     2.837604e+00     2.837604e+00     8.135301e+00
    1.574042e+02     2.837604e+00     2.837604e+00     8.052456e+00
    1.594077e+02     2.837604e+00     2.837604e+00     7.970463e+00
    1.614111e+02     2.837604e+00     2.837604e+00     7.889318e+00
    1.634146e+02     2.837604e+00     2.837604e+00     7.808992e+00
    1.654181e+02     2.837604e+00     2.837604e+00     7.729465e+00
    1.674216e+02     2.837604e+00     2.837604e+00     7.650724e+00
    1.694251e+02     2.837604e+00     2.837604e+00     7.572766e+00
    1.714286e+02     2.837604e+00     2.837604e+00     7.495569e+00
    1.734321e+02     2.837604e+00     2.837604e+00     7.419198e+00
    1.754355e+02     2.837604e+00     2.837604e+00     7.343590e+00
    1.774390e+02     2.837604e+00     2.837604e+00     7.268880e+00
    1.794425e+02     2.837604e+00     2.837604e+00     7.195107e+00
    1.814460e+02     2.837604e+00     2.837604e+00     7.122063e+00
    1.834495e+02     2.837604e+00     2.837604e+00     7.049870e+00
    1.854530e+02     2.837604e+00     2.837604e+00     6.978378e+00
