# Giai phuong trinh f(x) = 0 bang phuong phap Bisection
# Do chinh xac cua phep tinh la: 1e-08
####################################################################################################
    an         bn         cn         fn    
0.00001000 0.43954522 0.21977761 1.50861235e+00 
0.21977761 0.43954522 0.32966141 5.39755215e-01 
0.32966141 0.43954522 0.38460332 1.48515385e-01 
0.38460332 0.43954522 0.41207427 -6.59198982e-02 
0.38460332 0.41207427 0.39833879 4.56315328e-02 
0.39833879 0.41207427 0.40520653 -8.62411648e-03 
0.39833879 0.40520653 0.40177266 1.88140929e-02 
0.40177266 0.40520653 0.40348960 5.18000116e-03 
0.40348960 0.40520653 0.40434806 -1.69978226e-03 
0.40348960 0.40434806 0.40391883 1.74554582e-03 
0.40391883 0.40434806 0.40413345 2.42571200e-05 
0.40413345 0.40434806 0.40424075 -8.37416678e-04 
0.40413345 0.40424075 0.40418710 -4.06493564e-04 
0.40413345 0.40418710 0.40416027 -1.91096700e-04 
0.40413345 0.40416027 0.40414686 -8.34144139e-05 
0.40413345 0.40414686 0.40414015 -2.95773034e-05 
0.40413345 0.40414015 0.40413680 -2.65975586e-06 
0.40413345 0.40413680 0.40413512 1.07987660e-05 
0.40413512 0.40413680 0.40413596 4.06952606e-06 
0.40413596 0.40413680 0.40413638 7.04890343e-07 
0.40413638 0.40413680 0.40413659 -9.77431449e-07 
0.40413638 0.40413659 0.40413649 -1.36270225e-07 
0.40413638 0.40413649 0.40413643 2.84310141e-07 
0.40413643 0.40413649 0.40413646 7.40199789e-08 
0.40413646 0.40413649 0.40413647 -3.11251174e-08 
0.40413646 0.40413647 0.40413647 2.14474319e-08 
0.40413647 0.40413647 0.40413647 -4.83884283e-09 
