# Giai phuong trinh f(x) = 0 bang phuong phap Bisection
# Do chinh xac cua phep tinh la: 1e-08
####################################################################################################
    an         bn         cn         fn    
3.14160265 4.71237898 3.92699082 4.60150824e-01 
3.92699082 4.71237898 4.31968490 -1.15383456e+00 
3.92699082 4.31968490 4.12333786 -1.39816015e-01 
3.92699082 4.12333786 4.02516434 1.89023300e-01 
4.02516434 4.12333786 4.07425110 3.35884086e-02 
4.07425110 4.12333786 4.09879448 -5.05851713e-02 
4.07425110 4.09879448 4.08652279 -7.90495263e-03 
4.07425110 4.08652279 4.08038694 1.29855698e-02 
4.08038694 4.08652279 4.08345487 2.57681987e-03 
4.08345487 4.08652279 4.08498883 -2.65486855e-03 
4.08345487 4.08498883 4.08422185 -3.67336856e-05 
4.08345487 4.08422185 4.08383836 1.27061466e-03 
4.08383836 4.08422185 4.08403010 6.17083516e-04 
4.08403010 4.08422185 4.08412597 2.90210689e-04 
4.08412597 4.08422185 4.08417391 1.26747448e-04 
4.08417391 4.08422185 4.08419788 4.50091177e-05 
4.08419788 4.08422185 4.08420986 4.13827523e-06 
4.08420986 4.08422185 4.08421585 -1.62975654e-05 
4.08420986 4.08421585 4.08421286 -6.07961013e-06 
4.08420986 4.08421286 4.08421136 -9.70658716e-07 
4.08420986 4.08421136 4.08421061 1.58381044e-06 
4.08421061 4.08421136 4.08421099 3.06576410e-07 
4.08421099 4.08421136 4.08421117 -3.32041017e-07 
4.08421099 4.08421117 4.08421108 -1.27322695e-08 
4.08421099 4.08421108 4.08421103 1.46922077e-07 
4.08421103 4.08421108 4.08421106 6.70949043e-08 
4.08421106 4.08421108 4.08421107 2.71813194e-08 
4.08421107 4.08421108 4.08421107 7.22452365e-09 
4.08421107 4.08421108 4.08421108 -2.75387135e-09 
