# Giai phuong trinh f(x) = 0 bang phuong phap Bisection
# Do chinh xac cua phep tinh la: 1e-08
####################################################################################################
    an         bn         cn         fn    
0.78539816 1.41371669 1.09955743 1.53927933e+00 
1.09955743 1.41371669 1.25663706 -5.20162839e-02 
1.09955743 1.25663706 1.17809725 8.34439872e-01 
1.17809725 1.25663706 1.21736715 4.23128126e-01 
1.21736715 1.25663706 1.23700211 1.95136773e-01 
1.23700211 1.25663706 1.24681958 7.41967701e-02 
1.24681958 1.25663706 1.25172832 1.17827044e-02 
1.25172832 1.25663706 1.25418269 -1.99392871e-02 
1.25172832 1.25418269 1.25295551 -4.03447449e-03 
1.25172832 1.25295551 1.25234192 3.88500025e-03 
1.25234192 1.25295551 1.25264871 -7.20072218e-05 
1.25234192 1.25264871 1.25249531 1.90717791e-03 
1.25249531 1.25264871 1.25257201 9.17755831e-04 
1.25257201 1.25264871 1.25261036 4.22916942e-04 
1.25261036 1.25264871 1.25262954 1.75465522e-04 
1.25262954 1.25264871 1.25263912 5.17318157e-05 
1.25263912 1.25264871 1.25264392 -1.01370366e-05 
1.25263912 1.25264392 1.25264152 2.07975562e-05 
1.25264152 1.25264392 1.25264272 5.33030144e-06 
1.25264272 1.25264392 1.25264332 -2.40335716e-06 
1.25264272 1.25264332 1.25264302 1.46347474e-06 
1.25264302 1.25264332 1.25264317 -4.69940559e-07 
1.25264302 1.25264317 1.25264309 4.96767255e-07 
1.25264309 1.25264317 1.25264313 1.34133900e-08 
1.25264313 1.25264317 1.25264315 -2.28263574e-07 
1.25264313 1.25264315 1.25264314 -1.07425089e-07 
1.25264313 1.25264314 1.25264314 -4.70058503e-08 
