# Tinh tong trung binh cross term cua 31_lan_thu
########################################################################################################################
#Lan thu:       crossterm (xx)       crossterm (xy)
       1      -0.000000519599       0.000000284578
       2      -0.000000194727      -0.000000222185
       3       0.000000344009      -0.000000267747
       4       0.000000306844       0.000000013461
       5      -0.000000575675       0.000000047863
       6      -0.000000276914      -0.000000221009
       7      -0.000002609966       0.000001497450
       8      -0.000000302315       0.000000133128
       9       0.000000152630      -0.000000346379
      10      -0.000000057588       0.000000197070
      11      -0.000000399379       0.000000275802
      12      -0.000000329534      -0.000000092787
      13      -0.000000054308      -0.000000314530
      14      -0.000000479258      -0.000000973659
      15      -0.000000354403       0.000000665876
      16       0.000000091615       0.000000016740
      17      -0.000002567972       0.000004375190
      18      -0.000000447923      -0.000000588069
      19      -0.000000426998       0.000000002173
      20      -0.000000091028      -0.000000205993
      21       0.000000322006       0.000000209682
      22      -0.000006717688      -0.000003679533
      23      -0.000000642971       0.000000662338
      24      -0.000000142888       0.000000255464
      25      -0.000000271584      -0.000000513666
      26       0.000000309215       0.000000292052
      27      -0.000000164686       0.000000074272
      28      -0.000001570312       0.000001673733
      29       0.000000022544      -0.000000193793
      30       0.000000301008      -0.000000073232
      31      -0.000000254041      -0.000000182756
########################################################################################################################
# Trung binh crossterm (xx): -0.000000567803#
# Trung binh crossterm (xy): 0.000000090372#
