Giai phuong trinh f(x) = 0 bang PP chia doi khoang cach
Do chinh xac cua phep tinh la: 1e-05
####################################################################################################
  i             a             b                          c                       f(c)
  0      0.000000     20.000000         0.0000000000000000    -1.0000000000000000e+00
  1      0.000000     10.000000        10.0000000000000000     1.0008390715290765e+03
  2      0.000000      5.000000         5.0000000000000000     1.2471633781453677e+02
  3      0.000000      2.500000         2.5000000000000000     1.6426143615546934e+01
  4      0.000000      1.250000         1.2500000000000000     1.6378026376047314e+00
  5      0.625000      1.250000         0.6250000000000000    -5.6682249450521793e-01
  6      0.625000      0.937500         0.9375000000000000     2.3216953428252252e-01
  7      0.781250      0.937500         0.7812500000000000    -2.3319672536295466e-01
  8      0.859375      0.937500         0.8593750000000000    -1.8240734737476449e-02
  9      0.859375      0.898438         0.8984375000000000     1.0237655571432258e-01
 10      0.859375      0.878906         0.8789062500000000     4.0940398323820126e-02
 11      0.859375      0.869141         0.8691406250000000     1.1070389875065478e-02
 12      0.864258      0.869141         0.8642578125000000    -3.6547280761649592e-03
 13      0.864258      0.866699         0.8666992187500000     3.6904038695321217e-03
 14      0.864258      0.865479         0.8654785156250000     1.3485903138654720e-05
 15      0.864868      0.865479         0.8648681640625000    -1.8217084893289437e-03
 16      0.865173      0.865479         0.8651733398437500    -9.0438321824892753e-04
 17      0.865326      0.865479         0.8653259277343750    -4.4551664814951319e-04
 18      0.865402      0.865479         0.8654022216796875    -2.1603237131728736e-04
 19      0.865440      0.865479         0.8654403686523438    -1.0127748393773395e-04
 20      0.865459      0.865479         0.8654594421386719    -4.3896852879865556e-05
 21      0.865469      0.865479         0.8654689788818359    -1.5205740492962860e-05
 22      0.865474      0.865479         0.8654737472534180    -8.5998508303486432e-07
