Giai phuong trinh f(x) = 0 bang phuong phap Newton Raphson
Do chinh xac cua phep tinh la: 1e-15
####################################################################################################
  i                          p                       f(p)
  0         3.3155790675275290        37.4332772266179035
  1         2.1745322558797051        10.8501945575308376
  2         1.4516193138460858         2.9399551346131680
  3         1.0496842475985284         0.6587360489043886
  4         0.8918191069368465         0.0813031759265190
  5         0.8661247248211902         0.0019588679351474
  6         0.8654744437610644         0.0000012354852832
  7         0.8654740331017782         0.0000000000004926
  8         0.8654740331016144        -0.0000000000000001
  9         0.8654740331016144        -0.0000000000000001
