Ket qua tinh tich phan MC cho truong hop nD
################################################################################

       N_D            N          ket_qua           sai_so
         3         1000      0.991634177      0.016317449
         3      1001000      1.000522290      0.000515573
         3      2001000      0.999755041      0.000364755
         3      3001000      1.000483159      0.000298253
         3      4001000      1.000096012      0.000258212
         3      5001000      1.000025558      0.000230806
         3      6001000      1.000024771      0.000210827
         3      7001000      0.999856075      0.000195077
         3      8001000      1.000263284      0.000182569
         3      9001000      0.999797631      0.000172084
         3 khong tim thay                -                -
################################################################################

         4         1000      1.351887304      0.018793986
         4      1001000      1.333035992      0.000595801
         4      2001000      1.333906665      0.000421471
         4      3001000      1.333465612      0.000344120
         4      4001000      1.332808042      0.000297827
         4      5001000      1.334131853      0.000266697
         4      6001000      1.333140501      0.000243363
