# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
      0   0.000000000   0.523598776   0.000000000
      1   0.010000000   0.523598776  -0.085608400
      2   0.020000000   0.522742692  -0.171216800
      3   0.030000000   0.521030524  -0.256685230
      4   0.040000000   0.518463671  -0.341873720
      5   0.050000000   0.515044934  -0.426642531
      6   0.060000000   0.510778509  -0.510852377
      7   0.070000000   0.505669985  -0.594364663
      8   0.080000000   0.499726338  -0.677041706
      9   0.090000000   0.492955921  -0.758746962
     10   0.100000000   0.485368452  -0.839345255
     11   0.110000000   0.476974999  -0.918702997
     12   0.120000000   0.467787969  -0.996688410
     13   0.130000000   0.457821085  -1.073171743
     14   0.140000000   0.447089368  -1.148025490
     15   0.150000000   0.435609113  -1.221124602
     16   0.160000000   0.423397867  -1.292346692
     17   0.170000000   0.410474400  -1.361572243
     18   0.180000000   0.396858677  -1.428684807
     19   0.190000000   0.382571829  -1.493571201
     20   0.200000000   0.367636117  -1.556121695
     21   0.210000000   0.352074900  -1.616230200
     22   0.220000000   0.335912598  -1.673794446
     23   0.230000000   0.319174654  -1.728716156
     24   0.240000000   0.301887492  -1.780901212
     25   0.250000000   0.284078480  -1.830259817
     26   0.260000000   0.265775882  -1.876706649
     27   0.270000000   0.247008816  -1.920161005
     28   0.280000000   0.227807205  -1.960546947
     29   0.290000000   0.208201736  -1.997793425
     30   0.300000000   0.188223802  -2.031834409
     31   0.310000000   0.167905458  -2.062609000
     32   0.320000000   0.147279368  -2.090061543
     33   0.330000000   0.126378752  -2.114141719
     34   0.340000000   0.105237335  -2.134804645
     35   0.350000000   0.083889289  -2.152010950
     36   0.360000000   0.062369179  -2.165726848
     37   0.370000000   0.040711911  -2.175924209
     38   0.380000000   0.018952669  -2.182580606
     39   0.390000000  -0.002873138  -2.185679368
     40   0.400000000  -0.024729931  -2.185209610
     41   0.410000000  -0.046582027  -2.181166266
     42   0.420000000  -0.068393690  -2.173550104
     43   0.430000000  -0.090129191  -2.162367736
     44   0.440000000  -0.111752868  -2.147631613
     45   0.450000000  -0.133229184  -2.129360019
     46   0.460000000  -0.154522785  -2.107577048
     47   0.470000000  -0.175598555  -2.082312573
     48   0.480000000  -0.196421681  -2.053602209
     49   0.490000000  -0.216957703  -2.021487264
     50   0.500000000  -0.237172576  -1.986014679
     51   0.510000000  -0.257032722  -1.947236963
     52   0.520000000  -0.276505092  -1.905212113
     53   0.530000000  -0.295557213  -1.860003531
     54   0.540000000  -0.314157248  -1.811679926
     55   0.550000000  -0.332274048  -1.760315216
     56   0.560000000  -0.349877200  -1.705988409
     57   0.570000000  -0.366937084  -1.648783487
     58   0.580000000  -0.383424919  -1.588789274
     59   0.590000000  -0.399312812  -1.526099300
     60   0.600000000  -0.414573805  -1.460811655
     61   0.610000000  -0.429181921  -1.393028838
     62   0.620000000  -0.443112210  -1.322857594
     63   0.630000000  -0.456340785  -1.250408748
     64   0.640000000  -0.468844873  -1.175797029
     65   0.650000000  -0.480602843  -1.099140893
     66   0.660000000  -0.491594252  -1.020562328
     67   0.670000000  -0.501799875  -0.940186667
     68   0.680000000  -0.511201742  -0.858142388
     69   0.690000000  -0.519783166  -0.774560903
     70   0.700000000  -0.527528775  -0.689576355
     71   0.710000000  -0.534424539  -0.603325401
     72   0.720000000  -0.540457793  -0.515946989
     73   0.730000000  -0.545617262  -0.427582139
     74   0.740000000  -0.549893084  -0.338373717
     75   0.750000000  -0.553276821  -0.248466198
     76   0.760000000  -0.555761483  -0.158005438
     77   0.770000000  -0.557341537  -0.067138435
     78   0.780000000  -0.558012922   0.023986906
     79   0.790000000  -0.557773053   0.115222019
     80   0.800000000  -0.556620832   0.206417913
     81   0.810000000  -0.554556653   0.297425419
     82   0.820000000  -0.551582399   0.388095432
     83   0.830000000  -0.547701445   0.478279154
     84   0.840000000  -0.542918653   0.567828341
     85   0.850000000  -0.537240370   0.656595540
     86   0.860000000  -0.530674414   0.744434341
     87   0.870000000  -0.523230071   0.831199608
     88   0.880000000  -0.514918075   0.916747724
     89   0.890000000  -0.505750598   1.000936829
     90   0.900000000  -0.495741229   1.083627052
     91   0.910000000  -0.484904959   1.164680743
     92   0.920000000  -0.473258152   1.243962704
     93   0.930000000  -0.460818524   1.321340412
     94   0.940000000  -0.447605120   1.396684241
     95   0.950000000  -0.433638278   1.469867678
     96   0.960000000  -0.418939601   1.540767536
     97   0.970000000  -0.403531926   1.609264161
     98   0.980000000  -0.387439284   1.675241631
     99   0.990000000  -0.370686868   1.738587954
    100   1.000000000  -0.353300988   1.799195257
    101   1.010000000  -0.335309036   1.856959968
    102   1.020000000  -0.316739436   1.911782996
    103   1.030000000  -0.297621606   1.963569893
    104   1.040000000  -0.277985907   2.012231026
    105   1.050000000  -0.257863597   2.057681722
    106   1.060000000  -0.237286780   2.099842420
    107   1.070000000  -0.216288356   2.138638808
    108   1.080000000  -0.194901967   2.174001955
    109   1.090000000  -0.173161948   2.205868426
    110   1.100000000  -0.151103264   2.234180405
    111   1.110000000  -0.128761460   2.258885788
    112   1.120000000  -0.106172602   2.279938287
    113   1.130000000  -0.083373219   2.297297507
    114   1.140000000  -0.060400244   2.310929029
    115   1.150000000  -0.037290953   2.320804469
    116   1.160000000  -0.014082909   2.326901539
    117   1.170000000   0.009186107   2.329204095
    118   1.180000000   0.032478148   2.327702167
    119   1.190000000   0.055755169   2.322391989
    120   1.200000000   0.078979089   2.313276019
    121   1.210000000   0.102111849   2.300362938
    122   1.220000000   0.125115479   2.283667651
    123   1.230000000   0.147952155   2.263211270
    124   1.240000000   0.170584268   2.239021093
    125   1.250000000   0.192974479   2.211130565
    126   1.260000000   0.215085784   2.179579238
    127   1.270000000   0.236881577   2.144412712
    128   1.280000000   0.258325704   2.105682574
    129   1.290000000   0.279382530   2.063446321
    130   1.300000000   0.300016993   2.017767278
    131   1.310000000   0.320194666   1.968714500
    132   1.320000000   0.339881811   1.916362672
    133   1.330000000   0.359045437   1.860791996
    134   1.340000000   0.377653357   1.802088067
    135   1.350000000   0.395674238   1.740341743
    136   1.360000000   0.413077655   1.675649005
    137   1.370000000   0.429834146   1.608110808
    138   1.380000000   0.445915254   1.537832925
    139   1.390000000   0.461293583   1.464925781
    140   1.400000000   0.475942841   1.389504281
    141   1.410000000   0.489837883   1.311687626
    142   1.420000000   0.502954760   1.231599132
    143   1.430000000   0.515270751   1.149366029
    144   1.440000000   0.526764411   1.065119261
    145   1.450000000   0.537415604   0.978993280
