# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
      0   0.000000000   0.523598776   0.000000000
      1   0.010000000   0.523190026  -0.081750000
      2   0.020000000   0.521964065  -0.163384212
      3   0.030000000   0.519922631  -0.244786800
      4   0.040000000   0.517068618  -0.325841933
      5   0.050000000   0.513406081  -0.406433791
      6   0.060000000   0.508940230  -0.486446579
      7   0.070000000   0.503677436  -0.565764552
      8   0.080000000   0.497625224  -0.644272048
      9   0.090000000   0.490792278  -0.721853538
     10   0.100000000   0.483188435  -0.798393684
     11   0.110000000   0.474824683  -0.873777423
     12   0.120000000   0.465713162  -0.947890058
     13   0.130000000   0.455867155  -1.020617375
     14   0.140000000   0.445301084  -1.091845780
     15   0.150000000   0.434030505  -1.161462451
     16   0.160000000   0.422072097  -1.229355513
     17   0.170000000   0.409443651  -1.295414238
     18   0.180000000   0.396164063  -1.359529259
     19   0.190000000   0.382253311  -1.421592806
     20   0.200000000   0.367732446  -1.481498963
     21   0.210000000   0.352623565  -1.539143940
     22   0.220000000   0.336949793  -1.594426357
     23   0.230000000   0.320735255  -1.647247553
     24   0.240000000   0.304005051  -1.697511892
     25   0.250000000   0.286785219  -1.745127091
     26   0.260000000   0.269102701  -1.790004543
     27   0.270000000   0.250985310  -1.832059653
     28   0.280000000   0.232461680  -1.871212162
     29   0.290000000   0.213561228  -1.907386479
     30   0.300000000   0.194314101  -1.940512000
     31   0.310000000   0.174751127  -1.970523414
     32   0.320000000   0.154903760  -1.997360999
     33   0.330000000   0.134804022  -2.020970899
     34   0.340000000   0.114484444  -2.041305376
     35   0.350000000   0.093978004  -2.058323047
     36   0.360000000   0.073318059  -2.071989082
     37   0.370000000   0.052538285  -2.082275383
     38   0.380000000   0.031672601  -2.089160722
     39   0.390000000   0.010755105  -2.092630854
     40   0.400000000  -0.010179995  -2.092678585
     41   0.410000000  -0.031098459  -2.089303816
     42   0.420000000  -0.051966078  -2.082513536
     43   0.430000000  -0.072748751  -2.072321793
     44   0.440000000  -0.093412549  -2.058749616
     45   0.450000000  -0.113923791  -2.041824910
     46   0.460000000  -0.134249109  -2.021582316
     47   0.470000000  -0.154355513  -1.998063034
     48   0.480000000  -0.174210458  -1.971314623
     49   0.490000000  -0.193781907  -1.941390769
     50   0.500000000  -0.213038387  -1.908351031
     51   0.510000000  -0.231949053  -1.872260564
     52   0.520000000  -0.250483736  -1.833189827
     53   0.530000000  -0.268612998  -1.791214274
     54   0.540000000  -0.286308181  -1.746414034
     55   0.550000000  -0.303541449  -1.698873584
     56   0.560000000  -0.320285833  -1.648681422
     57   0.570000000  -0.336515267  -1.595929730
     58   0.580000000  -0.352204626  -1.540714054
     59   0.590000000  -0.367329755  -1.483132973
     60   0.600000000  -0.381867501  -1.423287793
     61   0.610000000  -0.395795734  -1.361282241
     62   0.620000000  -0.409093375  -1.297222176
     63   0.630000000  -0.421740414  -1.231215318
     64   0.640000000  -0.433717924  -1.163370993
     65   0.650000000  -0.445008082  -1.093799894
     66   0.660000000  -0.455594176  -1.022613864
     67   0.670000000  -0.465460618  -0.949925703
     68   0.680000000  -0.474592952  -0.875848984
     69   0.690000000  -0.482977864  -0.800497907
     70   0.700000000  -0.490603181  -0.723987156
     71   0.710000000  -0.497457881  -0.646431786
     72   0.720000000  -0.503532093  -0.567947129
     73   0.730000000  -0.508817103  -0.488648711
     74   0.740000000  -0.513305349  -0.408652189
     75   0.750000000  -0.516990430  -0.328073310
     76   0.760000000  -0.519867101  -0.247027867
     77   0.770000000  -0.521931274  -0.165631681
     78   0.780000000  -0.523180022  -0.084000584
     79   0.790000000  -0.523611574  -0.002250415
     80   0.800000000  -0.523225319   0.079502991
     81   0.810000000  -0.522021804   0.161143794
     82   0.820000000  -0.520002733   0.242556159
     83   0.830000000  -0.517170970   0.323624250
     84   0.840000000  -0.513530537   0.404232247
     85   0.850000000  -0.509086613   0.484264351
     86   0.860000000  -0.503845536   0.563604813
     87   0.870000000  -0.497814802   0.642137968
     88   0.880000000  -0.491003060   0.719748278
     89   0.890000000  -0.483420118   0.796320400
     90   0.900000000  -0.475076931   0.871739257
     91   0.910000000  -0.465985609   0.945890139
     92   0.920000000  -0.456159402   1.018658816
     93   0.930000000  -0.445612702   1.089931672
     94   0.940000000  -0.434361034   1.159595857
     95   0.950000000  -0.422421046   1.227539468
     96   0.960000000  -0.409810501   1.293651739
     97   0.970000000  -0.396548263   1.357823259
     98   0.980000000  -0.382654281   1.419946208
     99   0.990000000  -0.368149578   1.479914614
    100   1.000000000  -0.353056222   1.537624621
    101   1.010000000  -0.337397311   1.592974776
    102   1.020000000  -0.321196944   1.645866335
    103   1.030000000  -0.304480194   1.696203574
    104   1.040000000  -0.287273074   1.743894109
    105   1.050000000  -0.269602504   1.788849225
    106   1.060000000  -0.251496272   1.830984209
    107   1.070000000  -0.232982992   1.870218676
    108   1.080000000  -0.214092060   1.906476900
    109   1.090000000  -0.194853605   1.939688133
    110   1.100000000  -0.175298437   1.969786912
    111   1.110000000  -0.155457994   1.996713355
    112   1.120000000  -0.135364285   2.020413438
    113   1.130000000  -0.115049828   2.040839252
    114   1.140000000  -0.094547590   2.057949233
    115   1.150000000  -0.073890920   2.071708368
    116   1.160000000  -0.053113485   2.082088368
    117   1.170000000  -0.032249202   2.089067816
    118   1.180000000  -0.011332164   2.092632270
    119   1.190000000   0.009603422   2.092774344
    120   1.200000000   0.030523315   2.089493742
    121   1.210000000   0.051393303   2.082797258
    122   1.220000000   0.072179280   2.072698747
    123   1.230000000   0.092847313   2.059219047
    124   1.240000000   0.113363709   2.042385877
    125   1.250000000   0.133695092   2.022233696
    126   1.260000000   0.153808458   1.998803526
    127   1.270000000   0.173671250   1.972142757
    128   1.280000000   0.193251414   1.942304910
    129   1.290000000   0.212517462   1.909349388
    130   1.300000000   0.231438527   1.873341198
    131   1.310000000   0.249984423   1.834350660
    132   1.320000000   0.268125689   1.792453095
    133   1.330000000   0.285833644   1.747728511
    134   1.340000000   0.303080429   1.700261272
    135   1.350000000   0.319839049   1.650139772
    136   1.360000000   0.336083414   1.597456101
