# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
      0   0.000000000   0.523598776   0.000000000
      1   0.010000000   0.523170792  -0.085585072
      2   0.020000000   0.521887541  -0.171030231
      3   0.030000000   0.519751119  -0.256195793
      4   0.040000000   0.516765021  -0.340942533
      5   0.050000000   0.512934127  -0.425131907
      6   0.060000000   0.508264700  -0.508626286
      7   0.070000000   0.502764373  -0.591289174
      8   0.080000000   0.496442139  -0.672985436
      9   0.090000000   0.489308332  -0.753581517
     10   0.100000000   0.481374615  -0.832945659
     11   0.110000000   0.472653958  -0.910948122
     12   0.120000000   0.463160618  -0.987461387
     13   0.130000000   0.452910112  -1.062360373
     14   0.140000000   0.441919200  -1.135522636
     15   0.150000000   0.430205848  -1.206828573
     16   0.160000000   0.417789206  -1.276161614
     17   0.170000000   0.404689571  -1.343408415
     18   0.180000000   0.390928359  -1.408459042
     19   0.190000000   0.376528066  -1.471207153
     20   0.200000000   0.361512234  -1.531550168
     21   0.210000000   0.345905410  -1.589389440
     22   0.220000000   0.329733107  -1.644630415
     23   0.230000000   0.313021765  -1.697182785
     24   0.240000000   0.295798701  -1.746960639
     25   0.250000000   0.278092073  -1.793882602
     26   0.260000000   0.259930826  -1.837871967
     27   0.270000000   0.241344650  -1.878856820
     28   0.280000000   0.222363929  -1.916770161
     29   0.290000000   0.203019693  -1.951550010
     30   0.300000000   0.183343565  -1.983139510
     31   0.310000000   0.163367711  -2.011487019
     32   0.320000000   0.143124787  -2.036546194
     33   0.330000000   0.122647886  -2.058276071
     34   0.340000000   0.101970483  -2.076641124
     35   0.350000000   0.081126381  -2.091611332
     36   0.360000000   0.060149656  -2.103162222
     37   0.370000000   0.039074599  -2.111274910
     38   0.380000000   0.017935664  -2.115936134
     39   0.390000000  -0.003232592  -2.117138274
     40   0.400000000  -0.024395563  -2.114879364
     41   0.410000000  -0.045518653  -2.109163098
     42   0.420000000  -0.066567330  -2.099998821
     43   0.430000000  -0.087507184  -2.087401513
     44   0.440000000  -0.108303984  -2.071391769
     45   0.450000000  -0.128923730  -2.051995761
     46   0.460000000  -0.149332716  -2.029245197
     47   0.470000000  -0.169497575  -2.003177269
     48   0.480000000  -0.189385344  -1.973834593
     49   0.490000000  -0.208963509  -1.941265138
     50   0.500000000  -0.228200067  -1.905522146
     51   0.510000000  -0.247063567  -1.866664050
     52   0.520000000  -0.265523174  -1.824754374
     53   0.530000000  -0.283548710  -1.779861632
     54   0.540000000  -0.301110707  -1.732059212
     55   0.550000000  -0.318180454  -1.681425262
     56   0.560000000  -0.334730048  -1.628042556
     57   0.570000000  -0.350732433  -1.571998363
     58   0.580000000  -0.366161448  -1.513384303
     59   0.590000000  -0.380991871  -1.452296197
     60   0.600000000  -0.395199457  -1.388833911
     61   0.610000000  -0.408760980  -1.323101190
     62   0.620000000  -0.421654270  -1.255205494
     63   0.630000000  -0.433858249  -1.185257816
     64   0.640000000  -0.445352966  -1.113372507
     65   0.650000000  -0.456119631  -1.039667081
     66   0.660000000  -0.466140642  -0.964262031
     67   0.670000000  -0.475399616  -0.887280627
     68   0.680000000  -0.483881419  -0.808848718
     69   0.690000000  -0.491572182  -0.729094521
     70   0.700000000  -0.498459335  -0.648148417
     71   0.710000000  -0.504531618  -0.566142735
     72   0.720000000  -0.509779105  -0.483211535
     73   0.730000000  -0.514193216  -0.399490393
     74   0.740000000  -0.517766735  -0.315116172
     75   0.750000000  -0.520493822  -0.230226807
     76   0.760000000  -0.522370017  -0.144961072
     77   0.770000000  -0.523392253  -0.059458359
     78   0.780000000  -0.523558860   0.026141556
     79   0.790000000  -0.522869564   0.111698735
     80   0.800000000  -0.521325494   0.197073312
     81   0.810000000  -0.518929172   0.282125718
     82   0.820000000  -0.515684517   0.366716911
     83   0.830000000  -0.511596832   0.450708603
     84   0.840000000  -0.506672801   0.533963488
     85   0.850000000  -0.500920473   0.616345461
     86   0.860000000  -0.494349251   0.697719847
     87   0.870000000  -0.486969878   0.777953616
     88   0.880000000  -0.478794418   0.856915604
     89   0.890000000  -0.469836236   0.934476726
     90   0.900000000  -0.460109977   1.010510187
     91   0.910000000  -0.449631540   1.084891689
     92   0.920000000  -0.438418056   1.157499635
     93   0.930000000  -0.426487856   1.228215327
     94   0.940000000  -0.413860443   1.296923161
     95   0.950000000  -0.400556461   1.363510814
     96   0.960000000  -0.386597658   1.427869431
     97   0.970000000  -0.372006854   1.489893799
     98   0.980000000  -0.356807902   1.549482523
     99   0.990000000  -0.341025648   1.606538189
    100   1.000000000  -0.324685893   1.660967522
    101   1.010000000  -0.307815350   1.712681544
    102   1.020000000  -0.290441597   1.761595713
    103   1.030000000  -0.272593036   1.807630065
    104   1.040000000  -0.254298847   1.850709345
    105   1.050000000  -0.235588936   1.890763128
    106   1.060000000  -0.216493889   1.927725934
    107   1.070000000  -0.197044923   1.961537338
    108   1.080000000  -0.177273833   1.992142066
    109   1.090000000  -0.157212939   2.019490085
    110   1.100000000  -0.136895037   2.043536688
    111   1.110000000  -0.116353342   2.064242564
    112   1.120000000  -0.095621436   2.081573863
    113   1.130000000  -0.074733210   2.095502253
    114   1.140000000  -0.053722811   2.106004963
    115   1.150000000  -0.032624588   2.113064825
    116   1.160000000  -0.011473031   2.116670296
    117   1.170000000   0.009697282   2.116815483
    118   1.180000000   0.030851742   2.113500149
    119   1.190000000   0.051955766   2.106729713
    120   1.200000000   0.072974855   2.096515243
    121   1.210000000   0.093874645   2.082873438
    122   1.220000000   0.114620972   2.065826599
    123   1.230000000   0.135179918   2.045402594
    124   1.240000000   0.155517876   2.021634811
    125   1.250000000   0.175601597   1.994562106
    126   1.260000000   0.195398248   1.964228736
    127   1.270000000   0.214875466   1.930684290
    128   1.280000000   0.234001411   1.893983606
    129   1.290000000   0.252744816   1.854186680
    130   1.300000000   0.271075040   1.811358572
    131   1.310000000   0.288962116   1.765569297
    132   1.320000000   0.306376803   1.716893709
