# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
      0   0.000000000   0.261799388   0.000000000
      1   0.010000000   0.261585396  -0.042792536
      2   0.020000000   0.260943770  -0.085515115
      3   0.030000000   0.259875560  -0.128097897
      4   0.040000000   0.258382510  -0.170471266
      5   0.050000000   0.256467063  -0.212565954
      6   0.060000000   0.254132350  -0.254313143
      7   0.070000000   0.251382187  -0.295644587
      8   0.080000000   0.248221069  -0.336492718
      9   0.090000000   0.244654166  -0.376790758
     10   0.100000000   0.240687308  -0.416472830
     11   0.110000000   0.236326979  -0.455474061
     12   0.120000000   0.231580309  -0.493730693
     13   0.130000000   0.226455056  -0.531180186
     14   0.140000000   0.220959600  -0.567761318
     15   0.150000000   0.215102924  -0.603414286
     16   0.160000000   0.208894603  -0.638080807
     17   0.170000000   0.202344786  -0.671704207
     18   0.180000000   0.195464179  -0.704229521
     19   0.190000000   0.188264033  -0.735603577
     20   0.200000000   0.180756117  -0.765775084
     21   0.210000000   0.172952705  -0.794694720
     22   0.220000000   0.164866554  -0.822315207
     23   0.230000000   0.156510882  -0.848591392
     24   0.240000000   0.147899351  -0.873480319
     25   0.250000000   0.139046036  -0.896941301
     26   0.260000000   0.129965413  -0.918935983
     27   0.270000000   0.120672325  -0.939428410
     28   0.280000000   0.111181965  -0.958385081
     29   0.290000000   0.101509847  -0.975775005
     30   0.300000000   0.091671782  -0.991569755
     31   0.310000000   0.081683855  -1.005743509
     32   0.320000000   0.071562394  -1.018273097
     33   0.330000000   0.061323943  -1.029138035
     34   0.340000000   0.050985242  -1.038320562
     35   0.350000000   0.040563191  -1.045805666
     36   0.360000000   0.030074828  -1.051581111
     37   0.370000000   0.019537300  -1.055637455
     38   0.380000000   0.008967832  -1.057968067
     39   0.390000000  -0.001616296  -1.058569137
     40   0.400000000  -0.012197781  -1.057439682
     41   0.410000000  -0.022759326  -1.054581549
     42   0.420000000  -0.033283665  -1.049999410
     43   0.430000000  -0.043753592  -1.043700756
     44   0.440000000  -0.054151992  -1.035695884
     45   0.450000000  -0.064461865  -1.025997880
     46   0.460000000  -0.074666358  -1.014622598
     47   0.470000000  -0.084748788  -1.001588635
     48   0.480000000  -0.094692672  -0.986917297
     49   0.490000000  -0.104481755  -0.970632569
     50   0.500000000  -0.114100033  -0.952761073
     51   0.510000000  -0.123531784  -0.933332025
     52   0.520000000  -0.132761587  -0.912377187
     53   0.530000000  -0.141774355  -0.889930816
     54   0.540000000  -0.150555353  -0.866029606
     55   0.550000000  -0.159090227  -0.840712631
     56   0.560000000  -0.167365024  -0.814021278
     57   0.570000000  -0.175366216  -0.785999182
     58   0.580000000  -0.183080724  -0.756692152
     59   0.590000000  -0.190495935  -0.726148099
     60   0.600000000  -0.197599728  -0.694416955
     61   0.610000000  -0.204380490  -0.661550595
     62   0.620000000  -0.210827135  -0.627602747
     63   0.630000000  -0.216929124  -0.592628908
     64   0.640000000  -0.222676483  -0.556686253
     65   0.650000000  -0.228059815  -0.519833540
     66   0.660000000  -0.233070321  -0.482131015
     67   0.670000000  -0.237699808  -0.443640314
     68   0.680000000  -0.241940709  -0.404424359
     69   0.690000000  -0.245786091  -0.364547260
     70   0.700000000  -0.249229668  -0.324074208
     71   0.710000000  -0.252265809  -0.283071367
     72   0.720000000  -0.254889552  -0.241605768
     73   0.730000000  -0.257096608  -0.199745196
     74   0.740000000  -0.258883368  -0.157558086
     75   0.750000000  -0.260246911  -0.115113404
     76   0.760000000  -0.261185008  -0.072480536
     77   0.770000000  -0.261696126  -0.029729179
     78   0.780000000  -0.261779430   0.013070778
     79   0.790000000  -0.261434782   0.055849368
     80   0.800000000  -0.260662747   0.098536656
     81   0.810000000  -0.259464586   0.141062859
     82   0.820000000  -0.257842258   0.183358455
     83   0.830000000  -0.255798416   0.225354302
     84   0.840000000  -0.253336401   0.266981744
     85   0.850000000  -0.250460236   0.308172730
     86   0.860000000  -0.247174625   0.348859923
     87   0.870000000  -0.243484939   0.388976808
     88   0.880000000  -0.239397209   0.428457802
     89   0.890000000  -0.234918118   0.467238363
     90   0.900000000  -0.230054988   0.505255094
     91   0.910000000  -0.224815770   0.542445845
     92   0.920000000  -0.219209028   0.578749818
     93   0.930000000  -0.213243928   0.614107664
     94   0.940000000  -0.206930221   0.648461580
     95   0.950000000  -0.200278230   0.681755407
     96   0.960000000  -0.193298829   0.713934715
     97   0.970000000  -0.186003427   0.744946900
     98   0.980000000  -0.178403951   0.774741262
     99   0.990000000  -0.170512824   0.803269094
    100   1.000000000  -0.162342947   0.830483761
    101   1.010000000  -0.153907675   0.856340772
    102   1.020000000  -0.145220798   0.880797856
    103   1.030000000  -0.136296518   0.903815033
    104   1.040000000  -0.127149423   0.925354673
    105   1.050000000  -0.117794468   0.945381564
    106   1.060000000  -0.108246944   0.963862967
    107   1.070000000  -0.098522462   0.980768669
