Ket qua tinh toan he phuong trinh sau 11 lan lap:

####################################################################################################

    i            x_1             x_2             x_3             x_4               sai_so
    1    0.000000000     0.000000000     0.000000000     0.000000000         2.327273e+00
    2    0.600000000     2.327272727    -0.987272727     0.878863636         4.301818e-01
    3    1.030181818     2.036938017    -1.014456198     0.984341219         3.338300e-02
    4    1.006585041     2.003555017    -1.002527385     0.998350946         5.724063e-03
    5    1.000860979     2.000298251    -1.000307276     0.999849746         7.696983e-04
    6    1.000091280     2.000021342    -1.000031147     0.999988103         8.291662e-05
    7    1.000008364     2.000001173    -1.000002745     0.999999217         7.697313e-06
    8    1.000000666     2.000000025    -1.000000209     0.999999965         6.220629e-07
    9    1.000000044     1.999999995    -1.000000013     1.000000000         4.223360e-08
   10    1.000000002     1.999999999    -1.000000000     1.000000000         2.064809e-09
   11    1.000000000     2.000000000    -1.000000000     1.000000000         1.257037e-10
