Ket qua tinh toan he phuong trinh sau 198 lan lap:

####################################################################################################

    i             F1              F2              F3              f1              f2              f3              f4              f5               sai_so
    1    0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000         5.000000e+03
    2    0.000000000     0.000000000     0.000000000     0.000000000     0.000000000  5000.000000000 -1250.000000000   541.265877365         1.929529e+03
    3    0.000000000     0.000000000  -625.000000000 -1929.528856155   952.824408024  5994.691469341 -2138.997275359  1402.625193555         1.431486e+03
    4 -411.558530659 -1364.382938683 -1069.498637680 -3361.014538767  1683.831417463  6723.047404854 -2990.438322187  2136.813486463         1.083440e+03
    5 -692.764754566 -2376.596172028 -1495.219161093 -4444.454669982  2293.376383859  7318.961598457 -3703.967327944  2750.553092323         8.447450e+02
    6 -849.327651961 -3142.704035820 -1851.983663972 -5289.199667202  2820.627196045  7796.006307850 -4287.494722771  3266.853272278         6.665473e+02
    7 -919.401755683 -3740.028951728 -2143.747361386 -5955.746941843  3279.400283101  8177.548205497 -4765.643222015  3703.284189370         5.300460e+02
    8 -931.948766507 -4211.349049608 -2382.821611008 -6485.792979725  3678.741810100  8484.484904172 -5159.719094381  4073.594811113         4.245387e+02
    9 -907.406387236 -4586.148197336 -2579.859547191 -6910.331679673  4026.265407411  8733.100969068 -5486.421147976  4388.822748709         3.424468e+02
   10 -860.076983534 -4886.342390945 -2743.210573988 -7252.778439118  4328.617290959  8935.849695366 -5758.759658859  4657.924724910         2.781491e+02
   11 -799.871525785 -5128.488816744 -2879.379829430 -7530.927515128  4591.611556849  9102.274872001 -5986.927979802  4888.221638993         2.287179e+02
   12 -733.558357723 -5325.169914571 -2993.463989901 -7758.369392087  4820.329444682  9239.729798998 -6178.967385379  5085.736084788         1.988780e+02
   13 -665.666163413 -5485.995608095 -3089.483692690 -7945.539713847  5019.207466612  9353.914352269 -6341.266335205  5255.452602531         1.729087e+02
   14 -599.137545236 -5618.345011848 -3170.633167603 -8100.498240296  5192.116146999  9449.275202153 -6478.936433232  5401.519843841         1.503139e+02
   15 -535.801089704 -5727.917236703 -3239.468216616 -8229.508476983  5342.430002022  9529.304733261 -6596.096702213  5527.408655979         1.306595e+02
   16 -476.711247885 -5819.141249907 -3298.048351107 -8337.469961868  5473.089478035  9596.764949541 -6696.089488801  5636.036540675         1.135661e+02
   17 -422.392069941 -5895.481547976 -3348.044744400 -8428.241511277  5586.655598418  9653.855735251 -6781.645240275  5729.866327975         9.870245e+01
   18 -373.011127684 -5959.666726102 -3390.822620137 -8504.883655791  5685.358053252  9702.341763175 -6855.008929236  5810.984964569         8.577938e+01
   19 -328.502852961 -6013.860906212 -3427.504464618 -8569.841087578  5771.137429163  9743.648605668 -6918.037611218  5881.166872407         7.454480e+01
   20 -288.655317554 -6059.792746717 -3459.018805609 -8625.080489331  5845.682228569  9778.935853948 -6972.276170680  5941.925257290         6.477905e+01
   21 -253.170673717 -6098.852902286 -3486.138085340 -8672.195102566  5910.461274185  9809.153025069 -7019.016515397  5994.553943051         5.629077e+01
   22 -221.706690612 -6132.167964797 -3509.508257699 -8712.484438181  5966.752039829  9835.082542459 -7059.344150939  6040.161704300         4.891335e+01
   23 -193.904787391 -6160.656827220 -3529.672075469 -8747.015354840  6015.665394730  9857.372974010 -7094.175082633  6079.700617592         4.250180e+01
   24 -169.408477821 -6185.073872550 -3547.087541316 -8776.669125062  6058.167197167  9876.564897939 -7124.285261998  6113.989608932         3.692993e+01
   25 -147.875057395 -6206.042254562 -3562.142630999 -8802.177923886  6095.097125364  9893.111165095 -7150.334251469  6143.734116343         3.208796e+01
   26 -128.982573827 -6224.079699190 -3575.167125735 -8824.153299443  6127.185089391  9907.392881000 -7172.884376509  6169.542588928         2.788044e+01
   27 -112.433546875 -6239.618636266 -3586.442188254 -8843.108537218  6155.065527745  9919.732100845 -7192.416331816  6191.940392846         2.422433e+01
   28  -97.956485691 -6253.022013436 -3596.208165908 -8859.476350130  6179.289856047  9930.401985423 -7209.341981819  6211.381578436         2.104745e+01
   29  -85.305948892 -6264.595804939 -3604.670990910 -8873.622970742  6200.337302924  9939.634983607 -7224.014925335  6228.258872791         1.828704e+01
   30  -74.261673380 -6274.598976304 -3612.007462667 -8885.859457475  6218.624339231  9947.629470859 -7236.739265823  6242.912191999         1.588854e+01
   31  -64.627139820 -6283.251479051 -3618.369632911 -8896.450829744  6234.512881191  9954.555171558 -7247.776931328  6255.635912342         1.380454e+01
   32  -56.227829013 -6290.740710204 -3623.888465664 -8905.623499865  6248.317425389  9960.557616557 -7257.353814151  6266.685096348         1.199383e+01
   33  -48.909342060 -6297.226767449 -3628.676907076 -8913.571359541  6260.311253605  9965.761829999 -7265.664943611  6276.280835079         1.042057e+01
   34  -42.535499317 -6302.846752921 -3632.832471805 -8920.460795981  6270.731827955  9970.275395976 -7272.878861722  6284.614840427         9.053653e+00
   35  -36.986492192 -6307.718320147 -3636.439430861 -8926.434850455  6279.785481406  9974.191022719 -7279.141337883  6291.853398875         7.866014e+00
   36  -32.157133171 -6311.942614577 -3639.570668941 -8931.616684854  6287.651495261  9977.588696880 -7284.578532410  6298.140780095         6.834148e+00
   37  -27.955229558 -6315.606724819 -3642.289266205 -8936.112486020  6294.485643424  9980.537501258 -7289.299698232  6303.602178946         5.937630e+00
   38  -24.300092887 -6318.785736311 -3644.649849116 -8940.013910204  6300.423272933  9983.097154462 -7293.399493775  6308.346257245         5.158708e+00
   39  -21.121186874 -6321.544459808 -3646.699746887 -8943.400148949  6305.581981279  9985.319319537 -7296.959967188  6312.467341631         4.481962e+00
   40  -18.356910908 -6323.938892187 -3648.479983594 -8946.339681483  6310.063943149  9987.248719584 -7300.052261763  6316.047325395         3.893989e+00
   41  -15.953512426 -6326.017455575 -3650.026130881 -8948.891766043  6313.957932421  9988.924091377 -7302.738084020  6319.157315183         3.383147e+00
   42  -13.864119452 -6327.822051873 -3651.369042010 -8951.107712677  6317.341079248  9990.379002387 -7305.070969231  6321.859057525         2.939318e+00
   43  -12.047883517 -6329.388962765 -3652.535484616 -8953.031972275  6320.280396892  9991.642552196 -7307.097373602  6324.206175179         2.553712e+00
