Ket qua tinh toan he phuong trinh sau 999 lan lap:

####################################################################################################

    i             F1              F2              f5              F3              f2              f3              f1              f4               sai_so
    1    0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000         2.000000e+04
    2   -0.000000000    -0.000000000    -0.000000000    -0.000000000    -0.000000000 10000.000000000 -20000.000000000 17320.508075689         3.464102e+04
    3   -0.000000000    -0.000000000 -10000.000000000 -24494.897427832 17320.508075689 10000.000000000 14641.016151378 -12679.491924311         6.000000e+04
    4   -0.000000000 -17320.508075689  7320.508075689 17931.509443361 -12679.491924311 10000.000000000 -45358.983848622 39282.032302755         1.039230e+05
    5   -0.000000000 12679.491924311 -22679.491924311 -55553.182840134 39282.032302755 10000.000000000 58564.064605510 -50717.967697245         1.800000e+05
    6   -0.000000000 -39282.032302755 29282.032302755 71726.037773444 -50717.967697245 10000.000000000 -121435.935394490 105166.604983954         3.117691e+05
    7   -0.000000000 50717.967697245 -60717.967697245 -148728.039077042 105166.604983954 10000.000000000 190333.209967908 -164833.395016046         5.400000e+05
    8   -0.000000000 -105166.604983954 95166.604983954 233109.622763694 -164833.395016046 10000.000000000 -349666.790032092 302820.323027551         9.353074e+05
    9   -0.000000000 164833.395016046 -174833.395016046 -428252.607787764 302820.323027551 10000.000000000 585640.646055102 -507179.676972449         1.620000e+06
   10   -0.000000000 -302820.323027551 292820.323027551 717260.377734442 -507179.676972449 10000.000000000 -1034359.353944898 895781.477158341         2.805922e+06
   11   -0.000000000 507179.676972449 -517179.676972449 -1266826.313919930 895781.477158341 10000.000000000 1771562.954316682 -1534218.522841657         4.860000e+06
   12    0.000000000 -895781.477158341 885781.477158341 2169712.642646688 -1534218.522841657 10000.000000000 -3088437.045683315 2674664.939550711         8.417767e+06
   13   -0.000000000 1534218.522841657 -1544218.522841657 -3782547.432316430 2674664.939550711 10000.000000000 5329329.879101423 -4615335.060449283         1.458000e+07
   14   -0.000000000 -2674664.939550711 2664664.939550711 6527069.437383424 -4615335.060449283 10000.000000000 -9250670.120898565 8011315.326727821         2.525330e+07
   15   -0.000000000 4615335.060449283 -4625335.060449283 -11329710.787505927 8011315.326727821 10000.000000000 16002630.653455641 -13858684.673272155         4.374000e+07
   16    0.000000001 -8011315.326727821 8001315.326727821 19599139.821593627 -13858684.673272155 10000.000000000 -27737369.346544310 24021266.488259148         7.575990e+07
   17   -0.000000000 13858684.673272155 -13868684.673272155 -33971200.853074417 24021266.488259148 10000.000000000 48022532.976518296 -41588733.511740774         1.312200e+08
   18   -0.000000000 -24021266.488259148 24011266.488259148 58815350.974224232 -41588733.511740774 10000.000000000 -83197467.023481548 72051119.972853124         2.272797e+08
   19   -0.000000000 41588733.511740774 -41598733.511740774 -101895671.049779862 72051119.972853124 10000.000000000 144082239.945706248 -124778880.027146623         3.936600e+08
   20   -0.000000000 -72051119.972853124 72041119.972853124 176463984.432116061 -124778880.027146623 10000.000000000 -249577760.054293245 216140680.426635027         6.818391e+08
