# Bai toan truyen nhiet 1D
# Phuong phap sai phan huu han hien
#
# N_x    = 101
# N_time = 600
# l      = 0.5
# t_max  = 1800.0
#
# Cot du lieu: j   i   t   x   u
    0     0  0.00000000e+00  0.00000000e+00  0.00000000e+00
    0     1  0.00000000e+00  5.00000000e-03  1.00000000e+02
    0     2  0.00000000e+00  1.00000000e-02  1.00000000e+02
    0     3  0.00000000e+00  1.50000000e-02  1.00000000e+02
    0     4  0.00000000e+00  2.00000000e-02  1.00000000e+02
    0     5  0.00000000e+00  2.50000000e-02  1.00000000e+02
    0     6  0.00000000e+00  3.00000000e-02  1.00000000e+02
    0     7  0.00000000e+00  3.50000000e-02  1.00000000e+02
    0     8  0.00000000e+00  4.00000000e-02  1.00000000e+02
    0     9  0.00000000e+00  4.50000000e-02  1.00000000e+02
    0    10  0.00000000e+00  5.00000000e-02  1.00000000e+02
    0    11  0.00000000e+00  5.50000000e-02  1.00000000e+02
    0    12  0.00000000e+00  6.00000000e-02  1.00000000e+02
    0    13  0.00000000e+00  6.50000000e-02  1.00000000e+02
    0    14  0.00000000e+00  7.00000000e-02  1.00000000e+02
    0    15  0.00000000e+00  7.50000000e-02  1.00000000e+02
    0    16  0.00000000e+00  8.00000000e-02  1.00000000e+02
    0    17  0.00000000e+00  8.50000000e-02  1.00000000e+02
    0    18  0.00000000e+00  9.00000000e-02  1.00000000e+02
    0    19  0.00000000e+00  9.50000000e-02  1.00000000e+02
    0    20  0.00000000e+00  1.00000000e-01  1.00000000e+02
    0    21  0.00000000e+00  1.05000000e-01  1.00000000e+02
    0    22  0.00000000e+00  1.10000000e-01  1.00000000e+02
    0    23  0.00000000e+00  1.15000000e-01  1.00000000e+02
    0    24  0.00000000e+00  1.20000000e-01  1.00000000e+02
    0    25  0.00000000e+00  1.25000000e-01  1.00000000e+02
    0    26  0.00000000e+00  1.30000000e-01  1.00000000e+02
    0    27  0.00000000e+00  1.35000000e-01  1.00000000e+02
    0    28  0.00000000e+00  1.40000000e-01  1.00000000e+02
    0    29  0.00000000e+00  1.45000000e-01  1.00000000e+02
    0    30  0.00000000e+00  1.50000000e-01  1.00000000e+02
    0    31  0.00000000e+00  1.55000000e-01  1.00000000e+02
    0    32  0.00000000e+00  1.60000000e-01  1.00000000e+02
    0    33  0.00000000e+00  1.65000000e-01  1.00000000e+02
    0    34  0.00000000e+00  1.70000000e-01  1.00000000e+02
    0    35  0.00000000e+00  1.75000000e-01  1.00000000e+02
    0    36  0.00000000e+00  1.80000000e-01  1.00000000e+02
    0    37  0.00000000e+00  1.85000000e-01  1.00000000e+02
