Giai phuong trinh f(x) = 0 bang phuong phap diem co dinh
Do chinh xac cua phep tinh la: 1e-15
####################################################################################################
  i                          p                  g(p)
  0         5.0000000000000000         0.3274420427990103
  1         0.3274420427990103         1.4022717787615870
  2         1.4022717787615870         1.1764159451278222
  3         1.1764159451278222         1.2219625121929814
  4         1.2219625121929814         1.2127241981501888
  5         1.2127241981501888         1.2145956341040318
  6         1.2145956341040318         1.2142164346033653
  7         1.2142164346033653         1.2142932658836967
  8         1.2142932658836967         1.2142776985966119
  9         1.2142776985966119         1.2142808527795381
 10         1.2142808527795381         1.2142802136910344
 11         1.2142802136910344         1.2142803431806961
 12         1.2142803431806961         1.2142803169439971
 13         1.2142803169439971         1.2142803222599763
 14         1.2142803222599763         1.2142803211828730
 15         1.2142803211828730         1.2142803214011115
 16         1.2142803214011115         1.2142803213568929
 17         1.2142803213568929         1.2142803213658524
 18         1.2142803213658524         1.2142803213640370
 19         1.2142803213640370         1.2142803213644047
 20         1.2142803213644047         1.2142803213643303
 21         1.2142803213643303         1.2142803213643454
 22         1.2142803213643454         1.2142803213643425
 23         1.2142803213643425         1.2142803213643427
