Ket qua tinh tich phan MC cho truong hop nD
################################################################################

       N_D            N          ket_qua           sai_so
         3         1000      1.011042985      0.016309747
         3         2000      1.024161027      0.011664628
         3         4000      0.992385765      0.008003257
         3         8000      1.005834025      0.005784816
         3        16000      0.992019848      0.004076078
         3        32000      0.998397339      0.002890401
         3        64000      0.996473968      0.002034015
         3       128000      1.000361572      0.001442844
         3       256000      1.000011222      0.001022165
         3       512000      1.000067055      0.000722141
         3      1024000      0.999338583      0.000510083
         3      2048000      0.999720040      0.000360814
         3      4096000      0.999954290      0.000255158
         3      8192000      0.999862280      0.000180466
         3     16384000      0.999917820      0.000127575
         3     32768000      0.999989325      0.000090220
Da tim thay N toi uu cho tich phan MC          3 chieu: N = 32768000
################################################################################

         4         1000      1.300512172      0.019083832
         4         2000      1.308464836      0.013229220
         4         4000      1.335591802      0.009429226
         4         8000      1.339719961      0.006659701
         4        16000      1.330985952      0.004708537
         4        32000      1.332490342      0.003323084
         4        64000      1.332888306      0.002348172
         4       128000      1.334356311      0.001668463
         4       256000      1.334500775      0.001179046
         4       512000      1.333382336      0.000833978
         4      1024000      1.334266010      0.000588861
         4      2048000      1.333497232      0.000416898
         4      4096000      1.333027370      0.000294693
         4      8192000      1.333694985      0.000208349
