# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
      0   0.000000000   0.523598776   0.000000000
      1   0.010000000   0.523598776  -0.081750000
      2   0.020000000   0.522781276  -0.163500000
      3   0.030000000   0.521146276  -0.245134219
      4   0.040000000   0.518694933  -0.326536711
      5   0.050000000   0.515429566  -0.407591371
      6   0.060000000   0.511353653  -0.488181935
      7   0.070000000   0.506471833  -0.568192000
      8   0.080000000   0.500789913  -0.647505036
      9   0.090000000   0.494314863  -0.726004428
     10   0.100000000   0.487054819  -0.803573511
     11   0.110000000   0.479019083  -0.880095634
     12   0.120000000   0.470218127  -0.955454237
     13   0.130000000   0.460663585  -1.029532940
     14   0.140000000   0.450368255  -1.102215657
     15   0.150000000   0.439346099  -1.173386733
     16   0.160000000   0.427612231  -1.242931091
     17   0.170000000   0.415182921  -1.310734413
     18   0.180000000   0.402075576  -1.376683334
     19   0.190000000   0.388308743  -1.440665664
     20   0.200000000   0.373902086  -1.502570625
     21   0.210000000   0.358876380  -1.562289113
     22   0.220000000   0.343253489  -1.619713979
     23   0.230000000   0.327056349  -1.674740323
     24   0.240000000   0.310308946  -1.727265811
     25   0.250000000   0.293036288  -1.777191001
     26   0.260000000   0.275264378  -1.824419677
     27   0.270000000   0.257020181  -1.868859202
     28   0.280000000   0.238331589  -1.910420860
     29   0.290000000   0.219227381  -1.949020219
     30   0.300000000   0.199737178  -1.984577473
     31   0.310000000   0.179891404  -2.017017793
     32   0.320000000   0.159721226  -2.046271660
     33   0.330000000   0.139258509  -2.072275188
     34   0.340000000   0.118535757  -2.094970433
     35   0.350000000   0.097586053  -2.114305676
     36   0.360000000   0.076442996  -2.130235684
     37   0.370000000   0.055140639  -2.142721945
     38   0.380000000   0.033713420  -2.151732872
     39   0.390000000   0.012196091  -2.157243972
     40   0.400000000  -0.009376349  -2.159237983
     41   0.410000000  -0.030968728  -2.157704973
     42   0.420000000  -0.052545778  -2.152642395
     43   0.430000000  -0.074072202  -2.144055113
     44   0.440000000  -0.095512753  -2.131955380
     45   0.450000000  -0.116832307  -2.116362777
     46   0.460000000  -0.137995935  -2.097304122
     47   0.470000000  -0.158968976  -2.074813327
     48   0.480000000  -0.179717109  -2.048931234
     49   0.490000000  -0.200206422  -2.019705405
     50   0.500000000  -0.220403476  -1.987189893
     51   0.510000000  -0.240275375  -1.951444974
     52   0.520000000  -0.259789824  -1.912536863
     53   0.530000000  -0.278915193  -1.870537402
     54   0.540000000  -0.297620567  -1.825523739
     55   0.550000000  -0.315875804  -1.777577983
     56   0.560000000  -0.333651584  -1.726786861
     57   0.570000000  -0.350919453  -1.673241361
     58   0.580000000  -0.367651866  -1.617036377
     59   0.590000000  -0.383822230  -1.558270355
     60   0.600000000  -0.399404934  -1.497044948
     61   0.610000000  -0.414375383  -1.433464673
     62   0.620000000  -0.428710030  -1.367636589
     63   0.630000000  -0.442386396  -1.299669979
     64   0.640000000  -0.455383096  -1.229676063
     65   0.650000000  -0.467679856  -1.157767717
     66   0.660000000  -0.479257533  -1.084059219
     67   0.670000000  -0.490098126  -1.008666019
     68   0.680000000  -0.500184786  -0.931704531
     69   0.690000000  -0.509501831  -0.853291943
     70   0.700000000  -0.518034751  -0.773546059
     71   0.710000000  -0.525770211  -0.692585159
     72   0.720000000  -0.532696063  -0.610527887
     73   0.730000000  -0.538801342  -0.527493156
     74   0.740000000  -0.544076273  -0.443600076
     75   0.750000000  -0.548512274  -0.358967904
     76   0.760000000  -0.552101953  -0.273716007
     77   0.770000000  -0.554839113  -0.187963848
     78   0.780000000  -0.556718752  -0.101830976
     79   0.790000000  -0.557737061  -0.015437038
     80   0.800000000  -0.557891432   0.071098207
     81   0.810000000  -0.557180450   0.157654865
     82   0.820000000  -0.555603901   0.244112882
     83   0.830000000  -0.553162772   0.330352014
     84   0.840000000  -0.549859252   0.416251799
     85   0.850000000  -0.545696734   0.501691542
     86   0.860000000  -0.540679819   0.586550291
     87   0.870000000  -0.534814316   0.670706841
     88   0.880000000  -0.528107247   0.754039733
     89   0.890000000  -0.520566850   0.836427277
     90   0.900000000  -0.512202577   0.917747596
     91   0.910000000  -0.503025101   0.997878676
     92   0.920000000  -0.493046314   1.076698448
     93   0.930000000  -0.482279330   1.154084889
     94   0.940000000  -0.470738481   1.229916145
     95   0.950000000  -0.458439320   1.304070681
     96   0.960000000  -0.445398613   1.376427462
     97   0.970000000  -0.431634338   1.446866146
     98   0.980000000  -0.417165677   1.515267319
     99   0.990000000  -0.402013004   1.581512750
