# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
      0   0.000000000   0.785398163   0.000000000
      1   0.010000000   0.784820159  -0.115589677
      2   0.020000000   0.783086816  -0.231045616
      3   0.030000000   0.780200140  -0.346233770
      4   0.040000000   0.776163482  -0.461019487
      5   0.050000000   0.770981543  -0.575267213
      6   0.060000000   0.764660386  -0.688840224
      7   0.070000000   0.757207448  -0.801600373
      8   0.080000000   0.748631554  -0.913407869
      9   0.090000000   0.738942938  -1.024121087
     10   0.100000000   0.728153259  -1.133596418
     11   0.110000000   0.716275622  -1.241688159
     12   0.120000000   0.703324600  -1.348248460
     13   0.130000000   0.689316257  -1.453127307
     14   0.140000000   0.674268166  -1.556172577
     15   0.150000000   0.658199431  -1.657230146
     16   0.160000000   0.641130709  -1.756144053
     17   0.170000000   0.623084221  -1.852756736
     18   0.180000000   0.604083775  -1.946909334
     19   0.190000000   0.584154768  -2.038442046
     20   0.200000000   0.563324202  -2.127194561
     21   0.210000000   0.541620679  -2.213006556
     22   0.220000000   0.519074405  -2.295718249
     23   0.230000000   0.495717178  -2.375171009
     24   0.240000000   0.471582372  -2.451208029
     25   0.250000000   0.446704919  -2.523675040
     26   0.260000000   0.421121276  -2.592421064
     27   0.270000000   0.394869392  -2.657299211
     28   0.280000000   0.367988660  -2.718167489
     29   0.290000000   0.340519864  -2.774889637
     30   0.300000000   0.312505121  -2.827335964
     31   0.310000000   0.283987807  -2.875384175
     32   0.320000000   0.255012481  -2.918920188
     33   0.330000000   0.225624797  -2.957838920
     34   0.340000000   0.195871414  -2.992045027
     35   0.350000000   0.165799891  -3.021453607
     36   0.360000000   0.135458582  -3.045990826
     37   0.370000000   0.104896522  -3.065594482
     38   0.380000000   0.074163308  -3.080214483
     39   0.390000000   0.043308973  -3.089813246
     40   0.400000000   0.012383866  -3.094365986
     41   0.410000000  -0.018561484  -3.093860918
     42   0.420000000  -0.049476495  -3.088299350
     43   0.430000000  -0.080310661  -3.077695673
     44   0.440000000  -0.111013690  -3.062077247
     45   0.450000000  -0.141535621  -3.041484180
     46   0.460000000  -0.171826963  -3.015969016
     47   0.470000000  -0.201838807  -2.985596318
     48   0.480000000  -0.231522949  -2.950442180
     49   0.490000000  -0.260832000  -2.910593641
     50   0.500000000  -0.289719496  -2.866148045
     51   0.510000000  -0.318139992  -2.817212335
     52   0.520000000  -0.346049159  -2.763902295
     53   0.530000000  -0.373403868  -2.706341763
     54   0.540000000  -0.400162262  -2.644661809
     55   0.550000000  -0.426283829  -2.578999903
     56   0.560000000  -0.451729462  -2.509499083
     57   0.570000000  -0.476461506  -2.436307119
     58   0.580000000  -0.500443805  -2.359575708
     59   0.590000000  -0.523641737  -2.279459686
     60   0.600000000  -0.546022240  -2.196116279
     61   0.610000000  -0.567553833  -2.109704399
     62   0.620000000  -0.588206632  -2.020383984
     63   0.630000000  -0.607952352  -1.928315398
     64   0.640000000  -0.626764313  -1.833658885
     65   0.650000000  -0.644617435  -1.736574093
     66   0.660000000  -0.661488229  -1.637219650
     67   0.670000000  -0.677354787  -1.535752819
     68   0.680000000  -0.692196763  -1.432329212
     69   0.690000000  -0.705995361  -1.327102565
     70   0.700000000  -0.718733310  -1.220224586
     71   0.710000000  -0.730394846  -1.111844858
     72   0.720000000  -0.740965692  -1.002110803
     73   0.730000000  -0.750433032  -0.891167697
     74   0.740000000  -0.758785494  -0.779158744
     75   0.750000000  -0.766013125  -0.666225189
     76   0.760000000  -0.772107380  -0.552506479
     77   0.770000000  -0.777061097  -0.438140457
     78   0.780000000  -0.780868487  -0.323263594
     79   0.790000000  -0.783525118  -0.208011240
     80   0.800000000  -0.785027908  -0.092517904
     81   0.810000000  -0.785375119   0.023082454
     82   0.820000000  -0.784566348   0.138656119
     83   0.830000000  -0.782602531   0.254069318
     84   0.840000000  -0.779485944   0.369187907
     85   0.850000000  -0.775220205   0.483877074
     86   0.860000000  -0.769810286   0.598001055
     87   0.870000000  -0.763262524   0.711422859
     88   0.880000000  -0.755584631   0.824004030
     89   0.890000000  -0.746785712   0.935604424
     90   0.900000000  -0.736876285   1.046082029
     91   0.910000000  -0.725868294   1.155292827
     92   0.920000000  -0.713775138   1.263090689
     93   0.930000000  -0.700611685   1.369327331
     94   0.940000000  -0.686394297   1.473852313
     95   0.950000000  -0.671140852   1.576513102
     96   0.960000000  -0.654870764   1.677155191
     97   0.970000000  -0.637604999   1.775622279
     98   0.980000000  -0.619366095   1.871756520
     99   0.990000000  -0.600178175   1.965398832
