Ket qua tinh toan he phuong trinh sau 13 lan lap:

####################################################################################################

    i            x_1             x_2             x_3               sai_so
    1    0.000000000     0.000000000     0.000000000         1.325000e+00
    2    0.200000000    -1.325000000     1.137500000         1.137500e+00
    3    1.337500000    -0.471875000     0.426562500         7.109375e-01
    4    0.626562500    -1.005078125     0.870898437         4.443359e-01
    5    1.070898437    -0.671826172     0.593188477         2.777100e-01
    6    0.793188477    -0.880108643     0.766757202         1.735687e-01
    7    0.966757202    -0.749932098     0.658276749         1.084805e-01
    8    0.858276749    -0.831292439     0.726077032         6.780028e-02
    9    0.926077032    -0.780442226     0.683701855         4.237518e-02
   10    0.883701855    -0.812223609     0.710186341         2.648449e-02
   11    0.910186341    -0.792360245     0.693633537         1.655280e-02
   12    0.893633537    -0.804774847     0.703979039         1.034550e-02
   13    0.903979039    -0.797015721     0.697513100         6.465939e-03
