# Bai toan truyen song 1D 
# Phuong phap sai phan huu han hien
# Ghi lai vi tri va bien do cua dinh song tai moi thoi diem
#

####################################################################################################
#           t (s)  x_dinh_song_num (m)       u_dinh_song_num (m)      x_dinh_song_anal (m)      u_dinh_song_anal (m)
   0.00000000e+00       7.95774648e-01            9.94718310e-01            7.95774648e-01            9.95495417e-01
   1.00000000e-04       7.95774648e-01            9.94718310e-01            7.95774648e-01            9.88563003e-01
   2.00000000e-04       7.88732394e-01            9.85915493e-01            7.88732394e-01            9.81665640e-01
   3.00000000e-04       7.81690141e-01            9.77112676e-01            7.81690141e-01            9.74296923e-01
   4.00000000e-04       7.74647887e-01            9.68309859e-01            7.74647887e-01            9.66824853e-01
   5.00000000e-04       7.74647887e-01            9.60491650e-01            7.67605634e-01            9.58963798e-01
   6.00000000e-04       7.67605634e-01            9.53124830e-01            7.60563380e-01            9.50739307e-01
   7.00000000e-04       7.60563380e-01            9.45494256e-01            7.53521127e-01            9.42327323e-01
   8.00000000e-04       7.53521127e-01            9.37648373e-01            7.46478873e-01            9.33652654e-01
   9.00000000e-04       7.46478873e-01            9.29626726e-01            7.39436620e-01            9.24780448e-01
   1.00000000e-03       7.39436620e-01            9.21461598e-01            7.39436620e-01            9.16458205e-01
   1.10000000e-03       7.32394366e-01            9.13179344e-01            7.32394366e-01            9.09674869e-01
   1.20000000e-03       7.25352113e-01            9.04801477e-01            7.25352113e-01            9.02689268e-01
   1.30000000e-03       7.18309859e-01            8.96345557e-01            7.18309859e-01            8.95399787e-01
   1.40000000e-03       7.11267606e-01            8.87825922e-01            7.11267606e-01            8.87773773e-01
   1.50000000e-03       7.11267606e-01            8.80274413e-01            7.04225352e-01            8.79861079e-01
   1.60000000e-03       7.04225352e-01            8.72712358e-01            6.97183099e-01            8.71633244e-01
   1.70000000e-03       6.97183099e-01            8.64991730e-01            6.90140845e-01            8.63123155e-01
   1.80000000e-03       6.90140845e-01            8.57128922e-01            6.83098592e-01            8.54422815e-01
   1.90000000e-03       6.83098592e-01            8.49139655e-01            6.76056338e-01            8.45555231e-01
   2.00000000e-03       6.76056338e-01            8.41038670e-01            6.76056338e-01            8.37623398e-01
   2.10000000e-03       6.69014085e-01            8.32839561e-01            6.69014085e-01            8.30826317e-01
   2.20000000e-03       6.61971831e-01            8.24554697e-01            6.61971831e-01            8.23760207e-01
   2.30000000e-03       6.54929577e-01            8.16195213e-01            6.54929577e-01            8.16417426e-01
   2.40000000e-03       6.47887324e-01            8.07771047e-01            6.47887324e-01            8.08751217e-01
   2.50000000e-03       6.47887324e-01            8.00109727e-01            6.40845070e-01            8.00756553e-01
   2.60000000e-03       6.40845070e-01            7.92504309e-01            6.33802817e-01            7.92480924e-01
   2.70000000e-03       6.33802817e-01            7.84769716e-01            6.26760563e-01            7.83940867e-01
   2.80000000e-03       6.26760563e-01            7.76916352e-01            6.19718310e-01            7.75187104e-01
   2.90000000e-03       6.19718310e-01            7.68954541e-01            6.12676056e-01            7.66303298e-01
   3.00000000e-03       6.12676056e-01            7.60894321e-01            6.12676056e-01            7.58785100e-01
   3.10000000e-03       6.05633803e-01            7.52745289e-01            6.05633803e-01            7.51946371e-01
   3.20000000e-03       5.98591549e-01            7.44516505e-01            5.98591549e-01            7.44839894e-01
   3.30000000e-03       5.91549296e-01            7.36216422e-01            5.91549296e-01            7.37423822e-01
   3.40000000e-03       5.84507042e-01            7.27852857e-01            5.84507042e-01            7.29700713e-01
   3.50000000e-03       5.84507042e-01            7.20039788e-01            5.77464789e-01            7.21658247e-01
   3.60000000e-03       5.77464789e-01            7.12419566e-01            5.70422535e-01            7.13317424e-01
   3.70000000e-03       5.70422535e-01            7.04685568e-01            5.63380282e-01            7.04738434e-01
   3.80000000e-03       5.63380282e-01            6.96845564e-01            5.56338028e-01            6.95961138e-01
   3.90000000e-03       5.56338028e-01            6.88907392e-01            5.49295775e-01            6.87045172e-01
   4.00000000e-03       5.49295775e-01            6.80878808e-01            5.49295775e-01            6.79952064e-01
   4.10000000e-03       5.42253521e-01            6.72767372e-01            5.42253521e-01            6.73056422e-01
   4.20000000e-03       5.35211268e-01            6.64580358e-01            5.35211268e-01            6.65897858e-01
   4.30000000e-03       5.28169014e-01            6.56324693e-01            5.28169014e-01            6.58430733e-01
   4.40000000e-03       5.21126761e-01            6.48006908e-01            5.21126761e-01            6.50637275e-01
   4.50000000e-03       5.21126761e-01            6.40034172e-01            5.14084507e-01            6.42540431e-01
   4.60000000e-03       5.14084507e-01            6.32410258e-01            5.07042254e-01            6.34156114e-01
   4.70000000e-03       5.07042254e-01            6.24682419e-01            5.00000000e-01            6.25526547e-01
   4.80000000e-03       5.00000000e-01            6.16856920e-01            4.92957746e-01            6.16722798e-01
   4.90000000e-03       4.92957746e-01            6.08940141e-01            4.92957746e-01            6.07803996e-01
   5.00000000e-03       4.85915493e-01            6.00938468e-01            4.85915493e-01            6.01102532e-01
   5.10000000e-03       4.78873239e-01            5.92858200e-01            4.78873239e-01            5.94166163e-01
   5.20000000e-03       4.71830986e-01            5.84705477e-01            4.71830986e-01            5.86943612e-01
   5.30000000e-03       4.64788732e-01            5.76486218e-01            4.64788732e-01            5.79418812e-01
   5.40000000e-03       4.57746479e-01            5.68206084e-01            4.57746479e-01            5.71571777e-01
   5.50000000e-03       4.57746479e-01            5.60073505e-01            4.50704225e-01            5.63410476e-01
   5.60000000e-03       4.50704225e-01            5.52451479e-01            4.43661972e-01            5.54979786e-01
   5.70000000e-03       4.43661972e-01            5.44732520e-01            4.36619718e-01            5.46316926e-01
   5.80000000e-03       4.36619718e-01            5.36921905e-01            4.29577465e-01            5.37477538e-01
   5.90000000e-03       4.29577465e-01            5.29025046e-01            4.29577465e-01            5.28992411e-01
   6.00000000e-03       4.22535211e-01            5.21047406e-01            4.22535211e-01            5.22243699e-01
   6.10000000e-03       4.15492958e-01            5.12994414e-01            4.15492958e-01            5.15259305e-01
   6.20000000e-03       4.08450704e-01            5.04871414e-01            4.08450704e-01            5.07986311e-01
   6.30000000e-03       4.01408451e-01            4.96683609e-01            4.01408451e-01            5.00393864e-01
   6.40000000e-03       3.94366197e-01            4.88436019e-01            3.94366197e-01            4.92489319e-01
   6.50000000e-03       3.94366197e-01            4.80145641e-01            3.87323944e-01            4.84278609e-01
   6.60000000e-03       3.87323944e-01            4.72528716e-01            3.80281690e-01            4.75793056e-01
   6.70000000e-03       3.80281690e-01            4.64820148e-01            3.73239437e-01            4.67095831e-01
   6.80000000e-03       3.73239437e-01            4.57024512e-01            3.66197183e-01            4.58236331e-01
   6.90000000e-03       3.66197183e-01            4.49146525e-01            3.66197183e-01            4.50167848e-01
   7.00000000e-03       3.59154930e-01            4.41190975e-01            3.59154930e-01            4.43383703e-01
   7.10000000e-03       3.52112676e-01            4.33162654e-01            3.52112676e-01            4.36340862e-01
   7.20000000e-03       3.45070423e-01            4.25066311e-01            3.45070423e-01            4.29011971e-01
   7.30000000e-03       3.38028169e-01            4.16906605e-01            3.38028169e-01            4.21365199e-01
   7.40000000e-03       3.30985915e-01            4.08688064e-01            3.30985915e-01            4.13394049e-01
   7.50000000e-03       3.23943662e-01            4.00415063e-01            3.23943662e-01            4.05131718e-01
   7.60000000e-03       3.23943662e-01            3.92632744e-01            3.16901408e-01            3.96606366e-01
   7.70000000e-03       3.16901408e-01            3.84935474e-01            3.09859155e-01            3.87866433e-01
   7.80000000e-03       3.09859155e-01            3.77154790e-01            3.02816901e-01            3.78986635e-01
