# Tinh moment quan tinh bang MC va Riemann 
# Thoi gian chay la: 2.961520883000 s
#
#                                 R_c               Moment quan tinh(I_z)
                       0.00000000e+00                      7.48390396e+00
                       2.04081633e-02                      7.67151603e+00
                       4.08163265e-02                      7.46739313e+00
                       6.12244898e-02                      7.56092120e+00
                       8.16326531e-02                      7.62873251e+00
                       1.02040816e-01                      7.47109868e+00
                       1.22448980e-01                      7.56214999e+00
                       1.42857143e-01                      7.59434438e+00
                       1.63265306e-01                      7.56189319e+00
                       1.83673469e-01                      7.52793987e+00
                       2.04081633e-01                      7.57170716e+00
                       2.24489796e-01                      7.41567941e+00
                       2.44897959e-01                      7.62293982e+00
                       2.65306122e-01                      7.54317855e+00
                       2.85714286e-01                      7.48810203e+00
                       3.06122449e-01                      7.58417399e+00
                       3.26530612e-01                      7.44435861e+00
                       3.46938776e-01                      7.81732245e+00
                       3.67346939e-01                      7.52174765e+00
                       3.87755102e-01                      7.53305452e+00
                       4.08163265e-01                      7.60540204e+00
                       4.28571429e-01                      7.91115118e+00
                       4.48979592e-01                      7.80849407e+00
                       4.69387755e-01                      7.85896630e+00
                       4.89795918e-01                      7.92751471e+00
                       5.10204082e-01                      7.98816279e+00
                       5.30612245e-01                      8.21870622e+00
                       5.51020408e-01                      8.29141778e+00
                       5.71428571e-01                      8.50119426e+00
                       5.91836735e-01                      8.75423788e+00
                       6.12244898e-01                      8.75452100e+00
                       6.32653061e-01                      8.93495202e+00
                       6.53061224e-01                      9.14493874e+00
                       6.73469388e-01                      9.43336095e+00
                       6.93877551e-01                      9.73756636e+00
                       7.14285714e-01                      1.01312522e+01
                       7.34693878e-01                      1.04587493e+01
                       7.55102041e-01                      1.10724725e+01
                       7.75510204e-01                      1.14632691e+01
                       7.95918367e-01                      1.20574966e+01
                       8.16326531e-01                      1.31265251e+01
                       8.36734694e-01                      1.31761787e+01
                       8.57142857e-01                      1.39320951e+01
                       8.77551020e-01                      1.47651068e+01
                       8.97959184e-01                      1.55196408e+01
                       9.18367347e-01                      1.66744263e+01
                       9.38775510e-01                      1.74000430e+01
                       9.59183673e-01                      1.93535848e+01
                       9.79591837e-01                      2.04759908e+01
                       1.00000000e+00                      2.17182564e+01
