# Tinh moment quan tinh bang MC va Riemann 
# Thoi gian chay la: 8.300898809000 s
#
#                                 R_c               Moment quan tinh(I_z)
                       0.00000000e+00                      7.50528511e+00
                       2.04081633e-02                      7.50528511e+00
                       4.08163265e-02                      7.50528896e+00
                       6.12244898e-02                      7.50528896e+00
                       8.16326531e-02                      7.50533133e+00
                       1.02040816e-01                      7.50540451e+00
                       1.22448980e-01                      7.50581279e+00
                       1.42857143e-01                      7.50597841e+00
                       1.63265306e-01                      7.50705302e+00
                       1.83673469e-01                      7.50798513e+00
                       2.04081633e-01                      7.51078914e+00
                       2.24489796e-01                      7.51291141e+00
                       2.44897959e-01                      7.51798790e+00
                       2.65306122e-01                      7.52232487e+00
                       2.85714286e-01                      7.53351011e+00
                       3.06122449e-01                      7.54244982e+00
                       3.26530612e-01                      7.55945492e+00
                       3.46938776e-01                      7.57406814e+00
                       3.67346939e-01                      7.60356804e+00
                       3.87755102e-01                      7.62737903e+00
                       4.08163265e-01                      7.66887302e+00
                       4.28571429e-01                      7.70599152e+00
                       4.48979592e-01                      7.76826908e+00
                       4.69387755e-01                      7.82149139e+00
                       4.89795918e-01                      7.90396709e+00
                       5.10204082e-01                      7.99386880e+00
                       5.30612245e-01                      8.11793863e+00
                       5.51020408e-01                      8.20981624e+00
                       5.71428571e-01                      8.37820333e+00
                       5.91836735e-01                      8.53154196e+00
                       6.12244898e-01                      8.75812000e+00
                       6.32653061e-01                      8.91933143e+00
                       6.53061224e-01                      9.21325583e+00
                       6.73469388e-01                      9.45051454e+00
                       6.93877551e-01                      9.81317190e+00
                       7.14285714e-01                      1.01434599e+01
                       7.34693878e-01                      1.05611113e+01
                       7.55102041e-01                      1.09624971e+01
                       7.75510204e-01                      1.15086902e+01
                       7.95918367e-01                      1.20338262e+01
                       8.16326531e-01                      1.26789415e+01
                       8.36734694e-01                      1.32907515e+01
                       8.57142857e-01                      1.41599991e+01
                       8.77551020e-01                      1.48703463e+01
                       8.97959184e-01                      1.58566729e+01
                       9.18367347e-01                      1.67720442e+01
                       9.38775510e-01                      1.79367491e+01
                       9.59183673e-01                      1.89716954e+01
                       9.79591837e-01                      2.03335170e+01
                       1.00000000e+00                      2.16819348e+01
