# Giai bai toan bay tu bang RK4
#
#                    t                    x                    y                    z                  v_x                  v_y                  v_z
        0.00000000e+00       1.00000000e-01       0.00000000e+00       0.00000000e+00       8.00000000e-02       4.00000000e-01       1.50000000e-01
        9.99933338e-03       1.00819931e-01       3.99566689e-03       1.49990101e-03       8.39956729e-02       3.99179956e-01       1.50000300e-01
        1.99986668e-02       1.01679774e-01       7.98293310e-03       2.99980799e-03       8.79829810e-02       3.98319766e-01       1.50001196e-01
        2.99980001e-02       1.02579444e-01       1.19613976e-02       4.49972691e-03       9.19615590e-02       3.97419509e-01       1.50002686e-01
        3.99973335e-02       1.03518852e-01       1.59306601e-02       5.99966368e-03       9.59310422e-02       3.96479263e-01       1.50004764e-01
        4.99966669e-02       1.04497905e-01       1.98903212e-02       7.49962414e-03       9.98910665e-02       3.95499112e-01       1.50007425e-01
        5.99960003e-02       1.05516507e-01       2.38399823e-02       8.99961410e-03       1.03841268e-01       3.94479140e-01       1.50010662e-01
        6.99953336e-02       1.06574558e-01       2.77792457e-02       1.04996393e-02       1.07781285e-01       3.93419438e-01       1.50014468e-01
        7.99946670e-02       1.07671954e-01       3.17077144e-02       1.19997053e-02       1.11710754e-01       3.92320095e-01       1.50018835e-01
        8.99940004e-02       1.08808588e-01       3.56249927e-02       1.34998178e-02       1.15629315e-01       3.91181205e-01       1.50023752e-01
        9.99933338e-02       1.09984349e-01       3.95306855e-02       1.49999822e-02       1.19536606e-01       3.90002867e-01       1.50029210e-01
        1.09992667e-01       1.11199122e-01       4.34243989e-02       1.65002037e-02       1.23432266e-01       3.88785178e-01       1.50035198e-01
        1.19992001e-01       1.12452789e-01       4.73057399e-02       1.80004878e-02       1.27315938e-01       3.87528243e-01       1.50041703e-01
        1.29991334e-01       1.13745230e-01       5.11743166e-02       1.95008394e-02       1.31187261e-01       3.86232166e-01       1.50048713e-01
        1.39990667e-01       1.15076317e-01       5.50297382e-02       2.10012636e-02       1.35045879e-01       3.84897056e-01       1.50056213e-01
        1.49990001e-01       1.16445924e-01       5.88716149e-02       2.25017652e-02       1.38891433e-01       3.83523022e-01       1.50064190e-01
        1.59989334e-01       1.17853916e-01       6.26995580e-02       2.40023489e-02       1.42723569e-01       3.82110181e-01       1.50072626e-01
        1.69988667e-01       1.19300159e-01       6.65131801e-02       2.55030191e-02       1.46541928e-01       3.80658646e-01       1.50081505e-01
