# Tinh the tinh dien bang MC va Riemann 
# Thoi gian chay la: 8.026776186001 s
#
#                    d                    V
        1.00000000e+00       1.75407286e+03
        2.00000000e+00       1.66484655e+03
        3.00000000e+00       1.53317675e+03
        4.00000000e+00       1.39840366e+03
        5.00000000e+00       1.26902637e+03
        6.00000000e+00       1.14863433e+03
        7.00000000e+00       1.04488500e+03
        8.00000000e+00       9.51071411e+02
        9.00000000e+00       8.72963934e+02
        1.00000000e+01       8.02323503e+02
        1.10000000e+01       7.44010645e+02
        1.20000000e+01       6.91977083e+02
        1.30000000e+01       6.45044112e+02
        1.40000000e+01       6.04037819e+02
        1.50000000e+01       5.68391225e+02
        1.60000000e+01       5.36180837e+02
        1.70000000e+01       5.07126844e+02
        1.80000000e+01       4.80998151e+02
        1.90000000e+01       4.57170817e+02
        2.00000000e+01       4.36103598e+02
        2.10000000e+01       4.16595911e+02
        2.20000000e+01       3.98196899e+02
        2.30000000e+01       3.81663745e+02
        2.40000000e+01       3.66469260e+02
        2.50000000e+01       3.52504022e+02
        2.60000000e+01       3.39601373e+02
        2.70000000e+01       3.27419048e+02
        2.80000000e+01       3.15955913e+02
        2.90000000e+01       3.05627437e+02
        3.00000000e+01       2.95568887e+02
        3.10000000e+01       2.86308450e+02
        3.20000000e+01       2.77576951e+02
        3.30000000e+01       2.69316669e+02
        3.40000000e+01       2.61583434e+02
        3.50000000e+01       2.54207203e+02
        3.60000000e+01       2.47354182e+02
        3.70000000e+01       2.40790556e+02
        3.80000000e+01       2.34642686e+02
        3.90000000e+01       2.28638399e+02
        4.00000000e+01       2.22872519e+02
        4.10000000e+01       2.17627960e+02
        4.20000000e+01       2.12600681e+02
        4.30000000e+01       2.07656711e+02
        4.40000000e+01       2.02964330e+02
        4.50000000e+01       1.98526700e+02
        4.60000000e+01       1.94256499e+02
        4.70000000e+01       1.90148738e+02
        4.80000000e+01       1.86280928e+02
        4.90000000e+01       1.82561019e+02
        5.00000000e+01       1.78922646e+02
        5.10000000e+01       1.75396857e+02
        5.20000000e+01       1.72094698e+02
        5.30000000e+01       1.68881839e+02
        5.40000000e+01       1.65766461e+02
        5.50000000e+01       1.62810769e+02
        5.60000000e+01       1.59863633e+02
        5.70000000e+01       1.57082692e+02
        5.80000000e+01       1.54426884e+02
        5.90000000e+01       1.51833330e+02
        6.00000000e+01       1.49285491e+02
        6.10000000e+01       1.46891274e+02
        6.20000000e+01       1.44545402e+02
        6.30000000e+01       1.42238749e+02
        6.40000000e+01       1.40016070e+02
        6.50000000e+01       1.37905631e+02
        6.60000000e+01       1.35841530e+02
        6.70000000e+01       1.33820912e+02
        6.80000000e+01       1.31871115e+02
        6.90000000e+01       1.29933306e+02
        7.00000000e+01       1.28100380e+02
        7.10000000e+01       1.26295906e+02
        7.20000000e+01       1.24557058e+02
        7.30000000e+01       1.22856134e+02
        7.40000000e+01       1.21208668e+02
        7.50000000e+01       1.19587907e+02
        7.60000000e+01       1.18030081e+02
        7.70000000e+01       1.16503680e+02
        7.80000000e+01       1.15035037e+02
        7.90000000e+01       1.13559055e+02
        8.00000000e+01       1.12152539e+02
        8.10000000e+01       1.10777602e+02
        8.20000000e+01       1.09422448e+02
        8.30000000e+01       1.08109249e+02
        8.40000000e+01       1.06837258e+02
        8.50000000e+01       1.05580320e+02
        8.60000000e+01       1.04350352e+02
        8.70000000e+01       1.03181761e+02
        8.80000000e+01       1.02008514e+02
        8.90000000e+01       1.00860886e+02
        9.00000000e+01       9.97173124e+01
        9.10000000e+01       9.86461823e+01
        9.20000000e+01       9.75707670e+01
        9.30000000e+01       9.65359514e+01
        9.40000000e+01       9.54872697e+01
        9.50000000e+01       9.44845451e+01
        9.60000000e+01       9.35164090e+01
        9.70000000e+01       9.25538184e+01
        9.80000000e+01       9.16138426e+01
        9.90000000e+01       9.06879357e+01
        1.00000000e+02       8.97931332e+01
