# Tinh the tinh dien bang MC va Riemann 
# Thoi gian chay la: 8.117860250000 s
#
#                    d                    V
        1.00000000e+00       7.36037958e+03
        1.49494949e+00       5.41703746e+03
        1.98989899e+00       4.26554279e+03
        2.48484848e+00       3.47673549e+03
        2.97979798e+00       2.93335918e+03
        3.47474747e+00       2.53673697e+03
        3.96969697e+00       2.23096674e+03
        4.46464646e+00       1.98932102e+03
        4.95959596e+00       1.79580553e+03
        5.45454545e+00       1.63416272e+03
        5.94949495e+00       1.50084721e+03
        6.44444444e+00       1.38643895e+03
        6.93939394e+00       1.28887308e+03
        7.43434343e+00       1.20392183e+03
        7.92929293e+00       1.12917811e+03
        8.42424242e+00       1.06371031e+03
        8.91919192e+00       1.00462633e+03
        9.41414141e+00       9.52216693e+02
        9.90909091e+00       9.04550485e+02
        1.04040404e+01       8.62163946e+02
        1.08989899e+01       8.23241071e+02
        1.13939394e+01       7.87397041e+02
        1.18888889e+01       7.54853409e+02
        1.23838384e+01       7.24736965e+02
        1.28787879e+01       6.96871360e+02
        1.33737374e+01       6.71249970e+02
        1.38686869e+01       6.47331261e+02
        1.43636364e+01       6.25122070e+02
        1.48585859e+01       6.04237865e+02
        1.53535354e+01       5.84960694e+02
        1.58484848e+01       5.66770812e+02
        1.63434343e+01       5.49594731e+02
        1.68383838e+01       5.33481133e+02
        1.73333333e+01       5.18193004e+02
        1.78282828e+01       5.03862966e+02
        1.83232323e+01       4.90338814e+02
        1.88181818e+01       4.77436833e+02
        1.93131313e+01       4.65110364e+02
        1.98080808e+01       4.53587703e+02
        2.03030303e+01       4.42572016e+02
        2.07979798e+01       4.31962697e+02
        2.12929293e+01       4.22063245e+02
        2.17878788e+01       4.12410997e+02
        2.22828283e+01       4.03247946e+02
        2.27777778e+01       3.94528956e+02
        2.32727273e+01       3.86163371e+02
        2.37676768e+01       3.78039151e+02
        2.42626263e+01       3.70353016e+02
        2.47575758e+01       3.62998874e+02
        2.52525253e+01       3.55842032e+02
        2.57474747e+01       3.49029442e+02
        2.62424242e+01       3.42435743e+02
        2.67373737e+01       3.36115364e+02
        2.72323232e+01       3.30056245e+02
        2.77272727e+01       3.24132196e+02
        2.82222222e+01       3.18487681e+02
        2.87171717e+01       3.13021677e+02
        2.92121212e+01       3.07730312e+02
        2.97070707e+01       3.02527056e+02
        3.02020202e+01       2.97595257e+02
        3.06969697e+01       2.92784191e+02
        3.11919192e+01       2.88159139e+02
        3.16868687e+01       2.83652780e+02
        3.21818182e+01       2.79248876e+02
        3.26767677e+01       2.75043929e+02
        3.31717172e+01       2.70911981e+02
        3.36666667e+01       2.66948801e+02
        3.41616162e+01       2.63113594e+02
        3.46565657e+01       2.59337725e+02
        3.51515152e+01       2.55727699e+02
        3.56464646e+01       2.52165001e+02
        3.61414141e+01       2.48687198e+02
        3.66363636e+01       2.45363024e+02
        3.71313131e+01       2.42113399e+02
        3.76262626e+01       2.38905228e+02
        3.81212121e+01       2.35781181e+02
        3.86161616e+01       2.32756180e+02
        3.91111111e+01       2.29780962e+02
        3.96060606e+01       2.26897998e+02
        4.01010101e+01       2.24153925e+02
        4.05959596e+01       2.21433164e+02
        4.10909091e+01       2.18720858e+02
        4.15858586e+01       2.16170731e+02
        4.20808081e+01       2.13623545e+02
        4.25757576e+01       2.11122765e+02
        4.30707071e+01       2.08700504e+02
        4.35656566e+01       2.06315253e+02
        4.40606061e+01       2.04012870e+02
        4.45555556e+01       2.01742307e+02
        4.50505051e+01       1.99546348e+02
        4.55454545e+01       1.97370473e+02
        4.60404040e+01       1.95227251e+02
        4.65353535e+01       1.93172317e+02
        4.70303030e+01       1.91130819e+02
        4.75252525e+01       1.89128188e+02
        4.80202020e+01       1.87194300e+02
        4.85151515e+01       1.85277032e+02
        4.90101010e+01       1.83392158e+02
        4.95050505e+01       1.81582368e+02
        5.00000000e+01       1.79781380e+02
