# Tinh the tinh dien bang MC va Riemann 
# Thoi gian chay la: 26.863888202999 s
#
#                    d                    V
        1.00000000e+00       1.74455564e+03
        2.00000000e+00       1.65267600e+03
        3.00000000e+00       1.52729531e+03
        4.00000000e+00       1.39169775e+03
        5.00000000e+00       1.26093465e+03
        6.00000000e+00       1.14211771e+03
        7.00000000e+00       1.03733351e+03
        8.00000000e+00       9.46160241e+02
        9.00000000e+00       8.67173587e+02
        1.00000000e+01       7.98698705e+02
        1.10000000e+01       7.39137037e+02
        1.20000000e+01       6.87083315e+02
        1.30000000e+01       6.41348232e+02
        1.40000000e+01       6.00943059e+02
        1.50000000e+01       5.65051940e+02
        1.60000000e+01       5.33002837e+02
        1.70000000e+01       5.04241348e+02
        1.80000000e+01       4.78308561e+02
        1.90000000e+01       4.54822917e+02
        2.00000000e+01       4.33465580e+02
        2.10000000e+01       4.13968716e+02
        2.20000000e+01       3.96106136e+02
        2.30000000e+01       3.79685808e+02
        2.40000000e+01       3.64543855e+02
        2.50000000e+01       3.50539727e+02
        2.60000000e+01       3.37552302e+02
        2.70000000e+01       3.25476719e+02
        2.80000000e+01       3.14221795e+02
        2.90000000e+01       3.03707906e+02
        3.00000000e+01       2.93865248e+02
        3.10000000e+01       2.84632391e+02
        3.20000000e+01       2.75955075e+02
        3.30000000e+01       2.67785216e+02
        3.40000000e+01       2.60080053e+02
        3.50000000e+01       2.52801449e+02
        3.60000000e+01       2.45915285e+02
        3.70000000e+01       2.39390949e+02
        3.80000000e+01       2.33200905e+02
        3.90000000e+01       2.27320315e+02
        4.00000000e+01       2.21726725e+02
        4.10000000e+01       2.16399782e+02
        4.20000000e+01       2.11321001e+02
        4.30000000e+01       2.06473553e+02
        4.40000000e+01       2.01842088e+02
        4.50000000e+01       1.97412576e+02
        4.60000000e+01       1.93172167e+02
        4.70000000e+01       1.89109076e+02
        4.80000000e+01       1.85212467e+02
        4.90000000e+01       1.81472368e+02
        5.00000000e+01       1.77879583e+02
        5.10000000e+01       1.74425619e+02
        5.20000000e+01       1.71102618e+02
        5.30000000e+01       1.67903306e+02
        5.40000000e+01       1.64820932e+02
        5.50000000e+01       1.61849226e+02
        5.60000000e+01       1.58982357e+02
        5.70000000e+01       1.56214895e+02
        5.80000000e+01       1.53541778e+02
        5.90000000e+01       1.50958279e+02
        6.00000000e+01       1.48459981e+02
        6.10000000e+01       1.46042753e+02
        6.20000000e+01       1.43702724e+02
        6.30000000e+01       1.41436265e+02
        6.40000000e+01       1.39239972e+02
        6.50000000e+01       1.37110645e+02
        6.60000000e+01       1.35045277e+02
        6.70000000e+01       1.33041036e+02
        6.80000000e+01       1.31095256e+02
        6.90000000e+01       1.29205423e+02
        7.00000000e+01       1.27369163e+02
        7.10000000e+01       1.25584237e+02
        7.20000000e+01       1.23848526e+02
        7.30000000e+01       1.22160028e+02
        7.40000000e+01       1.20516847e+02
        7.50000000e+01       1.18917186e+02
        7.60000000e+01       1.17359342e+02
        7.70000000e+01       1.15841702e+02
        7.80000000e+01       1.14362730e+02
        7.90000000e+01       1.12920972e+02
        8.00000000e+01       1.11515043e+02
        8.10000000e+01       1.10143625e+02
        8.20000000e+01       1.08805467e+02
        8.30000000e+01       1.07499375e+02
        8.40000000e+01       1.06224212e+02
        8.50000000e+01       1.04978894e+02
        8.60000000e+01       1.03762387e+02
        8.70000000e+01       1.02573705e+02
        8.80000000e+01       1.01411905e+02
        8.90000000e+01       1.00276087e+02
        9.00000000e+01       9.91653909e+01
        9.10000000e+01       9.80789927e+01
        9.20000000e+01       9.70161054e+01
        9.30000000e+01       9.59759749e+01
        9.40000000e+01       9.49578793e+01
        9.50000000e+01       9.39611266e+01
        9.60000000e+01       9.29850535e+01
        9.70000000e+01       9.20290240e+01
        9.80000000e+01       9.10924278e+01
        9.90000000e+01       9.01746790e+01
        1.00000000e+02       8.92752151e+01
