# Tinh the tinh dien bang MC va Riemann 
# Thoi gian chay la: 20.874866939999 s
#
#                    d                    V
        1.00000000e+00       7.76160015e+03
        1.49494949e+00       5.75203387e+03
        1.98989899e+00       4.51103601e+03
        2.48484848e+00       3.69073696e+03
        2.97979798e+00       3.11508328e+03
        3.47474747e+00       2.69128825e+03
        3.96969697e+00       2.36726582e+03
        4.46464646e+00       2.11194944e+03
        4.95959596e+00       1.90580799e+03
        5.45454545e+00       1.73600364e+03
        5.94949495e+00       1.59377532e+03
        6.44444444e+00       1.47295079e+03
        6.93939394e+00       1.36906186e+03
        7.43434343e+00       1.27879720e+03
        7.92929293e+00       1.19965237e+03
        8.42424242e+00       1.12969908e+03
        8.91919192e+00       1.06742906e+03
        9.41414141e+00       1.01164597e+03
        9.90909091e+00       9.61388936e+02
        1.04040404e+01       9.15877483e+02
        1.08989899e+01       8.74471178e+02
        1.13939394e+01       8.36639641e+02
        1.18888889e+01       8.01939920e+02
        1.23838384e+01       7.69999220e+02
        1.28787879e+01       7.40501564e+02
        1.33737374e+01       7.13177382e+02
        1.38686869e+01       6.87795303e+02
        1.43636364e+01       6.64155631e+02
        1.48585859e+01       6.42085110e+02
        1.53535354e+01       6.21432690e+02
        1.58484848e+01       6.02066088e+02
        1.63434343e+01       5.83868961e+02
        1.68383838e+01       5.66738578e+02
        1.73333333e+01       5.50583889e+02
        1.78282828e+01       5.35323909e+02
        1.83232323e+01       5.20886368e+02
        1.88181818e+01       5.07206572e+02
        1.93131313e+01       4.94226431e+02
        1.98080808e+01       4.81893644e+02
        2.03030303e+01       4.70160990e+02
        2.07979798e+01       4.58985730e+02
        2.12929293e+01       4.48329087e+02
        2.17878788e+01       4.38155799e+02
        2.22828283e+01       4.28433725e+02
        2.27777778e+01       4.19133513e+02
        2.32727273e+01       4.10228301e+02
        2.37676768e+01       4.01693458e+02
        2.42626263e+01       3.93506360e+02
        2.47575758e+01       3.85646187e+02
        2.52525253e+01       3.78093748e+02
        2.57474747e+01       3.70831325e+02
        2.62424242e+01       3.63842533e+02
        2.67373737e+01       3.57112201e+02
        2.72323232e+01       3.50626254e+02
        2.77272727e+01       3.44371625e+02
        2.82222222e+01       3.38336159e+02
        2.87171717e+01       3.32508539e+02
        2.92121212e+01       3.26878214e+02
        2.97070707e+01       3.21435333e+02
        3.02020202e+01       3.16170693e+02
        3.06969697e+01       3.11075681e+02
        3.11919192e+01       3.06142231e+02
        3.16868687e+01       3.01362781e+02
        3.21818182e+01       2.96730232e+02
        3.26767677e+01       2.92237915e+02
        3.31717172e+01       2.87879561e+02
        3.36666667e+01       2.83649265e+02
        3.41616162e+01       2.79541467e+02
        3.46565657e+01       2.75550923e+02
        3.51515152e+01       2.71672685e+02
        3.56464646e+01       2.67902077e+02
        3.61414141e+01       2.64234683e+02
        3.66363636e+01       2.60666322e+02
        3.71313131e+01       2.57193036e+02
        3.76262626e+01       2.53811077e+02
        3.81212121e+01       2.50516891e+02
        3.86161616e+01       2.47307103e+02
        3.91111111e+01       2.44178513e+02
        3.96060606e+01       2.41128079e+02
        4.01010101e+01       2.38152908e+02
        4.05959596e+01       2.35250249e+02
        4.10909091e+01       2.32417484e+02
        4.15858586e+01       2.29652118e+02
        4.20808081e+01       2.26951776e+02
        4.25757576e+01       2.24314189e+02
        4.30707071e+01       2.21737197e+02
        4.35656566e+01       2.19218735e+02
        4.40606061e+01       2.16756832e+02
        4.45555556e+01       2.14349603e+02
        4.50505051e+01       2.11995248e+02
        4.55454545e+01       2.09692044e+02
        4.60404040e+01       2.07438342e+02
        4.65353535e+01       2.05232563e+02
        4.70303030e+01       2.03073195e+02
        4.75252525e+01       2.00958788e+02
        4.80202020e+01       1.98887954e+02
        4.85151515e+01       1.96859358e+02
        4.90101010e+01       1.94871723e+02
        4.95050505e+01       1.92923819e+02
        5.00000000e+01       1.91014467e+02
