# Tinh the tinh dien bang MC va Riemann 
#
#                    d                    V
        5.00000000e-01       3.09093996e+01
        5.45454545e-01       2.96556100e+01
        5.90909091e-01       2.86702066e+01
        6.36363636e-01       2.74639159e+01
        6.81818182e-01       2.65058603e+01
        7.27272727e-01       2.54651247e+01
        7.72727273e-01       2.44329267e+01
        8.18181818e-01       2.36627056e+01
        8.63636364e-01       2.29235308e+01
        9.09090909e-01       2.22873301e+01
        9.54545455e-01       2.13442239e+01
        1.00000000e+00       2.06862981e+01
        1.04545455e+00       2.01036329e+01
        1.09090909e+00       1.94079823e+01
        1.13636364e+00       1.88595013e+01
        1.18181818e+00       1.83126303e+01
        1.22727273e+00       1.77863823e+01
        1.27272727e+00       1.72801396e+01
        1.31818182e+00       1.68481199e+01
        1.36363636e+00       1.64086456e+01
        1.40909091e+00       1.58902587e+01
        1.45454545e+00       1.54486975e+01
        1.50000000e+00       1.51457965e+01
        1.54545455e+00       1.47018112e+01
        1.59090909e+00       1.43761611e+01
        1.63636364e+00       1.40756576e+01
        1.68181818e+00       1.37620619e+01
        1.72727273e+00       1.34410901e+01
        1.77272727e+00       1.31389447e+01
        1.81818182e+00       1.28197660e+01
        1.86363636e+00       1.25753338e+01
        1.90909091e+00       1.23203590e+01
        1.95454545e+00       1.20009597e+01
        2.00000000e+00       1.18133063e+01
        2.04545455e+00       1.15475969e+01
        2.09090909e+00       1.13544335e+01
        2.13636364e+00       1.11881455e+01
        2.18181818e+00       1.09537052e+01
        2.22727273e+00       1.06712744e+01
        2.27272727e+00       1.04801518e+01
        2.31818182e+00       1.03320076e+01
        2.36363636e+00       1.01609392e+01
        2.40909091e+00       9.96715206e+00
        2.45454545e+00       9.81312649e+00
        2.50000000e+00       9.59890051e+00
        2.54545455e+00       9.49861871e+00
        2.59090909e+00       9.35572684e+00
        2.63636364e+00       9.16244416e+00
        2.68181818e+00       9.03338207e+00
        2.72727273e+00       8.86366907e+00
        2.77272727e+00       8.74461805e+00
        2.81818182e+00       8.59777558e+00
        2.86363636e+00       8.44795186e+00
        2.90909091e+00       8.38178394e+00
        2.95454545e+00       8.24128842e+00
        3.00000000e+00       8.13362510e+00
        3.04545455e+00       8.00407603e+00
        3.09090909e+00       7.90020411e+00
        3.13636364e+00       7.76968492e+00
        3.18181818e+00       7.71118006e+00
        3.22727273e+00       7.58034922e+00
        3.27272727e+00       7.46246403e+00
        3.31818182e+00       7.36265781e+00
        3.36363636e+00       7.27267662e+00
        3.40909091e+00       7.17451164e+00
        3.45454545e+00       7.12137123e+00
        3.50000000e+00       7.00624289e+00
        3.54545455e+00       6.91967288e+00
        3.59090909e+00       6.82955400e+00
        3.63636364e+00       6.75630163e+00
        3.68181818e+00       6.66761880e+00
        3.72727273e+00       6.60385966e+00
        3.77272727e+00       6.49880448e+00
        3.81818182e+00       6.44726069e+00
        3.86363636e+00       6.35273485e+00
        3.90909091e+00       6.32319140e+00
        3.95454545e+00       6.21406684e+00
        4.00000000e+00       6.15824998e+00
        4.04545455e+00       6.10438170e+00
        4.09090909e+00       6.02700214e+00
        4.13636364e+00       5.94918489e+00
        4.18181818e+00       5.91068826e+00
        4.22727273e+00       5.82505315e+00
        4.27272727e+00       5.78615907e+00
        4.31818182e+00       5.70574896e+00
        4.36363636e+00       5.63389368e+00
        4.40909091e+00       5.60073185e+00
        4.45454545e+00       5.55077973e+00
        4.50000000e+00       5.48327070e+00
        4.54545455e+00       5.43763617e+00
        4.59090909e+00       5.37001246e+00
        4.63636364e+00       5.32404025e+00
        4.68181818e+00       5.29393384e+00
        4.72727273e+00       5.24145915e+00
        4.77272727e+00       5.17549359e+00
        4.81818182e+00       5.14707931e+00
        4.86363636e+00       5.07210811e+00
        4.90909091e+00       5.04651314e+00
        4.95454545e+00       4.99404883e+00
        5.00000000e+00       4.93419856e+00
