# Tinh the tinh dien bang MC va Riemann 
#
#                    d                    V
        5.00000000e-01       3.09016994e+01
        5.45454545e-01       2.96816549e+01
        5.90909091e-01       2.85315106e+01
        6.36363636e-01       2.74472946e+01
        6.81818182e-01       2.64251225e+01
        7.27272727e-01       2.54612296e+01
        7.72727273e-01       2.45519944e+01
        8.18181818e-01       2.36939564e+01
        8.63636364e-01       2.28838266e+01
        9.09090909e-01       2.21184943e+01
        9.54545455e-01       2.13950288e+01
        1.00000000e+00       2.07106781e+01
        1.04545455e+00       2.00628657e+01
        1.09090909e+00       1.94491845e+01
        1.13636364e+00       1.88673900e+01
        1.18181818e+00       1.83153926e+01
        1.22727273e+00       1.77912489e+01
        1.27272727e+00       1.72931537e+01
        1.31818182e+00       1.68194306e+01
        1.36363636e+00       1.63685238e+01
        1.40909091e+00       1.59389900e+01
        1.45454545e+00       1.55294902e+01
        1.50000000e+00       1.51387819e+01
        1.54545455e+00       1.47657124e+01
        1.59090909e+00       1.44092119e+01
        1.63636364e+00       1.40682869e+01
        1.68181818e+00       1.37420148e+01
        1.72727273e+00       1.34295382e+01
        1.77272727e+00       1.31300599e+01
        1.81818182e+00       1.28428383e+01
        1.86363636e+00       1.25671829e+01
        1.90909091e+00       1.23024508e+01
        1.95454545e+00       1.20480425e+01
        2.00000000e+00       1.18033989e+01
        2.04545455e+00       1.15679981e+01
        2.09090909e+00       1.13413526e+01
        2.13636364e+00       1.11230068e+01
        2.18181818e+00       1.09125344e+01
        2.22727273e+00       1.07095364e+01
        2.27272727e+00       1.05136389e+01
        2.31818182e+00       1.03244916e+01
        2.36363636e+00       1.01417656e+01
        2.40909091e+00       9.96515214e+00
        2.45454545e+00       9.79436125e+00
        2.50000000e+00       9.62912018e+00
        2.54545455e+00       9.46917233e+00
        2.59090909e+00       9.31427609e+00
        2.63636364e+00       9.16420381e+00
        2.68181818e+00       9.01874083e+00
        2.72727273e+00       8.87768462e+00
        2.77272727e+00       8.74084397e+00
        2.81818182e+00       8.60803821e+00
        2.86363636e+00       8.47909655e+00
        2.90909091e+00       8.35385742e+00
        2.95454545e+00       8.23216786e+00
        3.00000000e+00       8.11388301e+00
        3.04545455e+00       7.99886557e+00
        3.09090909e+00       7.88698532e+00
        3.13636364e+00       7.77811871e+00
        3.18181818e+00       7.67214843e+00
        3.22727273e+00       7.56896304e+00
        3.27272727e+00       7.46845659e+00
        3.31818182e+00       7.37052834e+00
        3.36363636e+00       7.27508241e+00
        3.40909091e+00       7.18202754e+00
        3.45454545e+00       7.09127677e+00
        3.50000000e+00       7.00274723e+00
        3.54545455e+00       6.91635990e+00
        3.59090909e+00       6.83203940e+00
        3.63636364e+00       6.74971375e+00
        3.68181818e+00       6.66931425e+00
        3.72727273e+00       6.59077524e+00
        3.77272727e+00       6.51403397e+00
        3.81818182e+00       6.43903042e+00
        3.86363636e+00       6.36570718e+00
        3.90909091e+00       6.29400928e+00
        3.95454545e+00       6.22388412e+00
        4.00000000e+00       6.15528128e+00
        4.04545455e+00       6.08815245e+00
        4.09090909e+00       6.02245131e+00
        4.13636364e+00       5.95813343e+00
        4.18181818e+00       5.89515619e+00
        4.22727273e+00       5.83347867e+00
        4.27272727e+00       5.77306157e+00
        4.31818182e+00       5.71386715e+00
        4.36363636e+00       5.65585913e+00
        4.40909091e+00       5.59900265e+00
        4.45454545e+00       5.54326417e+00
        4.50000000e+00       5.48861143e+00
        4.54545455e+00       5.43501338e+00
        4.59090909e+00       5.38244014e+00
        4.63636364e+00       5.33086292e+00
        4.68181818e+00       5.28025400e+00
        4.72727273e+00       5.23058665e+00
        4.77272727e+00       5.18183513e+00
        4.81818182e+00       5.13397459e+00
        4.86363636e+00       5.08698109e+00
        4.90909091e+00       5.04083152e+00
        4.95454545e+00       4.99550356e+00
        5.00000000e+00       4.95097568e+00
