# Giai bai toan dong dien RK4
#
#                    t                   N1                   N2                   N3
        0.00000000e+00       1.00000000e+00       0.00000000e+00       0.00000000e+00
        1.20000000e-02       9.88071713e-01       1.19211187e-02       7.16841590e-06
        2.40000000e-02       9.76285710e-01       2.36857422e-02       2.85480876e-05
        3.60000000e-02       9.64640293e-01       3.52957542e-02       6.39523532e-05
        4.80000000e-02       9.53133787e-01       4.67530161e-02       1.13196798e-04
        6.00000000e-02       9.41764534e-01       5.80593672e-02       1.76099228e-04
        7.20000000e-02       9.30530896e-01       6.92166245e-02       2.52479643e-04
        8.40000000e-02       9.19431256e-01       8.02265837e-02       3.42160209e-04
        9.60000000e-02       9.08464016e-01       9.10910187e-02       4.44965235e-04
        1.08000000e-01       8.97627596e-01       1.01811682e-01       5.60721146e-04
        1.20000000e-01       8.86920437e-01       1.12390307e-01       6.89256457e-04
        1.32000000e-01       8.76340995e-01       1.22828603e-01       8.30401751e-04
        1.44000000e-01       8.65887748e-01       1.33128262e-01       9.83989651e-04
        1.56000000e-01       8.55559190e-01       1.43290955e-01       1.14985479e-03
        1.68000000e-01       8.45353835e-01       1.53318331e-01       1.32783382e-03
        1.80000000e-01       8.35270211e-01       1.63212023e-01       1.51776532e-03
        1.92000000e-01       8.25306869e-01       1.72973642e-01       1.71948984e-03
        2.04000000e-01       8.15462371e-01       1.82604779e-01       1.93284987e-03
        2.16000000e-01       8.05735302e-01       1.92107008e-01       2.15768975e-03
        2.28000000e-01       7.96124260e-01       2.01481884e-01       2.39385574e-03
        2.40000000e-01       7.86627861e-01       2.10730943e-01       2.64119595e-03
        2.52000000e-01       7.77244738e-01       2.19855702e-01       2.89956029e-03
        2.64000000e-01       7.67973540e-01       2.28857660e-01       3.16880051e-03
        2.76000000e-01       7.58812931e-01       2.37738299e-01       3.44877014e-03
        2.88000000e-01       7.49761592e-01       2.46499083e-01       3.73932449e-03
        3.00000000e-01       7.40818221e-01       2.55141459e-01       4.04032058e-03
        3.12000000e-01       7.31981528e-01       2.63666855e-01       4.35161720e-03
        3.24000000e-01       7.23250242e-01       2.72076683e-01       4.67307481e-03
        3.36000000e-01       7.14623106e-01       2.80372339e-01       5.00455557e-03
        3.48000000e-01       7.06098876e-01       2.88555200e-01       5.34592330e-03
        3.60000000e-01       6.97676326e-01       2.96626630e-01       5.69704348e-03
        3.72000000e-01       6.89354243e-01       3.04587974e-01       6.05778318e-03
        3.84000000e-01       6.81131427e-01       3.12440562e-01       6.42801111e-03
        3.96000000e-01       6.73006696e-01       3.20185706e-01       6.80759755e-03
        4.08000000e-01       6.64978879e-01       3.27824707e-01       7.19641435e-03
        4.20000000e-01       6.57046820e-01       3.35358845e-01       7.59433490e-03
        4.32000000e-01       6.49209377e-01       3.42789389e-01       8.00123414e-03
        4.44000000e-01       6.41465421e-01       3.50117591e-01       8.41698850e-03
        4.56000000e-01       6.33813837e-01       3.57344687e-01       8.84147592e-03
        4.68000000e-01       6.26253524e-01       3.64471900e-01       9.27457580e-03
        4.80000000e-01       6.18783392e-01       3.71500439e-01       9.71616901e-03
        4.92000000e-01       6.11402366e-01       3.78431496e-01       1.01661379e-02
        5.04000000e-01       6.04109383e-01       3.85266251e-01       1.06243661e-02
        5.16000000e-01       5.96903393e-01       3.92005868e-01       1.10907388e-02
        5.28000000e-01       5.89783358e-01       3.98651500e-01       1.15651426e-02
        5.40000000e-01       5.82748252e-01       4.05204282e-01       1.20474653e-02
        5.52000000e-01       5.75797064e-01       4.11665340e-01       1.25375962e-02
        5.64000000e-01       5.68928791e-01       4.18035783e-01       1.30354258e-02
        5.76000000e-01       5.62142445e-01       4.24316709e-01       1.35408462e-02
        5.88000000e-01       5.55437049e-01       4.30509201e-01       1.40537506e-02
        6.00000000e-01       5.48811636e-01       4.36614330e-01       1.45740334e-02
        6.12000000e-01       5.42265253e-01       4.42633156e-01       1.51015904e-02
        6.24000000e-01       5.35796958e-01       4.48566723e-01       1.56363188e-02
        6.36000000e-01       5.29405818e-01       4.54416065e-01       1.61781169e-02
        6.48000000e-01       5.23090913e-01       4.60182203e-01       1.67268841e-02
        6.60000000e-01       5.16851335e-01       4.65866144e-01       1.72825213e-02
        6.72000000e-01       5.10686183e-01       4.71468886e-01       1.78449304e-02
        6.84000000e-01       5.04594572e-01       4.76991413e-01       1.84140145e-02
        6.96000000e-01       4.98575623e-01       4.82434699e-01       1.89896781e-02
        7.08000000e-01       4.92628470e-01       4.87799704e-01       1.95718265e-02
        7.20000000e-01       4.86752256e-01       4.93087378e-01       2.01603664e-02
        7.32000000e-01       4.80946135e-01       4.98298659e-01       2.07552056e-02
        7.44000000e-01       4.75209272e-01       5.03434475e-01       2.13562530e-02
        7.56000000e-01       4.69540839e-01       5.08495742e-01       2.19634186e-02
        7.68000000e-01       4.63940021e-01       5.13483365e-01       2.25766134e-02
        7.80000000e-01       4.58406011e-01       5.18398239e-01       2.31957495e-02
        7.92000000e-01       4.52938013e-01       5.23241247e-01       2.38207404e-02
        8.04000000e-01       4.47535238e-01       5.28013262e-01       2.44515001e-02
        8.16000000e-01       4.42196909e-01       5.32715146e-01       2.50879442e-02
        8.28000000e-01       4.36922258e-01       5.37347754e-01       2.57299888e-02
        8.40000000e-01       4.31710523e-01       5.41911925e-01       2.63775514e-02
        8.52000000e-01       4.26560956e-01       5.46408493e-01       2.70305504e-02
        8.64000000e-01       4.21472815e-01       5.50838280e-01       2.76889051e-02
        8.76000000e-01       4.16445366e-01       5.55202098e-01       2.83525358e-02
        8.88000000e-01       4.11477886e-01       5.59500750e-01       2.90213640e-02
        9.00000000e-01       4.06569660e-01       5.63735028e-01       2.96953119e-02
        9.12000000e-01       4.01719980e-01       5.67905717e-01       3.03743027e-02
        9.24000000e-01       3.96928149e-01       5.72013591e-01       3.10582605e-02
        9.36000000e-01       3.92193476e-01       5.76059414e-01       3.17471105e-02
        9.48000000e-01       3.87515280e-01       5.80043942e-01       3.24407786e-02
        9.60000000e-01       3.82892886e-01       5.83967922e-01       3.31391917e-02
        9.72000000e-01       3.78325630e-01       5.87832093e-01       3.38422777e-02
        9.84000000e-01       3.73812853e-01       5.91637182e-01       3.45499651e-02
        9.96000000e-01       3.69353906e-01       5.95383910e-01       3.52621836e-02
        1.00800000e+00       3.64948147e-01       5.99072990e-01       3.59788634e-02
        1.02000000e+00       3.60594940e-01       6.02705124e-01       3.66999359e-02
        1.03200000e+00       3.56293660e-01       6.06281007e-01       3.74253332e-02
        1.04400000e+00       3.52043687e-01       6.09801325e-01       3.81549881e-02
        1.05600000e+00       3.47844409e-01       6.13266757e-01       3.88888344e-02
        1.06800000e+00       3.43695221e-01       6.16677972e-01       3.96268067e-02
        1.08000000e+00       3.39595526e-01       6.20035634e-01       4.03688402e-02
        1.09200000e+00       3.35544733e-01       6.23340396e-01       4.11148710e-02
        1.10400000e+00       3.31542259e-01       6.26592905e-01       4.18648362e-02
        1.11600000e+00       3.27587528e-01       6.29793799e-01       4.26186734e-02
        1.12800000e+00       3.23679969e-01       6.32943710e-01       4.33763209e-02
        1.14000000e+00       3.19819022e-01       6.36043260e-01       4.41377181e-02
        1.15200000e+00       3.16004129e-01       6.39093066e-01       4.49028049e-02
        1.16400000e+00       3.12234741e-01       6.42093737e-01       4.56715218e-02
        1.17600000e+00       3.08510315e-01       6.45045874e-01       4.64438104e-02
        1.18800000e+00       3.04830316e-01       6.47950072e-01       4.72196127e-02
        1.20000000e+00       3.01194212e-01       6.50806916e-01       4.79988716e-02
        1.21200000e+00       2.97601481e-01       6.53616988e-01       4.87815306e-02
        1.22400000e+00       2.94051605e-01       6.56380861e-01       4.95675339e-02
        1.23600000e+00       2.90544073e-01       6.59099101e-01       5.03568264e-02
        1.24800000e+00       2.87078380e-01       6.61772266e-01       5.11493537e-02
        1.26000000e+00       2.83654027e-01       6.64400911e-01       5.19450621e-02
        1.27200000e+00       2.80270520e-01       6.66985582e-01       5.27438983e-02
        1.28400000e+00       2.76927373e-01       6.69526817e-01       5.35458101e-02
