# Bai toan truyen nhiet 1D: mot thanh
# Backward Euler cho phuong trinh truyen nhiet 1D
#
# N_x    = 200
# N_time = 3000
# L      = 1.0
# t_max  = 2500.0
# h      = 5.02512563e-03
# k      = 8.33611204e-01
# eta    = 2.85287483e+00
#
#    j (t)    i (x)               t               x               u
         0        0    0.000000e+00    0.000000e+00    1.000000e+02
         0        1    0.000000e+00    5.025126e-03    0.000000e+00
         0        2    0.000000e+00    1.005025e-02    0.000000e+00
         0        3    0.000000e+00    1.507538e-02    0.000000e+00
         0        4    0.000000e+00    2.010050e-02    0.000000e+00
         0        5    0.000000e+00    2.512563e-02    0.000000e+00
         0        6    0.000000e+00    3.015075e-02    0.000000e+00
         0        7    0.000000e+00    3.517588e-02    0.000000e+00
         0        8    0.000000e+00    4.020101e-02    0.000000e+00
         0        9    0.000000e+00    4.522613e-02    0.000000e+00
         0       10    0.000000e+00    5.025126e-02    0.000000e+00
         0       11    0.000000e+00    5.527638e-02    0.000000e+00
         0       12    0.000000e+00    6.030151e-02    0.000000e+00
         0       13    0.000000e+00    6.532663e-02    0.000000e+00
         0       14    0.000000e+00    7.035176e-02    0.000000e+00
         0       15    0.000000e+00    7.537688e-02    0.000000e+00
         0       16    0.000000e+00    8.040201e-02    0.000000e+00
         0       17    0.000000e+00    8.542714e-02    0.000000e+00
         0       18    0.000000e+00    9.045226e-02    0.000000e+00
         0       19    0.000000e+00    9.547739e-02    0.000000e+00
         0       20    0.000000e+00    1.005025e-01    0.000000e+00
         0       21    0.000000e+00    1.055276e-01    0.000000e+00
         0       22    0.000000e+00    1.105528e-01    0.000000e+00
         0       23    0.000000e+00    1.155779e-01    0.000000e+00
         0       24    0.000000e+00    1.206030e-01    0.000000e+00
         0       25    0.000000e+00    1.256281e-01    0.000000e+00
         0       26    0.000000e+00    1.306533e-01    0.000000e+00
         0       27    0.000000e+00    1.356784e-01    0.000000e+00
         0       28    0.000000e+00    1.407035e-01    0.000000e+00
         0       29    0.000000e+00    1.457286e-01    0.000000e+00
         0       30    0.000000e+00    1.507538e-01    0.000000e+00
         0       31    0.000000e+00    1.557789e-01    0.000000e+00
         0       32    0.000000e+00    1.608040e-01    0.000000e+00
         0       33    0.000000e+00    1.658291e-01    0.000000e+00
         0       34    0.000000e+00    1.708543e-01    0.000000e+00
         0       35    0.000000e+00    1.758794e-01    0.000000e+00
         0       36    0.000000e+00    1.809045e-01    0.000000e+00
         0       37    0.000000e+00    1.859296e-01    0.000000e+00
         0       38    0.000000e+00    1.909548e-01    0.000000e+00
         0       39    0.000000e+00    1.959799e-01    0.000000e+00
         0       40    0.000000e+00    2.010050e-01    0.000000e+00
         0       41    0.000000e+00    2.060302e-01    0.000000e+00
         0       42    0.000000e+00    2.110553e-01    0.000000e+00
         0       43    0.000000e+00    2.160804e-01    0.000000e+00
         0       44    0.000000e+00    2.211055e-01    0.000000e+00
         0       45    0.000000e+00    2.261307e-01    0.000000e+00
         0       46    0.000000e+00    2.311558e-01    0.000000e+00
         0       47    0.000000e+00    2.361809e-01    0.000000e+00
         0       48    0.000000e+00    2.412060e-01    0.000000e+00
         0       49    0.000000e+00    2.462312e-01    0.000000e+00
