# Nghiem giai tich cho phuong trinh truyen nhiet 1D
#
#    j (t)    i (x)               t               x               u           |err|
         0        0    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
         0        1    0.000000e+00    1.010101e-02    1.178912e+02    1.789117e+01
         0        2    0.000000e+00    2.020202e-02    9.029594e+01    9.704060e+00
         0        3    0.000000e+00    3.030303e-02    1.065982e+02    6.598230e+00
         0        4    0.000000e+00    4.040404e-02    9.502117e+01    4.978830e+00
         0        5    0.000000e+00    5.050505e-02    1.039874e+02    3.987367e+00
         0        6    0.000000e+00    6.060606e-02    9.668195e+01    3.318047e+00
         0        7    0.000000e+00    7.070707e-02    1.028354e+02    2.835430e+00
         0        8    0.000000e+00    8.080808e-02    9.752949e+01    2.470506e+00
         0        9    0.000000e+00    9.090909e-02    1.021845e+02    2.184480e+00
         0       10    0.000000e+00    1.010101e-01    9.804611e+01    1.953888e+00
         0       11    0.000000e+00    1.111111e-01    1.017637e+02    1.763717e+00
         0       12    0.000000e+00    1.212121e-01    9.839609e+01    1.603913e+00
         0       13    0.000000e+00    1.313131e-01    1.014675e+02    1.467495e+00
         0       14    0.000000e+00    1.414141e-01    9.865053e+01    1.349465e+00
         0       15    0.000000e+00    1.515152e-01    1.012461e+02    1.246128e+00
         0       16    0.000000e+00    1.616162e-01    9.884524e+01    1.154764e+00
         0       17    0.000000e+00    1.717172e-01    1.010732e+02    1.073239e+00
         0       18    0.000000e+00    1.818182e-01    9.900009e+01    9.999062e-01
         0       19    0.000000e+00    1.919192e-01    1.009335e+02    9.334632e-01
         0       20    0.000000e+00    2.020202e-01    9.912713e+01    8.728671e-01
         0       21    0.000000e+00    2.121212e-01    1.008173e+02    8.172719e-01
         0       22    0.000000e+00    2.222222e-01    9.923402e+01    7.659844e-01
         0       23    0.000000e+00    2.323232e-01    1.007184e+02    7.184308e-01
         0       24    0.000000e+00    2.424242e-01    9.932587e+01    6.741318e-01
         0       25    0.000000e+00    2.525253e-01    1.006327e+02    6.326641e-01
         0       26    0.000000e+00    2.626263e-01    9.940627e+01    5.937250e-01
         0       27    0.000000e+00    2.727273e-01    1.005570e+02    5.570020e-01
         0       28    0.000000e+00    2.828283e-01    9.947776e+01    5.222433e-01
         0       29    0.000000e+00    2.929293e-01    1.004892e+02    4.892306e-01
         0       30    0.000000e+00    3.030303e-01    9.954223e+01    4.577740e-01
         0       31    0.000000e+00    3.131313e-01    1.004277e+02    4.277070e-01
         0       32    0.000000e+00    3.232323e-01    9.960112e+01    3.988827e-01
         0       33    0.000000e+00    3.333333e-01    1.003712e+02    3.711710e-01
         0       34    0.000000e+00    3.434343e-01    9.965554e+01    3.444562e-01
         0       35    0.000000e+00    3.535354e-01    1.003186e+02    3.186142e-01
         0       36    0.000000e+00    3.636364e-01    9.970641e+01    2.935916e-01
         0       37    0.000000e+00    3.737374e-01    1.002693e+02    2.692837e-01
         0       38    0.000000e+00    3.838384e-01    9.975439e+01    2.456133e-01
         0       39    0.000000e+00    3.939394e-01    1.002225e+02    2.225098e-01
         0       40    0.000000e+00    4.040404e-01    9.980009e+01    1.999082e-01
         0       41    0.000000e+00    4.141414e-01    1.001777e+02    1.777482e-01
         0       42    0.000000e+00    4.242424e-01    9.984403e+01    1.559735e-01
         0       43    0.000000e+00    4.343434e-01    1.001345e+02    1.345314e-01
         0       44    0.000000e+00    4.444444e-01    9.988663e+01    1.133722e-01
         0       45    0.000000e+00    4.545455e-01    1.000924e+02    9.242834e-02
         0       46    0.000000e+00    4.646465e-01    9.992831e+01    7.169454e-02
         0       47    0.000000e+00    4.747475e-01    1.000511e+02    5.110696e-02
         0       48    0.000000e+00    4.848485e-01    9.996938e+01    3.062297e-02
         0       49    0.000000e+00    4.949495e-01    1.000102e+02    1.020081e-02
         0       50    0.000000e+00    5.050505e-01    1.000102e+02    1.020081e-02
         0       51    0.000000e+00    5.151515e-01    9.996938e+01    3.062297e-02
         0       52    0.000000e+00    5.252525e-01    1.000511e+02    5.110696e-02
         0       53    0.000000e+00    5.353535e-01    9.992831e+01    7.169454e-02
         0       54    0.000000e+00    5.454545e-01    1.000924e+02    9.242834e-02
