# Bai toan truyen song 1D 
# Phuong phap sai phan huu han hien
#
# N_x    = 143
# N_time = 501
# l      = 1.0
# t_max  = 0.05
#
#     t_step     x_step               t               x               u
           0          0  0.00000000e+00  0.00000000e+00  0.00000000e+00
           0          1  0.00000000e+00  7.04225352e-03  2.21220872e-02
           0          2  0.00000000e+00  1.40845070e-02  4.42333467e-02
           0          3  0.00000000e+00  2.11267606e-02  6.63229564e-02
           0          4  0.00000000e+00  2.81690141e-02  8.83801046e-02
           0          5  0.00000000e+00  3.52112676e-02  1.10393995e-01
           0          6  0.00000000e+00  4.22535211e-02  1.32353854e-01
           0          7  0.00000000e+00  4.92957746e-02  1.54248933e-01
           0          8  0.00000000e+00  5.63380282e-02  1.76068515e-01
           0          9  0.00000000e+00  6.33802817e-02  1.97801921e-01
           0         10  0.00000000e+00  7.04225352e-02  2.19438513e-01
           0         11  0.00000000e+00  7.74647887e-02  2.40967702e-01
           0         12  0.00000000e+00  8.45070423e-02  2.62378951e-01
           0         13  0.00000000e+00  9.15492958e-02  2.83661778e-01
           0         14  0.00000000e+00  9.85915493e-02  3.04805769e-01
           0         15  0.00000000e+00  1.05633803e-01  3.25800573e-01
           0         16  0.00000000e+00  1.12676056e-01  3.46635915e-01
           0         17  0.00000000e+00  1.19718310e-01  3.67301598e-01
           0         18  0.00000000e+00  1.26760563e-01  3.87787506e-01
           0         19  0.00000000e+00  1.33802817e-01  4.08083612e-01
           0         20  0.00000000e+00  1.40845070e-01  4.28179984e-01
           0         21  0.00000000e+00  1.47887324e-01  4.48066784e-01
           0         22  0.00000000e+00  1.54929577e-01  4.67734279e-01
           0         23  0.00000000e+00  1.61971831e-01  4.87172844e-01
           0         24  0.00000000e+00  1.69014085e-01  5.06372963e-01
           0         25  0.00000000e+00  1.76056338e-01  5.25325240e-01
           0         26  0.00000000e+00  1.83098592e-01  5.44020398e-01
           0         27  0.00000000e+00  1.90140845e-01  5.62449288e-01
           0         28  0.00000000e+00  1.97183099e-01  5.80602888e-01
           0         29  0.00000000e+00  2.04225352e-01  5.98472314e-01
           0         30  0.00000000e+00  2.11267606e-01  6.16048820e-01
           0         31  0.00000000e+00  2.18309859e-01  6.33323803e-01
           0         32  0.00000000e+00  2.25352113e-01  6.50288808e-01
           0         33  0.00000000e+00  2.32394366e-01  6.66935531e-01
           0         34  0.00000000e+00  2.39436620e-01  6.83255825e-01
           0         35  0.00000000e+00  2.46478873e-01  6.99241701e-01
           0         36  0.00000000e+00  2.53521127e-01  7.14885336e-01
           0         37  0.00000000e+00  2.60563380e-01  7.30179073e-01
           0         38  0.00000000e+00  2.67605634e-01  7.45115426e-01
           0         39  0.00000000e+00  2.74647887e-01  7.59687085e-01
           0         40  0.00000000e+00  2.81690141e-01  7.73886917e-01
           0         41  0.00000000e+00  2.88732394e-01  7.87707973e-01
           0         42  0.00000000e+00  2.95774648e-01  8.01143489e-01
           0         43  0.00000000e+00  3.02816901e-01  8.14186887e-01
           0         44  0.00000000e+00  3.09859155e-01  8.26831784e-01
           0         45  0.00000000e+00  3.16901408e-01  8.39071991e-01
           0         46  0.00000000e+00  3.23943662e-01  8.50901517e-01
           0         47  0.00000000e+00  3.30985915e-01  8.62314573e-01
           0         48  0.00000000e+00  3.38028169e-01  8.73305571e-01
           0         49  0.00000000e+00  3.45070423e-01  8.83869133e-01
           0         50  0.00000000e+00  3.52112676e-01  8.94000088e-01
           0         51  0.00000000e+00  3.59154930e-01  9.03693478e-01
           0         52  0.00000000e+00  3.66197183e-01  9.12944558e-01
           0         53  0.00000000e+00  3.73239437e-01  9.21748800e-01
           0         54  0.00000000e+00  3.80281690e-01  9.30101896e-01
           0         55  0.00000000e+00  3.87323944e-01  9.37999756e-01
           0         56  0.00000000e+00  3.94366197e-01  9.45438516e-01
           0         57  0.00000000e+00  4.01408451e-01  9.52414533e-01
           0         58  0.00000000e+00  4.08450704e-01  9.58924395e-01
           0         59  0.00000000e+00  4.15492958e-01  9.64964915e-01
           0         60  0.00000000e+00  4.22535211e-01  9.70533135e-01
           0         61  0.00000000e+00  4.29577465e-01  9.75626332e-01
           0         62  0.00000000e+00  4.36619718e-01  9.80242011e-01
           0         63  0.00000000e+00  4.43661972e-01  9.84377914e-01
           0         64  0.00000000e+00  4.50704225e-01  9.88032017e-01
           0         65  0.00000000e+00  4.57746479e-01  9.91202531e-01
           0         66  0.00000000e+00  4.64788732e-01  9.93887904e-01
           0         67  0.00000000e+00  4.71830986e-01  9.96086822e-01
           0         68  0.00000000e+00  4.78873239e-01  9.97798209e-01
           0         69  0.00000000e+00  4.85915493e-01  9.99021227e-01
           0         70  0.00000000e+00  4.92957746e-01  9.99755277e-01
           0         71  0.00000000e+00  5.00000000e-01  1.00000000e+00
           0         72  0.00000000e+00  5.07042254e-01  9.99755277e-01
           0         73  0.00000000e+00  5.14084507e-01  9.99021227e-01
           0         74  0.00000000e+00  5.21126761e-01  9.97798209e-01
