#    i             T       Bisection (m)          Newton (m)
############################################################
    1        0.0100        0.9999990497        1.0000000000
    2        0.0150        0.9999990497        1.0000000000
    3        0.0200        0.9999990497        1.0000000000
    4        0.0249        0.9999990497        1.0000000000
    5        0.0299        0.9999990497        1.0000000000
    6        0.0349        0.9999990497        1.0000000000
    7        0.0399        0.9999990497        1.0000000000
    8        0.0449        0.9999990497        1.0000000000
    9        0.0499        0.9999990497        1.0000000000
   10        0.0548        0.9999990497        1.0000000000
   11        0.0598        0.9999990497        1.0000000000
   12        0.0648        0.9999990497        1.0000000000
   13        0.0698        0.9999990497        1.0000000000
   14        0.0748        0.9999990497        1.0000000000
   15        0.0798        0.9999990497        1.0000000000
   16        0.0847        0.9999990497        0.9999999999
   17        0.0897        0.9999990497        0.9999999996
   18        0.0947        0.9999990497        0.9999999986
   19        0.0997        0.9999990497        0.9999999961
   20        0.1047        0.9999990497        0.9999999899
   21        0.1097        0.9999990497        0.9999999760
   22        0.1146        0.9999990497        0.9999999469
   23        0.1196        0.9999990497        0.9999998902
   24        0.1246        0.9999990497        0.9999997858
   25        0.1296        0.9999990497        0.9999996029
   26        0.1346        0.9999990497        0.9999992968
   27        0.1396        0.9999990497        0.9999988046
   28        0.1445        0.9999976191        0.9999980409
   29        0.1495        0.9999961886        0.9999968931
   30        0.1545        0.9999961886        0.9999952174
   31        0.1595        0.9999933276        0.9999928334
   32        0.1645        0.9999904666        0.9999895211
   33        0.1695        0.9999847445        0.9999850162
   34        0.1744        0.9999790225        0.9999790075
   35        0.1794        0.9999704394        0.9999711345
   36        0.1844        0.9999618564        0.9999609853
   37        0.1894        0.9999475512        0.9999480955
   38        0.1944        0.9999318156        0.9999319484
   39        0.1994        0.9999117885        0.9999119749
   40        0.2043        0.9998874698        0.9998875546
   41        0.2093        0.9998588595        0.9998580180
   42        0.2143        0.9998216662        0.9998226478
   43        0.2193        0.9997816119        0.9997806822
   44        0.2243        0.9997315440        0.9997313179
   45        0.2293        0.9996728930        0.9996737130
   46        0.2342        0.9996070895        0.9996069909
   47        0.2392        0.9995298419        0.9995302438
   48        0.2442        0.9994425807        0.9994425366
   49        0.2492        0.9993438754        0.9993429103
   50        0.2542        0.9992294345        0.9992303859
   51        0.2592        0.9991035495        0.9991039683
   52        0.2641        0.9989633594        0.9989626491
   53        0.2691        0.9988060031        0.9988054108
   54        0.2741        0.9986314807        0.9986312291
   55        0.2791        0.9984397922        0.9984390766
   56        0.2841        0.9982280765        0.9982279251
   57        0.2891        0.9979963336        0.9979967483
   58        0.2940        0.9977445636        0.9977445242
   59        0.2990        0.9974699054        0.9974702374
   60        0.3040        0.9971723590        0.9971728806
   61        0.3090        0.9968504939        0.9968514568
   62        0.3140        0.9965043101        0.9965049806
   63        0.3190        0.9961309467        0.9961313393
   64        0.3239        0.9957318340        0.9957315114
   65        0.3289        0.9953041110        0.9953036699
   66        0.3339        0.9948463474        0.9948468698
   67        0.3389        0.9943599735        0.9943601803
   68        0.3439        0.9938421283        0.9938426849
   69        0.3489        0.9932928119        0.9932934817
   70        0.3538        0.9927120243        0.9927116837
   71        0.3588        0.9920969043        0.9920964182
   72        0.3638        0.9914474521        0.9914468274
   73        0.3688        0.9907622371        0.9907620678
   74        0.3738        0.9900412594        0.9900413100
   75        0.3788        0.9892845188        0.9892837384
   76        0.3837        0.9884891544        0.9884885509
   77        0.3887        0.9876551662        0.9876549582
   78        0.3937        0.9867811237        0.9867821837
   79        0.3987        0.9858684574        0.9858694624
   80        0.4037        0.9849157368        0.9849160411
   81        0.4087        0.9839201008        0.9839211771
   82        0.4136        0.9828844105        0.9828841380
   83        0.4186        0.9818043743        0.9818042009
   84        0.4236        0.9806814228        0.9806806517
   85        0.4286        0.9795126950        0.9795127846
   86        0.4336        0.9782996212        0.9782999013
   87        0.4386        0.9770422017        0.9770413103
   88        0.4435        0.9757361447        0.9757363264
   89        0.4485        0.9743843114        0.9743842694
   90        0.4535        0.9729852712        0.9729844642
   91        0.4585        0.9715361630        0.9715362396
   92        0.4635        0.9700384175        0.9700389275
   93        0.4685        0.9684920346        0.9684918625
   94        0.4734        0.9668941533        0.9668943808
   95        0.4784        0.9652462041        0.9652458201
   96        0.4834        0.9635453260        0.9635455181
   97        0.4884        0.9617929494        0.9617928122
   98        0.4934        0.9599876440        0.9599870389
   99        0.4984        0.9581279791        0.9581275328
  100        0.5033        0.9562139547        0.9562136259
  101        0.5083        0.9542455710        0.9542446472
  102        0.5133        0.9522199667        0.9522199215
  103        0.5183        0.9501385725        0.9501387691
  104        0.5233        0.9479999579        0.9480005050
  105        0.5283        0.9458026923        0.9458044379
  106        0.5332        0.9435482062        0.9435498701
  107        0.5382        0.9412350692        0.9412360961
  108        0.5432        0.9388618507        0.9388624025
  109        0.5482        0.9364271202        0.9364267226
  110        0.5532        0.9339294471        0.9339306919
  111        0.5582        0.9313716926        0.9313724755
  112        0.5631        0.9287509956        0.9287513071
  113        0.5681        0.9260673561        0.9260664064
  114        0.5731        0.9233179131        0.9233169783
  115        0.5781        0.9205026665        0.9205022120
  116        0.5831        0.9176216164        0.9176212796
  117        0.5881        0.9146733323        0.9146733355
  118        0.5930        0.9116563836        0.9116575148
  119        0.5980        0.9085722009        0.9085729325
  120        0.6030        0.9054193536        0.9054186820
  121        0.6080        0.9021949808        0.9021938340
  122        0.6130        0.8988962214        0.8988974351
  123        0.6180        0.8955287974        0.8955285067
  124        0.6229        0.8920869868        0.8920860430
  125        0.6279        0.8885679286        0.8885690099
  126        0.6329        0.8849773448        0.8849763433
  127        0.6379        0.8813066524        0.8813069476
  128        0.6429        0.8775587123        0.8775596936
  129        0.6479        0.8737335247        0.8737334168
  130        0.6528        0.8698253674        0.8698269155
  131        0.6578        0.8658399624        0.8658389489
  132        0.6628        0.8617687268        0.8617682343
  133        0.6678        0.8576145215        0.8576134455
  134        0.6728        0.8533744855        0.8533732099
  135        0.6778        0.8490457578        0.8490461061
  136        0.6827        0.8446311994        0.8446306609
  137        0.6877        0.8401250883        0.8401253466
  138        0.6927        0.8355274245        0.8355285775
  139        0.6977        0.8308382079        0.8308387072
  140        0.7027        0.8260545776        0.8260540242
  141        0.7077        0.8211708114        0.8211727487
  142        0.7126        0.8161926315        0.8161930282
  143        0.7176        0.8111114548        0.8111129335
  144        0.7226        0.8059301423        0.8059304535
  145        0.7276        0.8006429719        0.8006434907
  146        0.7326        0.7952499437        0.7952498560
  147        0.7376        0.7897453355        0.7897472624
  148        0.7425        0.7841320086        0.7841333197
  149        0.7475        0.7784042407        0.7784055275
  150        0.7525        0.7725591708        0.7725612687
  151        0.7575        0.7665939380        0.7665978020
  152        0.7625        0.7605114032        0.7605094317
  153        0.7675        0.7542972614        0.7542979167
  154        0.7724        0.7479572346        0.7479578874
  155        0.7774        0.7414856008        0.7414859513
  156        0.7824        0.7348766378        0.7348785288
  157        0.7874        0.7281303457        0.7281318386
  158        0.7924        0.7212410025        0.7212418808
  159        0.7974        0.7142028861        0.7142044186
  160        0.8023        0.7070159965        0.7070149585
  161        0.8073        0.6996688896        0.6996687272
  162        0.8123        0.6921615654        0.6921606464
  163        0.8173        0.6844825799        0.6844853049
  164        0.8223        0.6766376550        0.6766369266
  165        0.8273        0.6686096247        0.6686093350
  166        0.8322        0.6603984889        0.6603959133
  167        0.8372        0.6519870815        0.6519895582
  168        0.8422        0.6433811245        0.6433826288
  169        0.8472        0.6345634518        0.6345668876
  170        0.8522        0.6255340634        0.6255334331
  171        0.8572        0.6162757932        0.6162726229
  172        0.8621        0.6067771971        0.6067739850
  173        0.8671        0.5970268310        0.5970261161
  174        0.8721        0.5870132507        0.5870165638
  175        0.8771        0.5767307343        0.5767316905
  176        0.8821        0.5661506715        0.5661565165
  177        0.8871        0.5552673403        0.5552745384
  178        0.8920        0.5440635745        0.5440620370
  179        0.8970        0.5325050419        0.5325065195
  180        0.9020        0.5205802983        0.5205814055
  181        0.9070        0.5082607335        0.5082606045
  182        0.9120        0.4955177374        0.4955145256
  183        0.9170        0.4823112556        0.4823093780
  184        0.9219        0.4686126778        0.4686062811
  185        0.9269        0.4543533395        0.4543601173
  186        0.9319        0.4395217966        0.4395180321
  187        0.9369        0.4240150523        0.4240174456
  188        0.9419        0.4077758862        0.4077833781
  189        0.9469        0.3907241895        0.3907248062
  190        0.9518        0.3727340773        0.3727296585
  191        0.9568        0.3536453323        0.3536428711
  192        0.9618        0.3332977373        0.3332939302
  193        0.9668        0.3114166339        0.3114284042
  194        0.9718        0.2877044759        0.2877008087
  195        0.9768        0.2616119467        0.2616062888
  196        0.9817        0.2323608483        0.2323593510
  197        0.9867        0.1984863368        0.1985192313
  198        0.9917        0.1571960539        0.1572298919
  199        0.9967        0.0996093843        0.0995486079
  200        1.0017        0.0000000000        0.0000179987
  201        1.0067        0.0000000000        0.0000000040
  202        1.0116        0.0000000000        0.0000008026
  203        1.0166        0.0000000000        0.0000000006
  204        1.0216        0.0000000000        0.0000198687
  205        1.0266        0.0000000000        0.0000012412
  206        1.0316        0.0000000000        0.0000000646
  207        1.0366        0.0000000000        0.0000000029
  208        1.0415        0.0000000000        0.0000000001
  209        1.0465        0.0000000000        0.0000000000
  210        1.0515        0.0000000000        0.0000000000
  211        1.0565        0.0000000000        0.0000070393
  212        1.0615        0.0000000000        0.0000021752
  213        1.0665        0.0000000000        0.0000006549
  214        1.0714        0.0000000000        0.0000001927
  215        1.0764        0.0000000000        0.0000000555
  216        1.0814        0.0000000000        0.0000000157
  217        1.0864        0.0000000000        0.0000000044
  218        1.0914        0.0000000000        0.0000000012
  219        1.0964        0.0000000000        0.0000000003
  220        1.1013        0.0000000000        0.0000000001
  221        1.1063        0.0000000000        0.0000000000
  222        1.1113        0.0000000000        0.0000000000
  223        1.1163        0.0000000000        0.0000000000
  224        1.1213        0.0000000000        0.0000000000
  225        1.1263        0.0000000000        0.0000000000
  226        1.1312        0.0000000000        0.0000000000
  227        1.1362        0.0000000000        0.0000000000
  228        1.1412        0.0000000000        0.0000075455
  229        1.1462        0.0000000000        0.0000048060
  230        1.1512        0.0000000000        0.0000030548
  231        1.1562        0.0000000000        0.0000019381
  232        1.1611        0.0000000000        0.0000012276
  233        1.1661        0.0000000000        0.0000007764
  234        1.1711        0.0000000000        0.0000004903
  235        1.1761        0.0000000000        0.0000003093
  236        1.1811        0.0000000000        0.0000001949
  237        1.1861        0.0000000000        0.0000001227
  238        1.1910        0.0000000000        0.0000000772
  239        1.1960        0.0000000000        0.0000000485
  240        1.2010        0.0000000000        0.0000000305
  241        1.2060        0.0000000000        0.0000000191
  242        1.2110        0.0000000000        0.0000000120
  243        1.2160        0.0000000000        0.0000000075
  244        1.2209        0.0000000000        0.0000000047
  245        1.2259        0.0000000000        0.0000000030
  246        1.2309        0.0000000000        0.0000000019
  247        1.2359        0.0000000000        0.0000000012
  248        1.2409        0.0000000000        0.0000000007
  249        1.2459        0.0000000000        0.0000000005
  250        1.2508        0.0000000000        0.0000000003
  251        1.2558        0.0000000000        0.0000000002
  252        1.2608        0.0000000000        0.0000000001
  253        1.2658        0.0000000000        0.0000000001
  254        1.2708        0.0000000000        0.0000000000
  255        1.2758        0.0000000000        0.0000000000
  256        1.2807        0.0000000000        0.0000000000
  257        1.2857        0.0000000000        0.0000000000
  258        1.2907        0.0000000000        0.0000000000
  259        1.2957        0.0000000000        0.0000000000
  260        1.3007        0.0000000000        0.0000000000
  261        1.3057        0.0000000000        0.0000000000
  262        1.3106        0.0000000000        0.0000000000
  263        1.3156        0.0000000000        0.0000000000
  264        1.3206        0.0000000000        0.0000000000
  265        1.3256        0.0000000000        0.0000000000
  266        1.3306        0.0000000000        0.0000000000
  267        1.3356        0.0000000000        0.0000000000
  268        1.3405        0.0000000000        0.0000000000
  269        1.3455        0.0000000000        0.0000000000
  270        1.3505        0.0000000000        0.0000000000
  271        1.3555        0.0000000000        0.0000000000
  272        1.3605        0.0000000000        0.0000000000
  273        1.3655        0.0000000000        0.0000000000
  274        1.3704        0.0000000000        0.0000000000
  275        1.3754        0.0000000000        0.0000000000
  276        1.3804        0.0000000000        0.0000000000
  277        1.3854        0.0000000000        0.0000000000
  278        1.3904        0.0000000000        0.0000000000
  279        1.3954        0.0000000000        0.0000000000
  280        1.4003        0.0000000000        0.0000000000
  281        1.4053        0.0000000000        0.0000000000
  282        1.4103        0.0000000000        0.0000000000
  283        1.4153        0.0000000000        0.0000000000
  284        1.4203        0.0000000000        0.0000000000
  285        1.4253        0.0000000000        0.0000000000
  286        1.4302        0.0000000000        0.0000030588
  287        1.4352        0.0000000000        0.0000026578
  288        1.4402        0.0000000000        0.0000023101
  289        1.4452        0.0000000000        0.0000020084
  290        1.4502        0.0000000000        0.0000017467
  291        1.4552        0.0000000000        0.0000015195
  292        1.4601        0.0000000000        0.0000013222
  293        1.4651        0.0000000000        0.0000011509
  294        1.4701        0.0000000000        0.0000010021
  295        1.4751        0.0000000000        0.0000008728
  296        1.4801        0.0000000000        0.0000007604
  297        1.4851        0.0000000000        0.0000006627
  298        1.4900        0.0000000000        0.0000005777
  299        1.4950        0.0000000000        0.0000005038
  300        1.5000        0.0000000000        0.0000004394
