####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 210 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.1
# Delta_0 (Do lech pha/Detuning)= 50 meV
# delta_t (Do rong xung laser) = 30 fs

####################################################################################################

#              t             N_e             N_h    Re_P for abs    Im_P for abs             |P|             E_t 
   -9.000000e+01     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.234098e-05
   -8.800000e+01     5.293596e-10     5.293596e-10     8.143708e-05     5.844232e-04     5.943061e-04     1.832894e-05
   -8.600000e+01     3.125286e-09     3.125286e-09     3.514879e-04     1.360888e-03     1.440147e-03     2.698140e-05
   -8.400000e+01     1.036589e-08     1.036589e-08     8.353916e-04     2.352555e-03     2.613148e-03     3.936690e-05
   -8.200000e+01     2.726016e-08     2.726016e-08     1.550155e-03     3.627611e-03     4.214975e-03     5.692954e-05
   -8.000000e+01     6.356751e-08     6.356751e-08     2.524299e-03     5.316660e-03     6.390831e-03     8.159878e-05
   -7.800000e+01     1.384158e-07     1.384158e-07     3.820442e-03     7.621997e-03     9.355142e-03     1.159229e-04
   -7.600000e+01     2.891951e-07     2.891951e-07     5.554690e-03     1.082064e-02     1.342097e-02     1.632279e-04
   -7.400000e+01     5.880571e-07     5.880571e-07     7.909270e-03     1.526630e-02     1.902390e-02     2.278030e-04
   -7.200000e+01     1.171530e-06     1.171530e-06     1.113861e-02     2.139630e-02     2.673710e-02     3.151112e-04
   -7.000000e+01     2.292272e-06     2.292272e-06     1.557250e-02     2.974793e-02     3.728711e-02     4.320239e-04
   -6.800000e+01     4.407598e-06     4.407598e-06     2.162146e-02     4.098521e-02     5.158044e-02     5.870721e-04
   -6.600000e+01     8.328022e-06     8.328022e-06     2.978876e-02     5.593351e-02     7.074253e-02     7.907054e-04
   -6.400000e+01     1.546180e-05     1.546180e-05     4.069052e-02     7.561711e-02     9.616594e-02     1.055547e-03
   -6.200000e+01     2.820919e-05     2.820919e-05     5.508255e-02     1.012944e-01     1.295639e-01     1.396626e-03
