####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 210 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.1
# Delta_0 (Do lech pha/Detuning)= 50 meV
# delta_t (Do rong xung laser) = 120 fs

####################################################################################################

#              t             N_e             N_h    Re_P for abs    Im_P for abs             |P|             E_t 
   -3.600000e+02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.234098e-05
   -3.580000e+02     2.427717e-11     2.427717e-11     1.831565e-05     1.249011e-04     1.272390e-04     1.363510e-05
   -3.560000e+02     1.032178e-10     1.032178e-10     7.031227e-05     2.437678e-04     2.614588e-04     1.505657e-05
   -3.540000e+02     2.418019e-10     2.418019e-10     1.457756e-04     3.438123e-04     3.980787e-04     1.661699e-05
   -3.520000e+02     4.400878e-10     4.400878e-10     2.301177e-04     4.200713e-04     5.323097e-04     1.832894e-05
   -3.500000e+02     6.959249e-10     6.959249e-10     3.094849e-04     4.760822e-04     6.597512e-04     2.020603e-05
   -3.480000e+02     1.009058e-09     1.009058e-09     3.750878e-04     5.215704e-04     7.772801e-04     2.226299e-05
   -3.460000e+02     1.385184e-09     1.385184e-09     4.252251e-04     5.682908e-04     8.844381e-04     2.451572e-05
   -3.440000e+02     1.838476e-09     1.838476e-09     4.645063e-04     6.257858e-04     9.857630e-04     2.698140e-05
   -3.420000e+02     2.391715e-09     2.391715e-09     5.009303e-04     6.986740e-04     1.092006e-03     2.967858e-05
   -3.400000e+02     3.074205e-09     3.074205e-09     5.422496e-04     7.862959e-04     1.213282e-03     3.262725e-05
   -3.380000e+02     3.918672e-09     3.918672e-09     5.931588e-04     8.844882e-04     1.352949e-03     3.584895e-05
   -3.360000e+02     4.958876e-09     4.958876e-09     6.543006e-04     9.884243e-04     1.510099e-03     3.936690e-05
   -3.340000e+02     6.229375e-09     6.229375e-09     7.231852e-04     1.095167e-03     1.682294e-03     4.320607e-05
   -3.320000e+02     7.767963e-09     7.767963e-09     7.962972e-04     1.204903e-03     1.867013e-03     4.739331e-05
   -3.300000e+02     9.620060e-09     9.620060e-09     8.712620e-04     1.320562e-03     2.062906e-03     5.195747e-05
   -3.280000e+02     1.184350e-08     1.184350e-08     9.480932e-04     1.446264e-03     2.271001e-03     5.692954e-05
   -3.260000e+02     1.451206e-08     1.451206e-08     1.029107e-03     1.585517e-03     2.494998e-03     6.234277e-05
   -3.240000e+02     1.771677e-08     1.771677e-08     1.117761e-03     1.740048e-03     2.739689e-03     6.823281e-05
   -3.220000e+02     2.156548e-08     2.156548e-08     1.217146e-03     1.909713e-03     3.008793e-03     7.463785e-05
   -3.200000e+02     2.618215e-08     2.618215e-08     1.328896e-03     2.093386e-03     3.304237e-03     8.159878e-05
   -3.180000e+02     3.170781e-08     3.170781e-08     1.452999e-03     2.290238e-03     3.626642e-03     8.915937e-05
   -3.160000e+02     3.830451e-08     3.830451e-08     1.588472e-03     2.500736e-03     3.976166e-03     9.736638e-05
   -3.140000e+02     4.616235e-08     4.616235e-08     1.734447e-03     2.726905e-03     4.353403e-03     1.062698e-04
   -3.120000e+02     5.550842e-08     5.550842e-08     1.891082e-03     2.971818e-03     4.760187e-03     1.159229e-04
   -3.100000e+02     6.661553e-08     6.661553e-08     2.059862e-03     3.238676e-03     5.199873e-03     1.263827e-04
   -3.080000e+02     7.980944e-08     7.980944e-08     2.243211e-03     3.529981e-03     5.676807e-03     1.377097e-04
   -3.060000e+02     9.547433e-08     9.547433e-08     2.443702e-03     3.847227e-03     6.195320e-03     1.499685e-04
   -3.040000e+02     1.140580e-07     1.140580e-07     2.663310e-03     4.191192e-03     6.759043e-03     1.632279e-04
   -3.020000e+02     1.360790e-07     1.360790e-07     2.903087e-03     4.562632e-03     7.370837e-03     1.775610e-04
   -3.000000e+02     1.621383e-07     1.621383e-07     3.163387e-03     4.962968e-03     8.033193e-03     1.930454e-04
   -2.980000e+02     1.929357e-07     1.929357e-07     3.444459e-03     5.394620e-03     8.748837e-03     2.097636e-04
   -2.960000e+02     2.292902e-07     2.292902e-07     3.747076e-03     5.860860e-03     9.521301e-03     2.278030e-04
   -2.940000e+02     2.721636e-07     2.721636e-07     4.072874e-03     6.365302e-03     1.035521e-02     2.472563e-04
   -2.920000e+02     3.226821e-07     3.226821e-07     4.424245e-03     6.911337e-03     1.125606e-02     2.682218e-04
   -2.900000e+02     3.821591e-07     3.821591e-07     4.803900e-03     7.501825e-03     1.222973e-02     2.908035e-04
   -2.880000e+02     4.521178e-07     4.521178e-07     5.214359e-03     8.139160e-03     1.328192e-02     3.151112e-04
   -2.860000e+02     5.343178e-07     5.343178e-07     5.657635e-03     8.825667e-03     1.441799e-02     3.412610e-04
   -2.840000e+02     6.307896e-07     6.307896e-07     6.135282e-03     9.564085e-03     1.564314e-02     3.693757e-04
   -2.820000e+02     7.438771e-07     7.438771e-07     6.648734e-03     1.035788e-02     1.696275e-02     3.995846e-04
   -2.800000e+02     8.762903e-07     8.762903e-07     7.199742e-03     1.121125e-02     1.838287e-02     4.320239e-04
   -2.780000e+02     1.031163e-06     1.031163e-06     7.790683e-03     1.212882e-02     1.991044e-02     4.668374e-04
   -2.760000e+02     1.212118e-06     1.212118e-06     8.424577e-03     1.311530e-02     2.155328e-02     5.041760e-04
   -2.740000e+02     1.423328e-06     1.423328e-06     9.104835e-03     1.417515e-02     2.331974e-02     5.441987e-04
   -2.720000e+02     1.669592e-06     1.669592e-06     9.834911e-03     1.531259e-02     2.521838e-02     5.870721e-04
   -2.700000e+02     1.956409e-06     1.956409e-06     1.061802e-02     1.653185e-02     2.725776e-02     6.329715e-04
   -2.680000e+02     2.290077e-06     2.290077e-06     1.145712e-02     1.783744e-02     2.944647e-02     6.820805e-04
   -2.660000e+02     2.677797e-06     2.677797e-06     1.235507e-02     1.923452e-02     3.179339e-02     7.345913e-04
   -2.640000e+02     3.127807e-06     3.127807e-06     1.331498e-02     2.072888e-02     3.430801e-02     7.907054e-04
   -2.620000e+02     3.649525e-06     3.649525e-06     1.434044e-02     2.232682e-02     3.700071e-02     8.506332e-04
   -2.600000e+02     4.253711e-06     4.253711e-06     1.543560e-02     2.403490e-02     3.988273e-02     9.145947e-04
