Giai phuong trinh f(x) = 0 bang phuong phap diem co dinh
######################################################################
  i            p0               f(p0)
  0  1.0000000000        1.5000000000
  1  1.5000000000        1.2869537676
  2  1.2869537676        1.4025408035
  3  1.4025408035        1.3454583740
  4  1.3454583740        1.3751702528
  5  1.3751702528        1.3600941928
  6  1.3600941928        1.3678469676
  7  1.3678469676        1.3638870039
  8  1.3638870039        1.3659167334
  9  1.3659167334        1.3648782172
 10  1.3648782172        1.3654100612
 11  1.3654100612        1.3651378207
 12  1.3651378207        1.3652772085
 13  1.3652772085        1.3652058503
 14  1.3652058503        1.3652423837
 15  1.3652423837        1.3652236802
 16  1.3652236802        1.3652332557
 17  1.3652332557        1.3652283535
 18  1.3652283535        1.3652308632
 19  1.3652308632        1.3652295783
 20  1.3652295783        1.3652302362
 21  1.3652302362        1.3652298994
 22  1.3652298994        1.3652300718
 23  1.3652300718        1.3652299835
 24  1.3652299835        1.3652300287
 25  1.3652300287        1.3652300056
 26  1.3652300056        1.3652300174
 27  1.3652300174        1.3652300114
 28  1.3652300114        1.3652300145
 29  1.3652300145        1.3652300129
 30  1.3652300129        1.3652300137
