Giai phuong trinh f(x) = 0 bang phuong phap Secant
######################################################################
    i                    p0                 f(p0)
    0          5.0000000000         -5.1030895678
    1          2.0000000000         12.4649220889
    2          2.1304626912         -2.7246173242
    3          3.4413952848         -1.1549865513
    4          2.5112574318          0.2554701330
    5          2.6781005229         -0.0175350664
    6          2.8008692210         -0.0002410949
    7          2.7786326390          0.0000002323
    8          2.7800608900         -0.0000000000
    9          2.7800808012         -0.0000000000
