# Ket qua tinh tich phan MC va thoi gian tinh cho truong hop tinh V theo d
################################################################################

#                              d                              V
                     1.000000000                   14.720105284
                     2.000000000                    8.465981828
                     3.000000000                    5.836946669
                     4.000000000                    4.432531348
                     5.000000000                    3.563545271
                     6.000000000                    2.976983436
                     7.000000000                    2.558379155
                     8.000000000                    2.239861271
                     9.000000000                    1.993722664
                    10.000000000                    1.796333786
                    11.000000000                    1.632406538
                    12.000000000                    1.497133441
                    13.000000000                    1.382896706
                    14.000000000                    1.284367186
                    15.000000000                    1.198358834
                    16.000000000                    1.123961136
                    17.000000000                    1.057258076
                    18.000000000                    0.999175647
                    19.000000000                    0.946585679
                    20.000000000                    0.899457460
                    21.000000000                    0.856658594
                    22.000000000                    0.817776764
                    23.000000000                    0.782072660
                    24.000000000                    0.749814020
                    25.000000000                    0.719553031
                    26.000000000                    0.692135057
                    27.000000000                    0.666369129
                    28.000000000                    0.642641167
                    29.000000000                    0.620477726
                    30.000000000                    0.599833962
                    31.000000000                    0.580541260
                    32.000000000                    0.562356458
                    33.000000000                    0.545311661
                    34.000000000                    0.529324328
                    35.000000000                    0.514210326
                    36.000000000                    0.499946612
                    37.000000000                    0.486335891
                    38.000000000                    0.473573222
                    39.000000000                    0.461462359
                    40.000000000                    0.449993759
                    41.000000000                    0.438987264
                    42.000000000                    0.428487570
                    43.000000000                    0.418520544
                    44.000000000                    0.409059974
                    45.000000000                    0.399925806
                    46.000000000                    0.391254625
                    47.000000000                    0.382922559
                    48.000000000                    0.374954070
                    49.000000000                    0.367287258
                    50.000000000                    0.359970828
                    51.000000000                    0.352928119
                    52.000000000                    0.346117501
                    53.000000000                    0.339581757
                    54.000000000                    0.333326857
                    55.000000000                    0.327251039
                    56.000000000                    0.321398536
                    57.000000000                    0.315750630
                    58.000000000                    0.310325036
                    59.000000000                    0.305049186
                    60.000000000                    0.299974849
                    61.000000000                    0.295073297
                    62.000000000                    0.290289982
                    63.000000000                    0.285691588
                    64.000000000                    0.281237935
                    65.000000000                    0.276885752
                    66.000000000                    0.272722985
                    67.000000000                    0.268658538
                    68.000000000                    0.264669908
                    69.000000000                    0.260857416
                    70.000000000                    0.257137365
                    71.000000000                    0.253497900
                    72.000000000                    0.249983905
                    73.000000000                    0.246552546
                    74.000000000                    0.243238190
                    75.000000000                    0.239989153
                    76.000000000                    0.236831985
                    77.000000000                    0.233749412
                    78.000000000                    0.230750298
                    79.000000000                    0.227846885
                    80.000000000                    0.224982775
                    81.000000000                    0.222199917
                    82.000000000                    0.219484167
                    83.000000000                    0.216867479
                    84.000000000                    0.214272499
                    85.000000000                    0.211760833
                    86.000000000                    0.209307895
                    87.000000000                    0.206900346
                    88.000000000                    0.204534656
                    89.000000000                    0.202241942
                    90.000000000                    0.199999167
                    91.000000000                    0.197790557
                    92.000000000                    0.195660648
                    93.000000000                    0.193531746
                    94.000000000                    0.191484535
                    95.000000000                    0.189477484
                    96.000000000                    0.187488404
                    97.000000000                    0.185561910
                    98.000000000                    0.183672298
                    99.000000000                    0.181818694
                   100.000000000                    0.179997201
