# Giai he phuong trinh vi phan bang RK4
############################################################
     i            t        theta            v
     0  0.000000000  0.523598776  0.000000000
     1  0.010000000  0.522782301 -0.163256308
     2  0.020000000  0.520335190 -0.326050544
     3  0.030000000  0.516264371 -0.487920648
     4  0.040000000  0.510581398 -0.648404624
     5  0.050000000  0.503302439 -0.807040655
     6  0.060000000  0.494448283 -0.963367337
     7  0.070000000  0.484044327 -1.116924039
     8  0.080000000  0.472120568 -1.267251444
     9  0.090000000  0.458711588 -1.413892264
    10  0.100000000  0.443856528 -1.556392176
    11  0.110000000  0.427599051 -1.694300979
    12  0.120000000  0.409987297 -1.827173982
    13  0.130000000  0.391073819 -1.954573618
    14  0.140000000  0.370915502 -2.076071293
    15  0.150000000  0.349573463 -2.191249432
    16  0.160000000  0.327112931 -2.299703723
    17  0.170000000  0.303603102 -2.401045515
    18  0.180000000  0.279116970 -2.494904339
    19  0.190000000  0.253731131 -2.580930509
    20  0.200000000  0.227525563 -2.658797749
    21  0.210000000  0.200583381 -2.728205810
    22  0.220000000  0.172990558 -2.788882999
    23  0.230000000  0.144835635 -2.840588583
    24  0.240000000  0.116209393 -2.883115002
    25  0.250000000  0.087204516 -2.916289843
    26  0.260000000  0.057915229 -2.939977524
    27  0.270000000  0.028436923 -2.954080651
    28  0.280000000 -0.001134231 -2.958541002
    29  0.290000000 -0.030701683 -2.953340129
    30  0.300000000 -0.060168892 -2.938499543
    31  0.310000000 -0.089439735 -2.914080493
    32  0.320000000 -0.118418898 -2.880183343
    33  0.330000000 -0.147012261 -2.836946550
    34  0.340000000 -0.175127272 -2.784545286
    35  0.350000000 -0.202673310 -2.723189728
    36  0.360000000 -0.229562021 -2.653123063
    37  0.370000000 -0.255707640 -2.574619262
    38  0.380000000 -0.281027283 -2.487980661
    39  0.390000000 -0.305441224 -2.393535421
    40  0.400000000 -0.328873135 -2.291634918
    41  0.410000000 -0.351250306 -2.182651104
    42  0.420000000 -0.372503840 -2.066973920
    43  0.430000000 -0.392568820 -1.945008778
    44  0.440000000 -0.411384447 -1.817174173
    45  0.450000000 -0.428894166 -1.683899461
    46  0.460000000 -0.445045760 -1.545622815
    47  0.470000000 -0.459791430 -1.402789403
    48  0.480000000 -0.473087858 -1.255849789
    49  0.490000000 -0.484896252 -1.105258561
    50  0.500000000 -0.495182381 -0.951473191
    51  0.510000000 -0.503916599 -0.794953124
    52  0.520000000 -0.511073862 -0.636159063
    53  0.530000000 -0.516633737 -0.475552457
    54  0.540000000 -0.520580408 -0.313595140
    55  0.550000000 -0.522902677 -0.150749120
    56  0.560000000 -0.523593968  0.012523542
    57  0.570000000 -0.522652324  0.175760775
    58  0.580000000 -0.520080411  0.338500507
    59  0.590000000 -0.515885513  0.500280681
    60  0.600000000 -0.510079536  0.660639307
    61  0.610000000 -0.502679005  0.819114593
    62  0.620000000 -0.493705061  0.975245177
    63  0.630000000 -0.483183453  1.128570510
    64  0.640000000 -0.471144533  1.278631400
    65  0.650000000 -0.457623232  1.424970751
    66  0.660000000 -0.442659039  1.567134513
    67  0.670000000 -0.426295963  1.704672856
    68  0.680000000 -0.408582484  1.837141574
    69  0.690000000 -0.389571490  1.964103721
    70  0.700000000 -0.369320194  2.085131471
