# Giai phuong trinh vi phan
##################################################
     i             x             y
     0   0.000000000   0.000000000
     1   0.100000000   0.000000000
     2   0.200000000   0.010000000
     3   0.300000000   0.030000000
     4   0.400000000   0.060000000
     5   0.500000000   0.100000000
     6   0.600000000   0.150000000
     7   0.700000000   0.210000000
     8   0.800000000   0.280000000
     9   0.900000000   0.360000000
    10   1.000000000   0.450000000
    11   1.100000000   0.550000000
    12   1.200000000   0.660000000
    13   1.300000000   0.780000000
    14   1.400000000   0.910000000
    15   1.500000000   1.050000000
    16   1.600000000   1.200000000
    17   1.700000000   1.360000000
    18   1.800000000   1.530000000
    19   1.900000000   1.710000000
    20   2.000000000   1.900000000
    21   2.100000000   2.100000000
    22   2.200000000   2.310000000
    23   2.300000000   2.530000000
    24   2.400000000   2.760000000
    25   2.500000000   3.000000000
    26   2.600000000   3.250000000
    27   2.700000000   3.510000000
    28   2.800000000   3.780000000
    29   2.900000000   4.060000000
    30   3.000000000   4.350000000
    31   3.100000000   4.650000000
    32   3.200000000   4.960000000
    33   3.300000000   5.280000000
    34   3.400000000   5.610000000
    35   3.500000000   5.950000000
    36   3.600000000   6.300000000
    37   3.700000000   6.660000000
    38   3.800000000   7.030000000
    39   3.900000000   7.410000000
    40   4.000000000   7.800000000
    41   4.100000000   8.200000000
    42   4.200000000   8.610000000
    43   4.300000000   9.030000000
    44   4.400000000   9.460000000
    45   4.500000000   9.900000000
    46   4.600000000  10.350000000
    47   4.700000000  10.810000000
    48   4.800000000  11.280000000
    49   4.900000000  11.760000000
    50   5.000000000  12.250000000
    51   5.100000000  12.750000000
    52   5.200000000  13.260000000
    53   5.300000000  13.780000000
    54   5.400000000  14.310000000
    55   5.500000000  14.850000000
    56   5.600000000  15.400000000
    57   5.700000000  15.960000000
    58   5.800000000  16.530000000
    59   5.900000000  17.110000000
    60   6.000000000  17.700000000
    61   6.100000000  18.300000000
    62   6.200000000  18.910000000
    63   6.300000000  19.530000000
    64   6.400000000  20.160000000
    65   6.500000000  20.800000000
    66   6.600000000  21.450000000
    67   6.700000000  22.110000000
    68   6.800000000  22.780000000
    69   6.900000000  23.460000000
    70   7.000000000  24.150000000
    71   7.100000000  24.850000000
    72   7.200000000  25.560000000
    73   7.300000000  26.280000000
    74   7.400000000  27.010000000
    75   7.500000000  27.750000000
    76   7.600000000  28.500000000
    77   7.700000000  29.260000000
    78   7.800000000  30.030000000
    79   7.900000000  30.810000000
    80   8.000000000  31.600000000
    81   8.100000000  32.400000000
    82   8.200000000  33.210000000
    83   8.300000000  34.030000000
    84   8.400000000  34.860000000
    85   8.500000000  35.700000000
    86   8.600000000  36.550000000
    87   8.700000000  37.410000000
    88   8.800000000  38.280000000
    89   8.900000000  39.160000000
    90   9.000000000  40.050000000
    91   9.100000000  40.950000000
    92   9.200000000  41.860000000
    93   9.300000000  42.780000000
    94   9.400000000  43.710000000
    95   9.500000000  44.650000000
    96   9.600000000  45.600000000
    97   9.700000000  46.560000000
    98   9.800000000  47.530000000
    99   9.900000000  48.510000000
   100  10.000000000  49.500000000
