# Giai phuong trinh vi phan
##################################################
     i             x             y
     0   0.000000000   0.500000000
     1   0.050000000   0.576812500
     2   0.100000000   0.657308516
     3   0.150000000   0.741420577
     4   0.200000000   0.829077757
     5   0.250000000   0.920205492
     6   0.300000000   1.014725398
     7   0.350000000   1.112555075
     8   0.400000000   1.213607897
     9   0.450000000   1.317792802
    10   0.500000000   1.425014058
    11   0.550000000   1.535171029
    12   0.600000000   1.648157919
    13   0.650000000   1.763863512
    14   0.700000000   1.882170892
    15   0.750000000   2.002957150
    16   0.800000000   2.126093079
    17   0.850000000   2.251442850
    18   0.900000000   2.378863671
    19   0.950000000   2.508205434
    20   1.000000000   2.639310337
    21   1.050000000   2.772012492
    22   1.100000000   2.906137507
    23   1.150000000   3.041502055
    24   1.200000000   3.177913410
    25   1.250000000   3.315168972
    26   1.300000000   3.453055757
    27   1.350000000   3.591349865
    28   1.400000000   3.729815920
    29   1.450000000   3.868206486
    30   1.500000000   4.006261443
    31   1.550000000   4.143707342
    32   1.600000000   4.280256719
    33   1.650000000   4.415607376
    34   1.700000000   4.549441629
    35   1.750000000   4.681425512
    36   1.800000000   4.811207945
    37   1.850000000   4.938419852
    38   1.900000000   5.062673244
    39   1.950000000   5.183560248
    40   2.000000000   5.300652086
    41   2.050000000   5.413498005
    42   2.100000000   5.521624153
    43   2.150000000   5.624532391
    44   2.200000000   5.721699051
    45   2.250000000   5.812573627
    46   2.300000000   5.896577400
    47   2.350000000   5.973101992
    48   2.400000000   6.041507844
    49   2.450000000   6.101122621
    50   2.500000000   6.151239530
    51   2.550000000   6.191115556
    52   2.600000000   6.219969604
    53   2.650000000   6.236980546
    54   2.700000000   6.241285174
    55   2.750000000   6.231976039
    56   2.800000000   6.208099186
    57   2.850000000   6.168651769
    58   2.900000000   6.112579547
    59   2.950000000   6.038774249
    60   3.000000000   5.946070805
    61   3.050000000   5.833244433
    62   3.100000000   5.699007585
    63   3.150000000   5.542006724
    64   3.200000000   5.360818944
    65   3.250000000   5.153948415
    66   3.300000000   4.919822646
    67   3.350000000   4.656788557
    68   3.400000000   4.363108345
    69   3.450000000   4.036955148
    70   3.500000000   3.676408474
    71   3.550000000   3.279449408
    72   3.600000000   2.843955566
    73   3.650000000   2.367695788
    74   3.700000000   1.848324572
    75   3.750000000   1.283376207
    76   3.800000000   0.670258612
    77   3.850000000   0.006246866
