# Giai phuong trinh vi phan
#########################################################################################################
     i               x         y_Euler           y_RK2     y_Euler_mod           y_RK3           y_RK4
     0        0.000000        0.500000        0.500000        0.500000        0.500000        0.500000
     1        0.050000        0.575000        0.576844        0.576812        0.576864        0.576864
     2        0.100000        0.653625        0.657373        0.657309        0.657414        0.657415
     3        0.150000        0.735806        0.741519        0.741421        0.741582        0.741583
     4        0.200000        0.821472        0.829213        0.829078        0.829298        0.829299
     5        0.250000        0.910545        0.920379        0.920205        0.920486        0.920487
     6        0.300000        1.002947        1.014939        1.014725        1.015069        1.015071
     7        0.350000        1.098595        1.112810        1.112555        1.112965        1.112966
     8        0.400000        1.197400        1.213908        1.213608        1.214086        1.214088
     9        0.450000        1.299269        1.318139        1.317793        1.318342        1.318344
    10        0.500000        1.404108        1.425409        1.425014        1.425637        1.425639
    11        0.550000        1.511813        1.535618        1.535171        1.535871        1.535873
    12        0.600000        1.622279        1.648659        1.648158        1.648938        1.648941
    13        0.650000        1.735393        1.764421        1.763864        1.764727        1.764730
    14        0.700000        1.851038        1.882789        1.882171        1.883120        1.883124
    15        0.750000        1.969090        2.003638        2.002957        2.003996        2.004000
    16        0.800000        2.089419        2.126840        2.126093        2.127226        2.127229
    17        0.850000        2.211890        2.252259        2.251443        2.252672        2.252676
    18        0.900000        2.336359        2.379753        2.378864        2.380194        2.380198
    19        0.950000        2.462677        2.509172        2.508205        2.509641        2.509645
    20        1.000000        2.590686        2.640357        2.639310        2.640854        2.640859
    21        1.050000        2.720221        2.773144        2.772012        2.773669        2.773674
    22        1.100000        2.851107        2.907359        2.906138        2.907912        2.907917
    23        1.150000        2.983162        3.042817        3.041502        3.043398        3.043403
    24        1.200000        3.116195        3.179327        3.177913        3.179936        3.179941
    25        1.250000        3.250005        3.316686        3.315169        3.317323        3.317328
    26        1.300000        3.384380        3.454682        3.453056        3.455346        3.455351
    27        1.350000        3.519099        3.593091        3.591350        3.593781        3.593787
    28        1.400000        3.653929        3.731677        3.729816        3.732394        3.732400
    29        1.450000        3.788625        3.870195        3.868206        3.870936        3.870942
    30        1.500000        3.922932        4.008383        4.006261        4.009149        4.009155
    31        1.550000        4.056578        4.145969        4.143707        4.146758        4.146765
    32        1.600000        4.189282        4.282665        4.280257        4.283477        4.283483
    33        1.650000        4.320746        4.418171        4.415607        4.419003        4.419010
    34        1.700000        4.450659        4.552167        4.549442        4.553019        4.553026
    35        1.750000        4.578692        4.684322        4.681426        4.685192        4.685198
    36        1.800000        4.704501        4.814284        4.811208        4.815169        4.815176
    37        1.850000        4.827726        4.941685        4.938420        4.942583        4.942590
    38        1.900000        4.947987        5.066137        5.062673        5.067046        5.067052
    39        1.950000        5.064887        5.187233        5.183560        5.188150        5.188156
    40        2.000000        5.178006        5.304544        5.300652        5.305466        5.305472
    41        2.050000        5.286907        5.417621        5.413498        5.418543        5.418549
    42        2.100000        5.391127        5.525990        5.521624        5.526909        5.526915
    43        2.150000        5.490183        5.629153        5.624532        5.630066        5.630070
    44        2.200000        5.583567        5.726587        5.721699        5.727489        5.727493
    45        2.250000        5.670746        5.817744        5.812574        5.818628        5.818632
    46        2.300000        5.751158        5.902044        5.896577        5.902905        5.902908
    47        2.350000        5.824216        5.978880        5.973102        5.979713        5.979715
    48        2.400000        5.889302        6.047613        6.041508        6.048410        6.048411
    49        2.450000        5.945767        6.107572        6.101123        6.108326        6.108326
    50        2.500000        5.992930        6.158051        6.151240        6.158753        6.158752
    51        2.550000        6.030077        6.198307        6.191116        6.198950        6.198947
    52        2.600000        6.056455        6.227561        6.219970        6.228134        6.228130
    53        2.650000        6.071278        6.244992        6.236981        6.245485        6.245480
    54        2.700000        6.073717        6.249739        6.241285        6.250141        6.250133
    55        2.750000        6.062903        6.240894        6.231976        6.241193        6.241183
    56        2.800000        6.037923        6.217505        6.208099        6.217687        6.217676
    57        2.850000        5.997819        6.178571        6.168652        6.178622        6.178608
    58        2.900000        5.941585        6.123039        6.112580        6.122943        6.122926
    59        2.950000        5.868165        6.049801        6.038774        6.049542        6.049522
    60        3.000000        5.776448        5.957694        5.946071        5.957253        5.957231
    61        3.050000        5.665270        5.845494        5.833244        5.844853        5.844827
    62        3.100000        5.533409        5.711916        5.699008        5.711053        5.711023
    63        3.150000        5.379579        5.555608        5.542007        5.554500        5.554467
    64        3.200000        5.202433        5.375149        5.360819        5.373772        5.373734
    65        3.250000        5.000555        5.169044        5.153948        5.167372        5.167329
    66        3.300000        4.772457        4.935723        4.919823        4.933728        4.933679
    67        3.350000        4.516580        4.673535        4.656789        4.671186        4.671132
    68        3.400000        4.231284        4.380744        4.363108        4.378009        4.377949
    69        3.450000        3.914849        4.055526        4.036955        4.052369        4.052303
    70        3.500000        3.565466        3.695963        3.676408        3.692347        3.692273
    71        3.550000        3.181239        3.300037        3.279449        3.295921        3.295840
    72        3.600000        2.760176        2.865630        2.843956        2.860971        2.860882
    73        3.650000        2.300185        2.390512        2.367696        2.385265        2.385166
    74        3.700000        1.799069        1.872341        1.848325        1.866455        1.866347
    75        3.750000        1.254523        1.308655        1.283376        1.302077        1.301958
    76        3.800000        0.664124        0.696864        0.670259        0.689537        0.689406
    77        3.850000        0.025330        0.034247        0.006247        0.026110        0.025967
    78        3.900000       -0.664528       -0.682057       -0.711524       -0.691070       -0.691226
    79        3.950000       -1.408255       -1.455056       -1.486064       -1.465015       -1.465185
    80        4.000000       -2.208793       -2.287912       -2.320541       -2.298892       -2.299076
    81        4.050000       -3.069232       -3.183949       -3.218281       -3.196029       -3.196230
    82        4.100000       -3.992819       -4.146661       -4.182783       -4.159927       -4.160145
    83        4.150000       -4.982960       -5.179721       -5.217726       -5.194264       -5.194502
    84        4.200000       -6.043233       -6.286991       -6.326975       -6.302910       -6.303167
    85        4.250000       -7.177394       -7.472530       -7.514595       -7.489929       -7.490208
    86        4.300000       -8.389389       -8.740607       -8.784859       -8.759596       -8.759898
    87        4.350000       -9.683359      -10.095707      -10.142258      -10.116406      -10.116733
    88        4.400000      -11.063651      -11.542546      -11.591514      -11.565082      -11.565436
    89        4.450000      -12.534834      -13.086083      -13.137592      -13.110592      -13.110973
    90        4.500000      -14.101701      -14.731529      -14.785709      -14.758155      -14.758567
    91        4.550000      -15.769286      -16.484364      -16.541351      -16.513261      -16.513705
    92        4.600000      -17.542875      -18.350347      -18.410286      -18.381680      -18.382159
    93        4.650000      -19.428019      -20.335533      -20.398576      -20.369477      -20.369994
    94        4.700000      -21.430545      -22.446289      -22.512594      -22.483031      -22.483587
    95        4.750000      -23.556572      -24.689305      -24.759039      -24.729045      -24.729643
    96        4.800000      -25.812526      -27.071616      -27.144955      -27.114566      -27.115209
    97        4.850000      -28.205152      -29.600618      -29.677747      -29.647003      -29.647696
    98        4.900000      -30.741535      -32.284084      -32.365197      -32.334146      -32.334890
    99        4.950000      -33.429111      -35.130187      -35.215488      -35.184183      -35.184982
   100        5.000000      -36.275692      -38.147518      -38.237223      -38.205721      -38.206580
