# Giai phuong trinh vi phan
##################################################
     i             x             y
     0   0.000000000   0.500000000
     1   0.050000000   0.576864447
     2   0.100000000   0.657414530
     3   0.150000000   0.741582862
     4   0.200000000   0.829298599
     5   0.250000000   0.920487264
     6   0.300000000   1.015070562
     7   0.350000000   1.112966185
     8   0.400000000   1.214087604
     9   0.450000000   1.318343853
    10   0.500000000   1.425639303
    11   0.550000000   1.535873422
    12   0.600000000   1.648940523
    13   0.650000000   1.764729500
    14   0.700000000   1.883123553
    15   0.750000000   2.003999890
    16   0.800000000   2.127229425
    17   0.850000000   2.252676454
    18   0.900000000   2.380198314
    19   0.950000000   2.509645030
    20   1.000000000   2.640858935
    21   1.050000000   2.773674280
    22   1.100000000   2.907916816
    23   1.150000000   3.043403362
    24   1.200000000   3.179941344
    25   1.250000000   3.317328314
    26   1.300000000   3.455351446
    27   1.350000000   3.593787002
    28   1.400000000   3.732399770
    29   1.450000000   3.870942482
    30   1.500000000   4.009155191
    31   1.550000000   4.146764620
    32   1.600000000   4.283483484
    33   1.650000000   4.419009767
    34   1.700000000   4.553025968
    35   1.750000000   4.685198310
    36   1.800000000   4.815175899
    37   1.850000000   4.942589852
    38   1.900000000   5.067052374
    39   1.950000000   5.188155787
    40   2.000000000   5.305471508
    41   2.050000000   5.418548985
    42   2.100000000   5.526914562
    43   2.150000000   5.630070299
    44   2.200000000   5.727492727
    45   2.250000000   5.818631537
    46   2.300000000   5.902908206
    47   2.350000000   5.979714549
    48   2.400000000   6.048411198
    49   2.450000000   6.108326005
    50   2.500000000   6.158752360
    51   2.550000000   6.198947425
    52   2.600000000   6.228130274
    53   2.650000000   6.245479944
    54   2.700000000   6.250133379
    55   2.750000000   6.241183273
    56   2.800000000   6.217675803
    57   2.850000000   6.178608242
    58   2.900000000   6.122926451
    59   2.950000000   6.049522245
    60   3.000000000   5.957230620
    61   3.050000000   5.844826843
    62   3.100000000   5.711023386
    63   3.150000000   5.554466709
    64   3.200000000   5.373733874
    65   3.250000000   5.167328987
    66   3.300000000   4.933679459
    67   3.350000000   4.671132071
    68   3.400000000   4.377948843
    69   3.450000000   4.052302687
    70   3.500000000   3.692272838
    71   3.550000000   3.295840050
    72   3.600000000   2.860881549
    73   3.650000000   2.385165725
    74   3.700000000   1.866346549
    75   3.750000000   1.301957711
    76   3.800000000   0.689406447
    77   3.850000000   0.025967063
    78   3.900000000  -0.691225886
    79   3.950000000  -1.465184761
    80   4.000000000  -2.299076367
    81   4.050000000  -3.196229877
    82   4.100000000  -4.160145154
    83   4.150000000  -5.194501501
    84   4.200000000  -6.303166865
    85   4.250000000  -7.490207506
    86   4.300000000  -8.759898165
    87   4.350000000  -10.116732755
    88   4.400000000  -11.565435596
    89   4.450000000  -13.110973229
    90   4.500000000  -14.758566835
    91   4.550000000  -16.513705291
    92   4.600000000  -18.382158895
    93   4.650000000  -20.369993794
    94   4.700000000  -22.483587152
    95   4.750000000  -24.729643099
    96   4.800000000  -27.115209493
    97   4.850000000  -29.647695541
    98   4.900000000  -32.334890331
    99   4.950000000  -35.184982304
   100   5.000000000  -38.206579733
   101   5.050000000  -41.408732246
   102   5.100000000  -44.800953455
   103   5.150000000  -48.393244744
   104   5.200000000  -52.196120283
   105   5.250000000  -56.220633309
   106   5.300000000  -60.478403776
   107   5.350000000  -64.981647404
   108   5.400000000  -69.743206224
   109   5.450000000  -74.776580695
   110   5.500000000  -80.095963459
   111   5.550000000  -85.716274828
   112   5.600000000  -91.653200096
   113   5.650000000  -97.923228761
   114   5.700000000  -104.543695753
   115   5.750000000  -111.532824784
   116   5.800000000  -118.909773915
   117   5.850000000  -126.694683463
   118   5.900000000  -134.908726359
   119   5.950000000  -143.574161096
   120   6.000000000  -152.714387382
   121   6.050000000  -162.354004655
   122   6.100000000  -172.518873592
   123   6.150000000  -183.236180776
   124   6.200000000  -194.534506676
   125   6.250000000  -206.443897111
   126   6.300000000  -218.995938386
   127   6.350000000  -232.223836266
   128   6.400000000  -246.162499015
   129   6.450000000  -260.848624680
   130   6.500000000  -276.320792858
   131   6.550000000  -292.619561164
   132   6.600000000  -309.787566645
   133   6.650000000  -327.869632399
   134   6.700000000  -346.912879650
   135   6.750000000  -366.966845580
   136   6.800000000  -388.083607198
   137   6.850000000  -410.317911556
   138   6.900000000  -433.727312648
   139   6.950000000  -458.372315324
   140   7.000000000  -484.316526584
   141   7.050000000  -511.626814630
   142   7.100000000  -540.373476067
   143   7.150000000  -570.630411686
   144   7.200000000  -602.475311252
   145   7.250000000  -635.989847767
   146   7.300000000  -671.259881701
   147   7.350000000  -708.375675681
   148   7.400000000  -747.432120200
   149   7.450000000  -788.528970888
   150   7.500000000  -831.771097957
   151   7.550000000  -877.268748428
   152   7.600000000  -925.137821810
   153   7.650000000  -975.500159904
   154   7.700000000  -1028.483851475
   155   7.750000000  -1084.223552536
   156   7.800000000  -1142.860823066
   157   7.850000000  -1204.544480975
   158   7.900000000  -1269.430974232
   159   7.950000000  -1337.684772064
   160   8.000000000  -1409.478776214
   161   8.050000000  -1484.994753288
   162   8.100000000  -1564.423789264
   163   8.150000000  -1647.966767308
   164   8.200000000  -1735.834870085
   165   8.250000000  -1828.250107825
   166   8.300000000  -1925.445873467
   167   8.350000000  -2027.667526261
   168   8.400000000  -2135.173005294
   169   8.450000000  -2248.233474471
   170   8.500000000  -2367.134000569
   171   8.550000000  -2492.174266048
   172   8.600000000  -2623.669318418
   173   8.650000000  -2761.950358018
   174   8.700000000  -2907.365566191
   175   8.750000000  -3060.280975919
   176   8.800000000  -3221.081387092
   177   8.850000000  -3390.171328717
   178   8.900000000  -3567.976070440
   179   8.950000000  -3754.942685950
   180   9.000000000  -3951.541170893
   181   9.050000000  -4158.265618104
   182   9.100000000  -4375.635453100
   183   9.150000000  -4604.196732912
   184   9.200000000  -4844.523511511
   185   9.250000000  -5097.219275244
   186   9.300000000  -5362.918451863
   187   9.350000000  -5642.287996924
   188   9.400000000  -5936.029061526
   189   9.450000000  -6244.878745548
   190   9.500000000  -6569.611940790
   191   9.550000000  -6911.043268600
   192   9.600000000  -7270.029116854
   193   9.650000000  -7647.469781369
   194   9.700000000  -8044.311717118
   195   9.750000000  -8461.549904850
   196   9.800000000  -8900.230339070
   197   9.850000000  -9361.452643562
   198   9.900000000  -9846.372821027
   199   9.950000000  -10356.206143687
   200  10.000000000  -10892.230192099
