Ket qua tinh toan he phuong trinh sau 26 lan lap:

####################################################################################################

    i            x_1             x_2             x_3             x_4               sai_so
    1    0.000000000     0.000000000     0.000000000     0.000000000         2.272727e+00
    2    0.600000000     2.272727273    -1.100000000     1.875000000         9.897727e-01
    3    1.047272727     1.715909091    -0.805227273     0.885227273         3.373967e-01
    4    0.932636364     2.053305785    -1.049340909     1.130880682         1.570380e-01
    5    1.015198760     1.953695764    -0.968108626     0.973842717         5.771896e-02
    6    0.988991302     2.011414726    -1.010285904     1.021350510         2.691677e-02
    7    1.003198653     1.992241261    -0.994521737     0.994433740         1.006562e-02
    8    0.998128473     2.002306882    -1.001972231     1.003594310         4.705920e-03
    9    1.000625134     1.998670301    -0.999035576     0.998888391         1.777370e-03
   10    0.999674145     2.000447672    -1.000369158     1.000619190         8.332117e-04
   11    1.000118599     1.999767947    -0.999828143     0.999785978         3.225236e-04
   12    0.999942423     2.000084775    -1.000068327     1.000108502         1.488334e-04
   13    1.000022143     1.999958963    -0.999969157     0.999959669         5.957572e-05
   14    0.999989728     2.000015816    -1.000012565     1.000019244         2.674617e-05
   15    1.000004095     1.999992675    -0.999994439     0.999992498         1.094362e-05
   16    0.999998155     2.000002924    -1.000002302     1.000003442         4.825886e-06
   17    1.000000753     1.999998684    -0.999998995     0.999998616         2.003118e-06
   18    0.999999667     2.000000537    -1.000000421     1.000000619         8.730861e-07
   19    1.000000138     1.999999763    -0.999999818     0.999999746         3.658110e-07
   20    0.999999940     2.000000098    -1.000000077     1.000000112         1.582360e-07
   21    1.000000025     1.999999957    -0.999999967     0.999999954         6.670572e-08
   22    0.999999989     2.000000018    -1.000000014     1.000000020         2.871166e-08
   23    1.000000005     1.999999992    -0.999999994     0.999999992         1.215211e-08
   24    0.999999998     2.000000003    -1.000000003     1.000000004         5.213657e-09
   25    1.000000001     1.999999999    -0.999999999     0.999999998         2.212425e-09
   26    1.000000000     2.000000001    -1.000000000     1.000000001         9.472032e-10
