Ket qua tinh toan he phuong trinh sau 60 lan lap:

########################################################################################################################################################################################################

    i                  F1                   F2                   F3                   f1                   f2                   f3                   f4                   f5               sai_so
    1         0.000000000          0.000000000          0.000000000          0.000000000          0.000000000          0.000000000          0.000000000          0.000000000         1.000000e+04
    2        -0.000000000         -0.000000000         -0.000000000         -0.000000000         -0.000000000      10000.000000000          0.000000000         -0.000000000         1.414214e+04
    3        -0.000000000         -0.000000000         -0.000000000     -14142.135623731         -0.000000000      10000.000000000     -11547.005383793      10000.000000000         1.000000e+04
    4    -10000.000000000     -10000.000000000      -5773.502691896      -5977.169814454      10000.000000000      10000.000000000      -4880.338717126       4226.497308104         1.577350e+04
    5      5773.502691896      -4226.497308104      -2440.169358563     -10691.215022364       4226.497308104      10000.000000000      -8729.340511723       7559.830641437         9.106836e+03
    6     -3333.333333333      -7559.830641437      -4364.670255862      -7969.559752605       7559.830641437      10000.000000000      -6507.118289501       5635.329744138         5.257834e+03
    7      1924.500897299      -5635.329744138      -3253.559144751      -9540.908155242       5635.329744138      10000.000000000      -7790.118887700       6746.440855249         3.035612e+03
    8     -1111.111111111      -6746.440855249      -3895.059443850      -8633.689731989       6746.440855249      10000.000000000      -7049.378146960       6104.940556150         1.752611e+03
    9       641.500299100      -6104.940556150      -3524.689073480      -9157.472532868       6104.940556150      10000.000000000      -7477.045013026       6475.310926520         1.011871e+03
   10      -370.370370370      -6475.310926520      -3738.522506513      -8855.066391783       6475.310926520      10000.000000000      -7230.131432779       6261.477493487         5.842038e+02
   11       213.833433033      -6261.477493487      -3615.065716390      -9029.660658743       6261.477493487      10000.000000000      -7372.687054801       6384.934283610         3.372902e+02
   12      -123.456790123      -6384.934283610      -3686.343527401      -8928.858611715       6384.934283610      10000.000000000      -7290.382528052       6313.656472599         1.947346e+02
   13        71.277811011      -6313.656472599      -3645.191264026      -8987.056700701       6313.656472599      10000.000000000      -7337.901068726       6354.808735974         1.124301e+02
   14       -41.152263374      -6354.808735974      -3668.950534363      -8953.456018359       6354.808735974      10000.000000000      -7310.466226477       6331.049465637         6.491153e+01
   15        23.759270337      -6331.049465637      -3655.233113238      -8972.855381354       6331.049465637      10000.000000000      -7326.305740035       6344.766886762         3.747669e+01
   16       -13.717421125      -6344.766886762      -3663.152870017      -8961.655153907       6344.766886762      10000.000000000      -7317.160792618       6336.847129983         2.163718e+01
   17         7.919756779      -6336.847129983      -3658.580396309      -8968.121608238       6336.847129983      10000.000000000      -7322.440630471       6341.419603691         1.249223e+01
   18        -4.572473708      -6341.419603691      -3661.220315235      -8964.388199089       6341.419603691      10000.000000000      -7319.392314665       6338.779684765         7.212393e+00
   19         2.639918926      -6338.779684765      -3659.696157333      -8966.543683866       6338.779684765      10000.000000000      -7321.152260616       6340.303842667         4.164077e+00
   20        -1.524157903      -6340.303842667      -3660.576130308      -8965.299214150       6340.303842667      10000.000000000      -7320.136155348       6339.423869692         2.404131e+00
   21         0.879972975      -6339.423869692      -3660.068077674      -8966.017709076       6339.423869692      10000.000000000      -7320.722803998       6339.931922326         1.388026e+00
   22        -0.508052634      -6339.931922326      -3660.361401999      -8965.602885837       6339.931922326      10000.000000000      -7320.384102242       6339.638598001         8.013770e-01
   23         0.293324325      -6339.638598001      -3660.192051121      -8965.842384146       6339.638598001      10000.000000000      -7320.579651792       6339.807948879         4.626752e-01
   24        -0.169350878      -6339.807948879      -3660.289825896      -8965.704109733       6339.807948879      10000.000000000      -7320.466751206       6339.710174104         2.671257e-01
   25         0.097774775      -6339.710174104      -3660.233375603      -8965.783942502       6339.710174104      10000.000000000      -7320.531934390       6339.766624397         1.542251e-01
   26        -0.056450293      -6339.766624397      -3660.265967195      -8965.737851031       6339.766624397      10000.000000000      -7320.494300861       6339.734032805         8.904188e-02
   27         0.032591592      -6339.734032805      -3660.247150431      -8965.764461954       6339.734032805      10000.000000000      -7320.516028589       6339.752849569         5.140836e-02
   28        -0.018816764      -6339.752849569      -3660.258014295      -8965.749098131       6339.752849569      10000.000000000      -7320.503484080       6339.741985705         2.968063e-02
   29         0.010863864      -6339.741985705      -3660.251742040      -8965.757968439       6339.741985705      10000.000000000      -7320.510726656       6339.748257960         1.713612e-02
   30        -0.006272255      -6339.748257960      -3660.255363328      -8965.752847164       6339.748257960      10000.000000000      -7320.506545152       6339.744636672         9.893543e-03
   31         0.003621288      -6339.744636672      -3660.253272576      -8965.755803933       6339.744636672      10000.000000000      -7320.508959344       6339.746727424         5.712040e-03
   32        -0.002090752      -6339.746727424      -3660.254479672      -8965.754096842       6339.746727424      10000.000000000      -7320.507565510       6339.745520328         3.297848e-03
   33         0.001207096      -6339.745520328      -3660.253782755      -8965.755082431       6339.745520328      10000.000000000      -7320.508370241       6339.746217245         1.904013e-03
   34        -0.000696917      -6339.746217245      -3660.254185120      -8965.754513401       6339.746217245      10000.000000000      -7320.507905629       6339.745814880         1.099283e-03
   35         0.000402365      -6339.745814880      -3660.253952815      -8965.754841931       6339.745814880      10000.000000000      -7320.508173873       6339.746047185         6.346711e-04
   36        -0.000232306      -6339.746047185      -3660.254086936      -8965.754652254       6339.746047185      10000.000000000      -7320.508019002       6339.745913064         3.664275e-04
   37         0.000134122      -6339.745913064      -3660.254009501      -8965.754761764       6339.745913064      10000.000000000      -7320.508108417       6339.745990499         2.115570e-04
   38        -0.000077435      -6339.745990499      -3660.254054208      -8965.754698538       6339.745990499      10000.000000000      -7320.508056793       6339.745945792         1.221425e-04
   39         0.000044707      -6339.745945792      -3660.254028397      -8965.754735042       6339.745945792      10000.000000000      -7320.508086598       6339.745971603         7.051901e-05
   40        -0.000025812      -6339.745971603      -3660.254043299      -8965.754713966       6339.745971603      10000.000000000      -7320.508069390       6339.745956701         4.071417e-05
   41         0.000014902      -6339.745956701      -3660.254034695      -8965.754726134       6339.745956701      10000.000000000      -7320.508079325       6339.745965305         2.350633e-05
   42        -0.000008604      -6339.745965305      -3660.254039663      -8965.754719109       6339.745965305      10000.000000000      -7320.508073589       6339.745960337         1.357139e-05
   43         0.000004967      -6339.745960337      -3660.254036795      -8965.754723165       6339.745960337      10000.000000000      -7320.508076901       6339.745963205         7.835446e-06
   44        -0.000002868      -6339.745963205      -3660.254038450      -8965.754720823       6339.745963205      10000.000000000      -7320.508074989       6339.745961550         4.523798e-06
   45         0.000001656      -6339.745961550      -3660.254037494      -8965.754722175       6339.745961550      10000.000000000      -7320.508076093       6339.745962506         2.611817e-06
   46        -0.000000956      -6339.745962506      -3660.254038046      -8965.754721395       6339.745962506      10000.000000000      -7320.508075455       6339.745961954         1.507934e-06
   47         0.000000552      -6339.745961954      -3660.254037728      -8965.754721845       6339.745961954      10000.000000000      -7320.508075823       6339.745962272         8.706074e-07
   48        -0.000000319      -6339.745962272      -3660.254037912      -8965.754721585       6339.745962272      10000.000000000      -7320.508075611       6339.745962088         5.026468e-07
   49         0.000000184      -6339.745962088      -3660.254037806      -8965.754721736       6339.745962088      10000.000000000      -7320.508075734       6339.745962194         2.902034e-07
   50        -0.000000106      -6339.745962194      -3660.254037867      -8965.754721649       6339.745962194      10000.000000000      -7320.508075663       6339.745962133         1.675471e-07
   51         0.000000061      -6339.745962133      -3660.254037831      -8965.754721699       6339.745962133      10000.000000000      -7320.508075704       6339.745962169         9.673295e-08
   52        -0.000000035      -6339.745962169      -3660.254037852      -8965.754721670       6339.745962169      10000.000000000      -7320.508075680       6339.745962148         5.585025e-08
   53         0.000000020      -6339.745962148      -3660.254037840      -8965.754721687       6339.745962148      10000.000000000      -7320.508075694       6339.745962160         3.224704e-08
   54        -0.000000012      -6339.745962160      -3660.254037847      -8965.754721677       6339.745962160      10000.000000000      -7320.508075686       6339.745962153         1.861827e-08
   55         0.000000007      -6339.745962153      -3660.254037843      -8965.754721683       6339.745962153      10000.000000000      -7320.508075690       6339.745962157         1.074932e-08
   56        -0.000000004      -6339.745962157      -3660.254037845      -8965.754721679       6339.745962157      10000.000000000      -7320.508075688       6339.745962155         6.207301e-09
   57         0.000000002      -6339.745962155      -3660.254037844      -8965.754721681       6339.745962155      10000.000000000      -7320.508075689       6339.745962156         3.585228e-09
   58        -0.000000001      -6339.745962156      -3660.254037845      -8965.754721680       6339.745962156      10000.000000000      -7320.508075688       6339.745962155         2.071829e-09
   59         0.000000001      -6339.745962155      -3660.254037844      -8965.754721681       6339.745962155      10000.000000000      -7320.508075689       6339.745962156         1.196895e-09
   60        -0.000000000      -6339.745962156      -3660.254037844      -8965.754721680       6339.745962156      10000.000000000      -7320.508075689       6339.745962156         6.912160e-10
