Ket qua tinh toan he phuong trinh sau 115 lan lap:

########################################################################################################################################################################################################

    i                  F1                   F2                   F3                   f1                   f2                   f3                   f4                   f5               sai_so
    1         0.000000000          0.000000000          0.000000000          0.000000000          0.000000000          0.000000000          0.000000000          0.000000000         1.000000e+04
    2        -0.000000000         -0.000000000         -0.000000000         -0.000000000         -0.000000000      10000.000000000          0.000000000         -0.000000000         1.414214e+04
    3        -0.000000000         -0.000000000         -0.000000000     -14142.135623731         -0.000000000      10000.000000000          0.000000000         -0.000000000         1.154701e+04
    4    -10000.000000000     -10000.000000000         -0.000000000     -14142.135623731         -0.000000000      10000.000000000     -11547.005383793         -0.000000000         1.000000e+04
    5    -10000.000000000     -10000.000000000      -5773.502691896      -5977.169814454         -0.000000000      10000.000000000     -11547.005383793      10000.000000000         1.000000e+04
    6     -4226.497308104      -4226.497308104      -5773.502691896      -5977.169814454      10000.000000000      10000.000000000      -4880.338717126      10000.000000000         1.000000e+04
    7      5773.502691896      -4226.497308104      -2440.169358563     -10691.215022364      10000.000000000      10000.000000000      -4880.338717126       4226.497308104         5.773503e+03
    8      2440.169358563      -7559.830641437      -2440.169358563     -10691.215022364       4226.497308104      10000.000000000      -8729.340511723       4226.497308104         5.773503e+03
    9     -3333.333333333      -7559.830641437      -4364.670255862      -7969.559752605       4226.497308104      10000.000000000      -8729.340511723       7559.830641437         3.333333e+03
   10     -1408.832436035      -5635.329744138      -4364.670255862      -7969.559752605       7559.830641437      10000.000000000      -6507.118289501       7559.830641437         3.333333e+03
   11      1924.500897299      -5635.329744138      -3253.559144751      -9540.908155242       7559.830641437      10000.000000000      -6507.118289501       5635.329744138         1.924501e+03
   12       813.389786188      -6746.440855249      -3253.559144751      -9540.908155242       5635.329744138      10000.000000000      -7790.118887700       5635.329744138         1.924501e+03
   13     -1111.111111111      -6746.440855249      -3895.059443850      -8633.689731989       5635.329744138      10000.000000000      -7790.118887700       6746.440855249         1.111111e+03
   14      -469.610812012      -6104.940556150      -3895.059443850      -8633.689731989       6746.440855249      10000.000000000      -7049.378146960       6746.440855249         1.111111e+03
   15       641.500299100      -6104.940556150      -3524.689073480      -9157.472532868       6746.440855249      10000.000000000      -7049.378146960       6104.940556150         6.415003e+02
   16       271.129928729      -6475.310926520      -3524.689073480      -9157.472532868       6104.940556150      10000.000000000      -7477.045013026       6104.940556150         6.415003e+02
   17      -370.370370370      -6475.310926520      -3738.522506513      -8855.066391783       6104.940556150      10000.000000000      -7477.045013026       6475.310926520         3.703704e+02
   18      -156.536937337      -6261.477493487      -3738.522506513      -8855.066391783       6475.310926520      10000.000000000      -7230.131432779       6475.310926520         3.703704e+02
   19       213.833433033      -6261.477493487      -3615.065716390      -9029.660658743       6475.310926520      10000.000000000      -7230.131432779       6261.477493487         2.138334e+02
   20        90.376642910      -6384.934283610      -3615.065716390      -9029.660658743       6261.477493487      10000.000000000      -7372.687054801       6261.477493487         2.138334e+02
   21      -123.456790123      -6384.934283610      -3686.343527401      -8928.858611715       6261.477493487      10000.000000000      -7372.687054801       6384.934283610         1.234568e+02
   22       -52.178979112      -6313.656472599      -3686.343527401      -8928.858611715       6384.934283610      10000.000000000      -7290.382528052       6384.934283610         1.234568e+02
   23        71.277811011      -6313.656472599      -3645.191264026      -8987.056700701       6384.934283610      10000.000000000      -7290.382528052       6313.656472599         7.127781e+01
   24        30.125547637      -6354.808735974      -3645.191264026      -8987.056700701       6313.656472599      10000.000000000      -7337.901068726       6313.656472599         7.127781e+01
   25       -41.152263374      -6354.808735974      -3668.950534363      -8953.456018359       6313.656472599      10000.000000000      -7337.901068726       6354.808735974         4.115226e+01
   26       -17.392993037      -6331.049465637      -3668.950534363      -8953.456018359       6354.808735974      10000.000000000      -7310.466226477       6354.808735974         4.115226e+01
   27        23.759270337      -6331.049465637      -3655.233113238      -8972.855381354       6354.808735974      10000.000000000      -7310.466226477       6331.049465637         2.375927e+01
   28        10.041849212      -6344.766886762      -3655.233113238      -8972.855381354       6331.049465637      10000.000000000      -7326.305740035       6331.049465637         2.375927e+01
   29       -13.717421125      -6344.766886762      -3663.152870017      -8961.655153907       6331.049465637      10000.000000000      -7326.305740035       6344.766886762         1.371742e+01
   30        -5.797664346      -6336.847129983      -3663.152870017      -8961.655153907       6344.766886762      10000.000000000      -7317.160792618       6344.766886762         1.371742e+01
   31         7.919756779      -6336.847129983      -3658.580396309      -8968.121608238       6344.766886762      10000.000000000      -7317.160792618       6336.847129983         7.919757e+00
   32         3.347283071      -6341.419603691      -3658.580396309      -8968.121608238       6336.847129983      10000.000000000      -7322.440630471       6336.847129983         7.919757e+00
   33        -4.572473708      -6341.419603691      -3661.220315235      -8964.388199089       6336.847129983      10000.000000000      -7322.440630471       6341.419603691         4.572474e+00
   34        -1.932554782      -6338.779684765      -3661.220315235      -8964.388199089       6341.419603691      10000.000000000      -7319.392314665       6341.419603691         4.572474e+00
   35         2.639918926      -6338.779684765      -3659.696157333      -8966.543683866       6341.419603691      10000.000000000      -7319.392314665       6338.779684765         2.639919e+00
   36         1.115761024      -6340.303842667      -3659.696157333      -8966.543683866       6338.779684765      10000.000000000      -7321.152260616       6338.779684765         2.639919e+00
   37        -1.524157903      -6340.303842667      -3660.576130308      -8965.299214150       6338.779684765      10000.000000000      -7321.152260616       6340.303842667         1.524158e+00
   38        -0.644184927      -6339.423869692      -3660.576130308      -8965.299214150       6340.303842667      10000.000000000      -7320.136155348       6340.303842667         1.524158e+00
   39         0.879972975      -6339.423869692      -3660.068077674      -8966.017709076       6340.303842667      10000.000000000      -7320.136155348       6339.423869692         8.799730e-01
   40         0.371920341      -6339.931922326      -3660.068077674      -8966.017709076       6339.423869692      10000.000000000      -7320.722803998       6339.423869692         8.799730e-01
   41        -0.508052634      -6339.931922326      -3660.361401999      -8965.602885837       6339.423869692      10000.000000000      -7320.722803998       6339.931922326         5.080526e-01
   42        -0.214728309      -6339.638598001      -3660.361401999      -8965.602885837       6339.931922326      10000.000000000      -7320.384102242       6339.931922326         5.080526e-01
   43         0.293324325      -6339.638598001      -3660.192051121      -8965.842384146       6339.931922326      10000.000000000      -7320.384102242       6339.638598001         2.933243e-01
   44         0.123973447      -6339.807948879      -3660.192051121      -8965.842384146       6339.638598001      10000.000000000      -7320.579651792       6339.638598001         2.933243e-01
   45        -0.169350878      -6339.807948879      -3660.289825896      -8965.704109733       6339.638598001      10000.000000000      -7320.579651792       6339.807948879         1.693509e-01
   46        -0.071576103      -6339.710174104      -3660.289825896      -8965.704109733       6339.807948879      10000.000000000      -7320.466751206       6339.807948879         1.693509e-01
   47         0.097774775      -6339.710174104      -3660.233375603      -8965.783942502       6339.807948879      10000.000000000      -7320.466751206       6339.710174104         9.777478e-02
   48         0.041324482      -6339.766624397      -3660.233375603      -8965.783942502       6339.710174104      10000.000000000      -7320.531934390       6339.710174104         9.777478e-02
   49        -0.056450293      -6339.766624397      -3660.265967195      -8965.737851031       6339.710174104      10000.000000000      -7320.531934390       6339.766624397         5.645029e-02
   50        -0.023858701      -6339.734032805      -3660.265967195      -8965.737851031       6339.766624397      10000.000000000      -7320.494300861       6339.766624397         5.645029e-02
   51         0.032591592      -6339.734032805      -3660.247150431      -8965.764461954       6339.766624397      10000.000000000      -7320.494300861       6339.734032805         3.259159e-02
   52         0.013774827      -6339.752849569      -3660.247150431      -8965.764461954       6339.734032805      10000.000000000      -7320.516028589       6339.734032805         3.259159e-02
   53        -0.018816764      -6339.752849569      -3660.258014295      -8965.749098131       6339.734032805      10000.000000000      -7320.516028589       6339.752849569         1.881676e-02
   54        -0.007952900      -6339.741985705      -3660.258014295      -8965.749098131       6339.752849569      10000.000000000      -7320.503484080       6339.752849569         1.881676e-02
   55         0.010863864      -6339.741985705      -3660.251742040      -8965.757968439       6339.752849569      10000.000000000      -7320.503484080       6339.741985705         1.086386e-02
   56         0.004591609      -6339.748257960      -3660.251742040      -8965.757968439       6339.741985705      10000.000000000      -7320.510726656       6339.741985705         1.086386e-02
   57        -0.006272255      -6339.748257960      -3660.255363328      -8965.752847164       6339.741985705      10000.000000000      -7320.510726656       6339.748257960         6.272255e-03
   58        -0.002650967      -6339.744636672      -3660.255363328      -8965.752847164       6339.748257960      10000.000000000      -7320.506545152       6339.748257960         6.272255e-03
   59         0.003621288      -6339.744636672      -3660.253272576      -8965.755803933       6339.748257960      10000.000000000      -7320.506545152       6339.744636672         3.621288e-03
   60         0.001530536      -6339.746727424      -3660.253272576      -8965.755803933       6339.744636672      10000.000000000      -7320.508959344       6339.744636672         3.621288e-03
   61        -0.002090752      -6339.746727424      -3660.254479672      -8965.754096842       6339.744636672      10000.000000000      -7320.508959344       6339.746727424         2.090752e-03
   62        -0.000883656      -6339.745520328      -3660.254479672      -8965.754096842       6339.746727424      10000.000000000      -7320.507565510       6339.746727424         2.090752e-03
   63         0.001207096      -6339.745520328      -3660.253782755      -8965.755082431       6339.746727424      10000.000000000      -7320.507565510       6339.745520328         1.207096e-03
   64         0.000510179      -6339.746217245      -3660.253782755      -8965.755082431       6339.745520328      10000.000000000      -7320.508370241       6339.745520328         1.207096e-03
